1_id	1_span	1_anno_default_ns::lemma	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_default_ns::lemma	4_anno_ptb::pos	meta_Author	meta_Birthdate	meta_Date_of_composition	meta_Filename	meta_Genre	meta_Manuscript
salt:/ppcmbe2/adams-1787-2#sTok371	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure227	bringing all his creatures to a state of truth , goodness , and consequent happiness , an end worthy of the best and wisest of beings	IP	salt:/ppcmbe2/adams-1787-2#structure228	all his creatures	NP	salt:/ppcmbe2/adams-1787-2#sTok373	creatures	creature	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok683	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure393	of all trees	PP	salt:/ppcmbe2/adams-1787-2#structure394	all trees	NP	salt:/ppcmbe2/adams-1787-2#sTok684	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok804	many	many	Q	salt:/ppcmbe2/adams-1787-2#structure469	of many trees	PP	salt:/ppcmbe2/adams-1787-2#structure470	many trees	NP	salt:/ppcmbe2/adams-1787-2#sTok805	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok2323	every	every	Q	salt:/ppcmbe2/adams-1787-2#structure1328	Perennial plants are supplied in this manner with a new skin every year ;	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure1334	every year	NP	salt:/ppcmbe2/adams-1787-2#sTok2324	year	year	N	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok2565	Many	many	Q	salt:/ppcmbe2/adams-1787-2#structure1474	Many trees have them in all their parts , others only in some of them , while 0 others do not exhibit any .	IP-MAT-1	salt:/ppcmbe2/adams-1787-2#structure1475	Many trees	NP	salt:/ppcmbe2/adams-1787-2#sTok2566	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok2632	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure1513	in some trees	PP	salt:/ppcmbe2/adams-1787-2#structure1514	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok2633	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok3244	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure1871	some trees , and a great many herbaceous plants , in which 0 *T*-2 this part is continued inward , in form of rays , through the blea into the wood , forming as 0 it were so many wedges , 0 that *T*-3 split as 0 it were the substance of both those parts , a circumstance which 0 *T*-4 accounts for the vegetation of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP=1	salt:/ppcmbe2/adams-1787-2#structure1872	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok3245	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok3310	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure1912	of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	PP	salt:/ppcmbe2/adams-1787-2#structure1913	some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP	salt:/ppcmbe2/adams-1787-2#sTok3312	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok3971	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure2316	There are some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction .	IP-MAT	salt:/ppcmbe2/adams-1787-2#structure2318	some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction	NP=1	salt:/ppcmbe2/adams-1787-2#sTok3972	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok5350	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure3137	in some trees	PP	salt:/ppcmbe2/adams-1787-2#structure3138	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok5351	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok5388	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure3161	in all trees	PP	salt:/ppcmbe2/adams-1787-2#structure3162	all trees	NP	salt:/ppcmbe2/adams-1787-2#sTok5389	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok5854	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure3449	in some trees	PP	salt:/ppcmbe2/adams-1787-2#structure3450	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok5855	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok6094	all	all	Q	salt:/ppcmbe2/adams-1787-2#structure3599	in all trees	PP	salt:/ppcmbe2/adams-1787-2#structure3600	all trees	NP	salt:/ppcmbe2/adams-1787-2#sTok6095	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
salt:/ppcmbe2/adams-1787-2#sTok6424	some	some	Q	salt:/ppcmbe2/adams-1787-2#structure3791	In some trees	PP	salt:/ppcmbe2/adams-1787-2#structure3792	some trees	NP	salt:/ppcmbe2/adams-1787-2#sTok6425	trees	tree	NS	Adams, George 	b. 1750, d. 1795 	1787 	adams-1787 	SCIENCE OTHER 	n/a 
