1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23312665	any	any	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23312664	into any other Book	PP	23312666	any other Book	NP	23312668	Book	book	N	23312668	Book	book	N	23312666	any other Book	NP	23312666	any other Book	NP
23313000	some	some	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23312999	from some Book	PP	23313001	some Book	NP	23313002	Book	book	N	23313002	Book	book	N	23313001	some Book	NP	23313001	some Book	NP
23313189	any	any	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23313188	of any other Book	PP	23313190	any other Book	NP	23313192	Book	book	N	23313192	Book	book	N	23313190	any other Book	NP	23313190	any other Book	NP
23313216	any	any	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23313212	nor is there any Book of a more easy , and familiar Stile than the Gospels	IP	23313217	any Book of a more easy , and familiar Stile than the Gospels	NP	23313218	Book	book	N	23313218	Book	book	N	23313217	any Book of a more easy , and familiar Stile than the Gospels	NP	23313217	any Book of a more easy , and familiar Stile than the Gospels	NP
23314333	no	no	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23314311	Boys , immediately after 0 they have learn'd to decline Nouns and Verbs , taught no other Book *ICH*-3 for some Time , but the <font> New Testament	IP	23314334	no other Book *ICH*-3	NP	23314336	Book	book	N	23314336	Book	book	N	23314334	no other Book *ICH*-3	NP	23314334	no other Book *ICH*-3	NP
23332182	some	some	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23332177	he had not understood some other philosophical books	IP	23332183	some other philosophical books	NP	23332186	books	book	NS	23332186	books	book	NS	23332183	some other philosophical books	NP	23332183	some other philosophical books	NP
23378907	any	any	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23378906	or any other book	CONJP	23378908	any other book	NP	23378910	book	book	N	23378910	book	book	N	23378908	any other book	NP	23378908	any other book	NP
23433769	no	no	Q	Bain, Alexander 	1878 	bain-1878 	EDUC TREAT 	n/a 	bain-1878-1	23433764	Now there is no book 0 that *T*-2 has been so abundantly *ICH*-3 commented on *-2 as the Bible .	IP-MAT	23433770	no book 0 that *T*-2 has been so abundantly *ICH*-3 commented on *-2 as the Bible	NP	23433771	book	book	N	23433771	book	book	N	23433770	no book 0 that *T*-2 has been so abundantly *ICH*-3 commented on *-2 as the Bible	NP	23433770	no book 0 that *T*-2 has been so abundantly *ICH*-3 commented on *-2 as the Bible	NP
23480123	any	any	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23480122	or any book as much after the <font> Latin <$$font> idiom	CONJP	23480124	any book as much after the <font> Latin <$$font> idiom	NP	23480125	book	book	N	23480125	book	book	N	23480124	any book as much after the <font> Latin <$$font> idiom	NP	23480124	any book as much after the <font> Latin <$$font> idiom	NP
23480534	any	any	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23480533	or any other book whence 0 *T*-1 they have learned their phrases	CONJP	23480535	any other book whence 0 *T*-1 they have learned their phrases	NP	23480537	book	book	N	23480537	book	book	N	23480535	any other book whence 0 *T*-1 they have learned their phrases	NP	23480535	any other book whence 0 *T*-1 they have learned their phrases	NP
