1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23773859	Both	both	Q	Boswell, James 	1768 	boswell-1768 	HISTORY 	n/a 	boswell-1768-2	23773860	Both the brothers have the spirit of their father .	IP-MAT	23773861	Both the brothers	NP	23773863	brothers	brother	NS	23773863	brothers	brother	NS	23773861	Both the brothers	NP	23773861	Both the brothers	NP
24213485	all	all	Q	Centlivre, Susanna 	1723 	centlivre-1723 	DRAMA COMEDY 	n/a 	centlivre-1723-2	24213475	<font> Sir John . <$$font> Then not all the Brothers upon Earth shall take thee from me .	IP-MAT	24213486	all the Brothers upon Earth	NP	24213488	Brothers	brother	NS	24213488	Brothers	brother	NS	24213486	all the Brothers upon Earth	NP	24213486	all the Brothers upon Earth	NP
24254756	many	many	Q	Cibber, Colley 	1740 	cibber-1740 	BIOGR AUTO 	n/a 	cibber-1740-1	24254715	0 were it possible to take off that Disgrace and Prejudice , which 0 *T*-2 Custom has thrown upon the Profession of an Actor , many a well-born younger Brother and Beauty of low Fortune *ICH*-3 would gladly have adorn'd the Theatre , who 0 *T*-4 by their not being able to brook such Dishonour to their Birth , have pass'd away their Lives decently unheeded and forgotten	IP	24254757	many a well-born younger Brother and Beauty of low Fortune *ICH*-3	NP	24254761	Brother	brother	N	24254761	Brother	brother	N	24254757	many a well-born younger Brother and Beauty of low Fortune *ICH*-3	NP	24254757	many a well-born younger Brother and Beauty of low Fortune *ICH*-3	NP
24856809	all	all	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24856808	unto all the brethren	PP	24856810	all the brethren	NP	24856812	brethren	brother	NS	24856812	brethren	brother	NS	24856810	all the brethren	NP	24856810	all the brethren	NP
24880545	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24880546	all thy brethren the sons of Levi with thee	IP	24880547	all thy brethren the sons of Levi	NP	24880549	brethren	brother	NS	24880549	brethren	brother	NS	24880547	all thy brethren the sons of Levi	NP	24880547	all thy brethren the sons of Levi	NP
24889537	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24889536	of all his brethren	PP	24889538	all his brethren	NP	24889540	brethren	brother	NS	24889540	brethren	brother	NS	24889538	all his brethren	NP	24889538	all his brethren	NP
25068013	many	many	Q	Fielding, Sarah 	1744 	fielding2-1744 	FICTION 	n/a 	fielding2-1744-2	25068014	many a Brother in your Case , I believe , 0 *ICH*-1 would think themselves very happy , to meet with the Usage 0 0 *T*-2 you have , without wanting to make mischief in Families .	IP-MAT-SPE	25068015	many a Brother in your Case	NP	25068017	Brother	brother	N	25068017	Brother	brother	N	25068015	many a Brother in your Case	NP	25068015	many a Brother in your Case	NP
25664443	all	all	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25664435	we on our part forgive all our brethren	IP	25664444	all our brethren	NP	25664446	brethren	brother	NS	25664446	brethren	brother	NS	25664444	all our brethren	NP	25664444	all our brethren	NP
26513419	all	all	Q	Liddell, Henry Parry 	1889 	liddon-1889 	SERMON 	n/a 	liddon-1889-2	26513418	with all his brethren	PP	26513420	all his brethren	NP	26513422	brethren	brother	NS	26513422	brethren	brother	NS	26513420	all his brethren	NP	26513420	all his brethren	NP
26828234	some	some	Q	Miles, William J. 	1893 	miles2-1893 	HANDB OTHER 	n/a 	miles2-1893-2	26828233	*T*-2 some brother sportsman has perhaps given you notice	IP	26828235	some brother sportsman	NP	26828236	brother	brother	N	26828236	brother	brother	N	26828235	some brother sportsman	NP	26828235	some brother sportsman	NP
