1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23269672	any	any	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23269671	in any country in christendom	PP	23269673	any country in christendom	NP	23269674	country	country	N	23269674	country	country	N	23269673	any country in christendom	NP	23269673	any country in christendom	NP
23274198	all	all	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23274197	in all countries	PP	23274199	all countries	NP	23274200	countries	country	NS	23274200	countries	country	NS	23274199	all countries	NP	23274199	all countries	NP
23279101	any	any	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23279100	in any country whatever	PP	23279102	any country whatever	NP	23279103	country	country	N	23279103	country	country	N	23279102	any country whatever	NP	23279102	any country whatever	NP
23308704	any	any	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23308703	of any Country	PP	23308705	any Country	NP	23308706	Country	country	N	23308706	Country	country	N	23308705	any Country	NP	23308705	any Country	NP
23517718	any	any	Q	Barton, Frank Townend, and George Gresswell. 	1906 	barton-gresswell-1906 	SCIENCE MEDICINE 	n/a 	barton-gresswell-1906-2	23517717	in any country	PP	23517719	any country	NP	23517720	country	country	N	23517720	country	country	N	23517719	any country	NP	23517719	any country	NP
23565294	all	all	Q	Bell, Gertrude 	1911 	bell-1911 	TRAVELOGUE 	n/a 	bell-1911-2	23565295	all the country along the river-bank below Hilleh has gone out of cultivation	IP	23565296	all the country along the river-bank	NP	23565298	country	country	N	23565298	country	country	N	23565296	all the country along the river-bank	NP	23565296	all the country along the river-bank	NP
23741130	every	every	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23741129	in every country on earth	PP	23741131	every country on earth	NP	23741132	country	country	N	23741132	country	country	N	23741131	every country on earth	NP	23741131	every country on earth	NP
23758821	many	many	Q	Boswell, James 	1768 	boswell-1768 	HISTORY 	n/a 	boswell-1768-2	23758820	to many distant countries	PP	23758822	many distant countries	NP	23758824	countries	country	NS	23758824	countries	country	NS	23758822	many distant countries	NP	23758822	many distant countries	NP
23759995	every	every	Q	Boswell, James 	1768 	boswell-1768 	HISTORY 	n/a 	boswell-1768-2	23759994	in every other country to which 0 *T*-3 their arms penetrated	PP	23759996	every other country to which 0 *T*-3 their arms penetrated	NP	23759998	country	country	N	23759998	country	country	N	23759996	every other country to which 0 *T*-3 their arms penetrated	NP	23759996	every other country to which 0 *T*-3 their arms penetrated	NP
23785441	no	no	Q	Boswell, James 	1776 	boswell-1776 	DIARY PRIV 	n/a 	boswell-1776-1	23785440	in no pleasing country	PP	23785442	no pleasing country	NP	23785444	country	country	N	23785444	country	country	N	23785442	no pleasing country	NP	23785442	no pleasing country	NP
24004461	no	no	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24004460	in no country	PP	24004462	no country	NP	24004463	country	country	N	24004463	country	country	N	24004462	no country	NP	24004462	no country	NP
24041702	any	any	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1768 	burney-1768 	DIARY PRIV 	n/a 	burney-1768-2	24041700	as <font> any <$$font> country whatever	PP	24041703	any <$$font> country whatever	NP	24041705	country	country	N	24041705	country	country	N	24041703	any <$$font> country whatever	NP	24041703	any <$$font> country whatever	NP
24323543	half	half	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24323544	half the country are out with her	IP	24323545	half the country	NP	24323547	country	country	N	24323547	country	country	N	24323545	half the country	NP	24323545	half the country	NP
24359905	many	many	Q	Colman, George, the younger 	1805 	colman-1805 	DRAMA COMEDY 	n/a 	colman-1805-1	24359902	I traversed many countries , on my outset , in pain and poverty	IP	24359906	many countries	NP	24359907	countries	country	NS	24359907	countries	country	NS	24359906	many countries	NP	24359906	many countries	NP
24427838	several	several	Q	Cooke, Edward 	1712 	cooke1-1712 	TRAVELOGUE 	n/a 	cooke1-1712-1	24427835	of the several Countries 0 0 we sail'd along *T*-1 in the <font> South Sea	PP	24427837	the several Countries 0 0 we sail'd along *T*-1 in the <font> South Sea	NP	24427839	Countries	country	NS	24427839	Countries	country	NS	24427837	the several Countries 0 0 we sail'd along *T*-1 in the <font> South Sea	NP	24427837	the several Countries 0 0 we sail'd along *T*-1 in the <font> South Sea	NP
24704702	all	all	Q	Disraeli, Benjamin, 1st earl of Beaconsfield 	1827 	disraeli-1827 	FICTION 	n/a 	disraeli-1827-2	24704701	in all countries	PP	24704703	all countries	NP	24704704	countries	country	NS	24704704	countries	country	NS	24704703	all countries	NP	24704703	all countries	NP
24705082	every	every	Q	Disraeli, Benjamin, 1st earl of Beaconsfield 	1827 	disraeli-1827 	FICTION 	n/a 	disraeli-1827-2	24705081	in every country	PP	24705083	every country	NP	24705084	country	country	N	24705084	country	country	N	24705083	every country	NP	24705083	every country	NP
24765480	all	all	Q	Drummond, John 	1718 	drummond-1718 	HANDB OTHER 	n/a 	drummond-1718-1	24765479	by all Countries on this side the Line	PP	24765481	all Countries on this side the Line	NP	24765482	Countries	country	NS	24765482	Countries	country	NS	24765481	all Countries on this side the Line	NP	24765481	all Countries on this side the Line	NP
24873832	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24873833	all the country of the Amalekites , and also the Amorites , 0 that *T*-1 dwelt in Hazazon-tamar	NP	24873834	all the country of the Amalekites	NP	24873836	country	country	N	24873836	country	country	N	24873834	all the country of the Amalekites	NP	24873834	all the country of the Amalekites	NP
24910643	half	half	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24910642	and half the hill country of Gilead	CONJP	24910644	half the hill country of Gilead	NP	24910647	country	country	N	24910647	country	country	N	24910644	half the hill country of Gilead	NP	24910644	half the hill country of Gilead	NP
25047363	both	both	Q	Fielding, Henry 	1754 	fielding1-1754 	TRAVELOGUE 	n/a 	fielding1-1754-2	25047362	of both countries	PP	25047364	both countries	NP	25047365	countries	country	NS	25047365	countries	country	NS	25047364	both countries	NP	25047364	both countries	NP
25051798	any	any	Q	Fielding, Henry 	1754 	fielding1-1754 	TRAVELOGUE 	n/a 	fielding1-1754-2	25051797	in any country	PP	25051799	any country	NP	25051800	country	country	N	25051800	country	country	N	25051799	any country	NP	25051799	any country	NP
25054455	any	any	Q	Fielding, Henry 	1754 	fielding1-1754 	TRAVELOGUE 	n/a 	fielding1-1754-2	25054454	in any country 0 0 *T*-1 they visit	PP	25054456	any country 0 0 *T*-1 they visit	NP	25054457	country	country	N	25054457	country	country	N	25054456	any country 0 0 *T*-1 they visit	NP	25054456	any country 0 0 *T*-1 they visit	NP
25462618	every	every	Q	n/a 	1781 	gordon-1781 	PROC TRIAL 	n/a 	gordon-1781-2	25462617	in every civilized country	PP	25462619	every civilized country	NP	25462621	country	country	N	25462621	country	country	N	25462619	every civilized country	NP	25462619	every civilized country	NP
25465591	any	any	Q	n/a 	1781 	gordon-1781 	PROC TRIAL 	n/a 	gordon-1781-2	25465590	in any country	PP	25465592	any country	NP	25465593	country	country	N	25465593	country	country	N	25465592	any country	NP	25465592	any country	NP
25806262	no	no	Q	Hind, Thomas 	1707 	hind-1707 	HISTORY 	n/a 	hind-1707-1	25806260	*T*-2 had no Country of his own 0 *T*-3 to inhabit	IP	25806263	no Country of his own 0 *T*-3 to inhabit	NP	25806264	Country	country	N	25806264	Country	country	N	25806263	no Country of his own 0 *T*-3 to inhabit	NP	25806263	no Country of his own 0 *T*-3 to inhabit	NP
25834465	both	both	Q	Hodgkin, Thomas 	1880 	hodgkin-1880 	HISTORY 	n/a 	hodgkin-1880-2	25834464	in both countries	PP	25834466	both countries	NP	25834467	countries	country	NS	25834467	countries	country	NS	25834466	both countries	NP	25834466	both countries	NP
26169264	several	several	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26169261	in the several Countries 0 0 they came to *T*-2	PP	26169263	the several Countries 0 0 they came to *T*-2	NP	26169265	Countries	country	NS	26169265	Countries	country	NS	26169263	the several Countries 0 0 they came to *T*-2	NP	26169263	the several Countries 0 0 they came to *T*-2	NP
26212505	no	no	Q	Kingsley, Mary Henrietta 	1897 	kingsley-1897 	TRAVELOGUE 	n/a 	kingsley-1897-2	26212506	no country and no ruler	NP	26212507	no country	NP	26212508	country	country	N	26212508	country	country	N	26212507	no country	NP	26212507	no country	NP
26251252	several	several	Q	Knox, John 	1786 (published 1787) 	knox-1786 	TRAVELOGUE 	n/a 	knox-1786-2	26251253	several country people with a boat and net	IP	26251254	several country people	NP	26251255	country	country	N	26251255	country	country	N	26251254	several country people	NP	26251254	several country people	NP
26257623	any	any	Q	Knox, John 	1786 (published 1787) 	knox-1786 	TRAVELOGUE 	n/a 	knox-1786-2	26257622	in any other country	PP	26257624	any other country	NP	26257626	country	country	N	26257626	country	country	N	26257624	any other country	NP	26257624	any other country	NP
26549677	all	all	Q	Long, George 	1866 	long-1866 	HISTORY 	n/a 	long-1866-1	26549676	of all the open country	PP	26549678	all the open country	NP	26549681	country	country	N	26549681	country	country	N	26549678	all the open country	NP	26549678	all the open country	NP
26606548	all	all	Q	Thomas Babington Macaulay, baron Macaulay 	1833 	macaulay-1833 	HISTORY 	n/a 	macaulay-1833-2	26606547	to all neighbouring countries	PP	26606549	all neighbouring countries	NP	26606551	countries	country	NS	26606551	countries	country	NS	26606549	all neighbouring countries	NP	26606549	all neighbouring countries	NP
26638521	no	no	Q	Thomas Babington Macaulay, baron Macaulay 	1849 (revised 1857) 	macaulay-1849 	HISTORY 	n/a 	macaulay-1849-2	26638520	In no other country	PP	26638522	no other country	NP	26638524	country	country	N	26638524	country	country	N	26638522	no other country	NP	26638522	no other country	NP
26639266	some	some	Q	Thomas Babington Macaulay, baron Macaulay 	1849 (revised 1857) 	macaulay-1849 	HISTORY 	n/a 	macaulay-1849-2	26639265	in some other countries	PP	26639267	some other countries	NP	26639269	countries	country	NS	26639269	countries	country	NS	26639267	some other countries	NP	26639267	some other countries	NP
26639645	any	any	Q	Thomas Babington Macaulay, baron Macaulay 	1849 (revised 1857) 	macaulay-1849 	HISTORY 	n/a 	macaulay-1849-2	26639644	in any other country	PP	26639646	any other country	NP	26639648	country	country	N	26639648	country	country	N	26639646	any other country	NP	26639646	any other country	NP
26645771	no	no	Q	Thomas Babington Macaulay, baron Macaulay 	1849 (revised 1857) 	macaulay-1849 	HISTORY 	n/a 	macaulay-1849-2	26645770	in no country 0 that *T*-1 is called *-2 Roman Catholic	PP	26645772	no country 0 that *T*-1 is called *-2 Roman Catholic	NP	26645773	country	country	N	26645773	country	country	N	26645772	no country 0 that *T*-1 is called *-2 Roman Catholic	NP	26645772	no country 0 that *T*-1 is called *-2 Roman Catholic	NP
26660749	any	any	Q	Macquarie, Lachlan 	1815 	macquarie-1815 	TRAVELOGUE 	Macquarie papers in the Mitchell library 	macquarie-1815-2	26660748	in any country 0 0 *T*-2 I have yet visited	PP	26660750	any country 0 0 *T*-2 I have yet visited	NP	26660751	country	country	N	26660751	country	country	N	26660750	any country 0 0 *T*-2 I have yet visited	NP	26660750	any country 0 0 *T*-2 I have yet visited	NP
26672706	some	some	Q	Macquarie, Lachlan 	1815 	macquarie-1815 	TRAVELOGUE 	Macquarie papers in the Mitchell library 	macquarie-1815-2	26672705	through some very fine grazing country tollerably well watered	PP	26672707	some very fine grazing country tollerably well watered	NP	26672712	country	country	N	26672712	country	country	N	26672707	some very fine grazing country tollerably well watered	NP	26672707	some very fine grazing country tollerably well watered	NP
26852943	every	every	Q	Mill, John Stuart 	1871 	mill-1871 	LET PRIV 	n/a 	mill-1871-2	26852942	and every other country	CONJP	26852944	every other country	NP	26852946	country	country	N	26852946	country	country	N	26852944	every other country	NP	26852944	every other country	NP
26856471	no	no	Q	Mill, John Stuart 	1871 	mill-1871 	LET PRIV 	n/a 	mill-1871-2	26856472	no other country could do	IP	26856473	no other country	NP	26856475	country	country	N	26856475	country	country	N	26856473	no other country	NP	26856473	no other country	NP
26857037	both	both	Q	Mill, John Stuart 	1871 	mill-1871 	LET PRIV 	n/a 	mill-1871-2	26857036	in both countries	PP	26857038	both countries	NP	26857039	countries	country	NS	26857039	countries	country	NS	26857038	both countries	NP	26857038	both countries	NP
26861425	every	every	Q	Mill, John Stuart 	1871 	mill-1871 	LET PRIV 	n/a 	mill-1871-2	26861424	*T*-1 every country necessarily carries on for itself	IP	26861426	every country	NP	26861427	country	country	N	26861427	country	country	N	26861426	every country	NP	26861426	every country	NP
