1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23232269	all	all	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23232268	bringing all his creatures to a state of truth , goodness , and consequent happiness , an end worthy of the best and wisest of beings	IP	23232270	all his creatures	NP	23232272	creatures	creature	NS	23232272	creatures	creature	NS	23232270	all his creatures	NP	23232270	all his creatures	NP
23456436	all	all	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23456437	all Creatures *ICH*-1 do * 0 that *T*-2 undergo such like Changes	IP	23456438	all Creatures *ICH*-1	NP	23456439	Creatures	creature	NS	23456439	Creatures	creature	NS	23456438	all Creatures *ICH*-1	NP	23456438	all Creatures *ICH*-1	NP
23648832	every	every	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-1	23648831	For every creature diligently pursues the end of self-preservation ,	IP-MAT-SPE	23648833	every creature	NP	23648834	creature	creature	N	23648834	creature	creature	N	23648833	every creature	NP	23648833	every creature	NP
23675595	All	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23675596	All mortal creatures in those anxious aims which 0 *T*-1 find employment in so many varied pursuits , though 0 they take many paths , yet strive to reach one goal - the goal of happiness	IP	23675597	All mortal creatures	NP	23675599	creatures	creature	NS	23675599	creatures	creature	NS	23675597	All mortal creatures	NP	23675597	All mortal creatures	NP
23702443	every	every	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23702442	*T*-1 every creature bears to itself	IP	23702444	every creature	NP	23702445	creature	creature	N	23702445	creature	creature	N	23702444	every creature	NP	23702444	every creature	NP
23702846	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23702845	*T*-2 all creatures desire	IP	23702847	all creatures	NP	23702848	creatures	creature	NS	23702848	creatures	creature	NS	23702847	all creatures	NP	23702847	all creatures	NP
23710261	any	any	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23710254	*T*-6 $can $not {TEXT:cannot} possibly mislead any creature from its origin	IP	23710262	any creature	NP	23710263	creature	creature	N	23710263	creature	creature	N	23710262	any creature	NP	23710262	any creature	NP
23730270	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23730266	mankind should excel all terrestrial creatures	IP	23730271	all terrestrial creatures	NP	23730273	creatures	creature	NS	23730273	creatures	creature	NS	23730271	all terrestrial creatures	NP	23730271	all terrestrial creatures	NP
23857116	any	any	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23857115	in any Creature	PP	23857117	any Creature	NP	23857118	Creature	creature	N	23857118	Creature	creature	N	23857117	any Creature	NP	23857117	any Creature	NP
23859993	any	any	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23859994	any Creature should keep at the same Standard or <font> Mathematical point <$$font> of Health , even a Moment of Time	IP	23859995	any Creature	NP	23859996	Creature	creature	N	23859996	Creature	creature	N	23859995	any Creature	NP	23859995	any Creature	NP
23860042	all	all	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23860040	Yet all Creatures may properly be said *-1 to enjoy Health , when 0 they <font> sleep , *con* eat , *con* digest well , and *con* move without pain ; <$$font>	IP-MAT	23860043	all Creatures	NP	23860044	Creatures	creature	NS	23860044	Creatures	creature	NS	23860043	all Creatures	NP	23860043	all Creatures	NP
23864541	any	any	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23864540	relieving any Creature in Sickness , or $Disease	IP	23864542	any Creature in Sickness , or $Disease	NP	23864543	Creature	creature	N	23864543	Creature	creature	N	23864542	any Creature in Sickness , or $Disease	NP	23864542	any Creature in Sickness , or $Disease	NP
23915291	all	all	Q	Brady, Nicholas 	1713 	brady-1713 	SERMON 	n/a 	brady-1713-2	23915290	for all his Creatures	PP	23915292	all his Creatures	NP	23915294	Creatures	creature	NS	23915294	Creatures	creature	NS	23915292	all his Creatures	NP	23915292	all his Creatures	NP
23924984	all	all	Q	Brady, Nicholas 	1713 	brady-1713 	SERMON 	n/a 	brady-1713-2	23924983	of all God's good Creatures	PP	23924985	all God's good Creatures	NP	23924988	Creatures	creature	NS	23924988	Creatures	creature	NS	23924985	all God's good Creatures	NP	23924985	all God's good Creatures	NP
24132240	any	any	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24132239	or any Creature	CONJP	24132241	any Creature	NP	24132242	Creature	creature	N	24132242	Creature	creature	N	24132241	any Creature	NP	24132241	any Creature	NP
