1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23243922	several	several	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23243921	for several days	PP	23243923	several days	NP	23243924	days	day	NS	23243924	days	day	NS	23243923	several days	NP	23243923	several days	NP
23313835	every	every	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23313827	Thus two Chapters wou'd be learn'd every Day ,	IP-MAT	23313836	every Day	NP	23313837	Day	day	N	23313837	Day	day	N	23313836	every Day	NP	23313836	every Day	NP
23314291	every	every	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23314285	two Chapters shou'd be learn'd every Day , according to the fore-going Method	IP	23314292	every Day	NP	23314293	Day	day	N	23314293	Day	day	N	23314292	every Day	NP	23314292	every Day	NP
23322429	each	each	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23322420	an Hour or two each Day will be thought *-2 too much by him	IP	23322421	an Hour or two each Day	NP	23322430	Day	day	N	23322430	Day	day	N	23322421	an Hour or two each Day	NP	23322421	an Hour or two each Day	NP
23352221	several	several	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23352220	For several days	PP	23352222	several days	NP	23352223	days	day	NS	23352223	days	day	NS	23352222	several days	NP	23352222	several days	NP
23360668	any	any	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23360667	or any day in Lent	CONJP	23360669	any day in Lent	NP	23360670	day	day	N	23360670	day	day	N	23360669	any day in Lent	NP	23360669	any day in Lent	NP
23365728	every	every	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23365726	*T*-2 sails every day	IP	23365729	every day	NP	23365730	day	day	N	23365730	day	day	N	23365729	every day	NP	23365729	every day	NP
23372823	few	few	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23372820	for a few days	PP	23372822	a few days	NP	23372824	days	day	NS	23372824	days	day	NS	23372822	a few days	NP	23372822	a few days	NP
23377711	few	few	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23377709	A few days ago	ADVP	23377710	A few days	NP	23377712	days	day	NS	23377712	days	day	NS	23377710	A few days	NP	23377710	A few days	NP
23379658	each	each	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23379654	she has been each day expecting to be able to come on the morrow	IP	23379659	each day	NP	23379660	day	day	N	23379660	day	day	N	23379659	each day	NP	23379659	each day	NP
23380049	few	few	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23380047	a few days since	ADVP	23380048	a few days	NP	23380050	days	day	NS	23380050	days	day	NS	23380048	a few days	NP	23380048	a few days	NP
