1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
24300034	some	some	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24300028	You ought to dig <P_157> some earth away a little distance all round the tree to a considerable depth	IP	24300035	some earth	NP	24300036	earth	earth	N	24300036	earth	earth	N	24300035	some earth	NP	24300035	some earth	NP
24863649	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24863648	over all the earth	PP	24863650	all the earth	NP	24863652	earth	earth	N	24863652	earth	earth	N	24863650	all the earth	NP	24863650	all the earth	NP
24863854	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24863853	of all the earth	PP	24863855	all the earth	NP	24863857	earth	earth	N	24863857	earth	earth	N	24863855	all the earth	NP	24863855	all the earth	NP
24868020	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24868019	of all the earth	PP	24868021	all the earth	NP	24868023	earth	earth	N	24868023	earth	earth	N	24868021	all the earth	NP	24868021	all the earth	NP
24878651	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24878650	*T*-2 all the earth shall be filled with the glory of the Lord	IP	24878652	all the earth	NP	24878654	earth	earth	N	24878654	earth	earth	N	24878652	all the earth	NP	24878652	all the earth	NP
24887025	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24887024	of all the earth	PP	24887026	all the earth	NP	24887028	earth	earth	N	24887028	earth	earth	N	24887026	all the earth	NP	24887026	all the earth	NP
24887079	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24887078	of all the earth	PP	24887080	all the earth	NP	24887082	earth	earth	N	24887082	earth	earth	N	24887080	all the earth	NP	24887080	all the earth	NP
24887107	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24887106	of all the earth	PP	24887108	all the earth	NP	24887110	earth	earth	N	24887110	earth	earth	N	24887108	all the earth	NP	24887108	all the earth	NP
24892404	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24892403	of all the earth	PP	24892405	all the earth	NP	24892407	earth	earth	N	24892407	earth	earth	N	24892405	all the earth	NP	24892405	all the earth	NP
24894785	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24894784	of all the earth	PP	24894786	all the earth	NP	24894788	earth	earth	N	24894788	earth	earth	N	24894786	all the earth	NP	24894786	all the earth	NP
24928732	some	some	Q	Fallowfield, John 	1791 	fallowfield-1791 	HANDB OTHER 	n/a 	fallowfield-1791-2	24928716	If 0 you have any peas above ground , some earth should be drawn to their stems to protect them from frost .	IP-MAT	24928733	some earth	NP	24928734	earth	earth	N	24928734	earth	earth	N	24928733	some earth	NP	24928733	some earth	NP
25647352	all	all	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25647351	of all the earth	PP	25647353	all the earth	NP	25647355	earth	earth	N	25647355	earth	earth	N	25647353	all the earth	NP	25647353	all the earth	NP
27789080	all	all	Q	Ruskin, John 	1882 	ruskin-1882 	DIARY PRIV 	n/a 	ruskin-1882-2	27789079	and all the earth	CONJP	27789081	all the earth	NP	27789083	earth	earth	N	27789083	earth	earth	N	27789081	all the earth	NP	27789081	all the earth	NP
28779827	all	all	Q	Wesley, John 	1750 	wesley-1750 	SERMON 	n/a 	wesley-1750-2	28779826	over all the Earth	PP	28779828	all the Earth	NP	28779830	Earth	earth	N	28779830	Earth	earth	N	28779828	all the Earth	NP	28779828	all the Earth	NP
28841763	all	all	Q	Whitefield, George 	1737 (published in 1738) 	whitefield-1737 	SERMON 	n/a 	whitefield-1737-2	28841762	of all the Earth	PP	28841764	all the Earth	NP	28841766	Earth	earth	N	28841766	Earth	earth	N	28841764	all the Earth	NP	28841764	all the Earth	NP
