1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23334621	some	some	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23334605	his attachment to the Earl of Shaftesbury having procured him some powerful enemies	IP	23334622	some powerful enemies	NP	23334624	enemies	enemy	NS	23334624	enemies	enemy	NS	23334622	some powerful enemies	NP	23334622	some powerful enemies	NP
24641890	all	all	Q	De Courcy, Richard 	1776 	decourcy-1776 	SERMON 	n/a 	decourcy-1776-2	24641889	against all your enemies	PP	24641891	all your enemies	NP	24641893	enemies	enemy	NS	24641893	enemies	enemy	NS	24641891	all your enemies	NP	24641891	all your enemies	NP
24745122	any	any	Q	Donan, Sir Arthur Conan 	1905 	doyle-1905 	FICTION 	n/a 	doyle-1905-2	24745119	Had he any enemies	IP	24745123	any enemies	NP	24745124	enemies	enemy	NS	24745124	enemies	enemy	NS	24745123	any enemies	NP	24745123	any enemies	NP
24917624	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24917621	to thrust out all thine enemies from *T*-2 before thee	IP	24917625	all thine enemies	NP	24917627	enemies	enemy	NS	24917627	enemies	enemy	NS	24917625	all thine enemies	NP	24917625	all thine enemies	NP
25035466	all	all	Q	Fielding, Henry 	1749 	fielding1-1749 	FICTION 	n/a 	fielding1-1749-1	25035465	of all her numerous Enemies	PP	25035467	all her numerous Enemies	NP	25035470	Enemies	enemy	NS	25035470	Enemies	enemy	NS	25035467	all her numerous Enemies	NP	25035467	all her numerous Enemies	NP
25336266	no	no	Q	Gibson, ? 	1729 	gibson-1729 	HISTORY 	n/a 	gibson-1729-2	25336263	she was no real Enemy to those who 0 *T*-4 adhered to his Interest	IP	25336267	no real Enemy	NP	25336269	Enemy	enemy	N	25336269	Enemy	enemy	N	25336267	no real Enemy	NP	25336267	no real Enemy	NP
25907244	all	all	Q	n/a 	1749 (published 1751) 	holmes-trial-1749 	PROC TRIAL 	n/a 	holmes-trial-1749-1	25907243	of all the Enemy	PP	25907245	all the Enemy	NP	25907247	Enemy	enemy	N	25907247	Enemy	enemy	N	25907245	all the Enemy	NP	25907245	all the Enemy	NP
26549555	no	no	Q	Long, George 	1866 	long-1866 	HISTORY 	n/a 	long-1866-1	26549556	no enemy should be killed , if 0 he threw down his arms	IP	26549557	no enemy	NP	26549558	enemy	enemy	N	26549558	enemy	enemy	N	26549557	no enemy	NP	26549557	no enemy	NP
27606950	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27606944	he would drive away all thy Enemies from thy Presence , as 0 0 *T*-4 he himself spoke	IP	27606951	all thy Enemies	NP	27606953	Enemies	enemy	NS	27606953	Enemies	enemy	NS	27606951	all thy Enemies	NP	27606951	all thy Enemies	NP
27825978	all	all	Q	Salmon, Thomas 	1724 	salmon-1724 	HISTORY 	n/a 	salmon-1724-2	27825976	to discard all his Enemies	IP	27825979	all his Enemies	NP	27825981	Enemies	enemy	NS	27825981	Enemies	enemy	NS	27825979	all his Enemies	NP	27825979	all his Enemies	NP
28040047	all	all	Q	n/a 	1835 	statutes-1835 	LAW 	n/a 	statutes-1835-1	28040046	against all Enemies	PP	28040048	all Enemies	NP	28040049	Enemies	enemy	NS	28040049	Enemies	enemy	NS	28040048	all Enemies	NP	28040048	all Enemies	NP
28609662	no	no	Q	Walpole, Horace, earl of Orford 	Letters to Conway: 1790 (141-142), 1791 (143), 1792 (144), 1793 (145-146), 1794 (147), 1795 (148-149) Letters to More: 1790 (17), 1791 (18), 1792 (19), 1793 (20-21), 1794 (22), 1795 (23) 	walpole-179x 	LET PRIV 	n/a 	walpole-179x-2	28609659	they have no foreign enemy	IP	28609663	no foreign enemy	NP	28609665	enemy	enemy	N	28609665	enemy	enemy	N	28609663	no foreign enemy	NP	28609663	no foreign enemy	NP
28761998	all	all	Q	Wesley, John 	1744-1745 	wesley-174x 	DIARY PRIV 	n/a 	wesley-174x-1	28761997	against all the Enemies of your Majesty	PP	28761999	all the Enemies of your Majesty	NP	28762001	Enemies	enemy	NS	28762001	Enemies	enemy	NS	28761999	all the Enemies of your Majesty	NP	28761999	all the Enemies of your Majesty	NP
28852181	many	many	Q	Whitefield, George 	1737 (published in 1738) 	whitefield-1737 	SERMON 	n/a 	whitefield-1737-2	28852182	many powerful Enemies 0 *T*-3 to overcome	CONJP	28852183	many powerful Enemies 0 *T*-3 to overcome	NP	28852185	Enemies	enemy	NS	28852185	Enemies	enemy	NS	28852183	many powerful Enemies 0 *T*-3 to overcome	NP	28852183	many powerful Enemies 0 *T*-3 to overcome	NP
