1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23449239	each	each	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23449238	before each Eye	PP	23449240	each Eye	NP	23449241	Eye	eye	N	23449241	Eye	eye	N	23449240	each Eye	NP	23449240	each Eye	NP
23459584	each	each	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23459585	each Eye has a Violet-blew Pupil , clear and admirable , surrounded by a pale yellow Circle .	IP-MAT	23459586	each Eye	NP	23459587	Eye	eye	N	23459587	Eye	eye	N	23459586	each Eye	NP	23459586	each Eye	NP
23968467	half	half	Q	Brough, William 	1867 	brough-1867 	DRAMA COMEDY 	n/a 	brough-1867-2	23968466	with half an eye	PP	23968468	half an eye	NP	23968470	eye	eye	N	23968470	eye	eye	N	23968468	half an eye	NP	23968468	half an eye	NP
24108836	all	all	Q	Burton, Richard Francis, Sir 	1857 	burton2-1857 	TRAVELOGUE 	n/a 	burton2-1857-2	24108834	faces all eyes	IP	24108837	all eyes	NP	24108838	eyes	eye	NS	24108838	eyes	eye	NS	24108837	all eyes	NP	24108837	all eyes	NP
24122398	All	all	Q	Burton, Richard Francis, Sir 	1857 	burton2-1857 	TRAVELOGUE 	n/a 	burton2-1857-2	24122399	All eyes followed them as 0 they went through the ceremonies of Ziyarat , especially as 0 they <P_417> approached the tombs of Abubekr and Omar , - which 0 every man is bound *T*-1 to defile if 0 he can * , - and the supposed place of Fatimah's burial .	IP-MAT	24122400	All eyes	NP	24122401	eyes	eye	NS	24122401	eyes	eye	NS	24122400	All eyes	NP	24122400	All eyes	NP
24187039	any	any	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24187038	or any human eye	CONJP	24187040	any human eye	NP	24187042	eye	eye	N	24187042	eye	eye	N	24187040	any human eye	NP	24187040	any human eye	NP
24190638	many	many	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24190639	many eyes upon them , and not quite a paved path in this confused court of Friedrich I	NP	24190640	many eyes upon them	NP	24190641	eyes	eye	NS	24190641	eyes	eye	NS	24190640	many eyes upon them	NP	24190640	many eyes upon them	NP
24289755	all	all	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24289754	to all eyes	PP	24289756	all eyes	NP	24289757	eyes	eye	NS	24289757	eyes	eye	NS	24289756	all eyes	NP	24289756	all eyes	NP
24397833	every	every	Q	Cook, Ernest Thomas 	1901 	cook2-1901 	HANDB OTHER 	n/a 	cook2-1901-2	24397830	from almost every eye or bud	PP	24397832	almost every eye or bud	NP	24397834	eye	eye	N	24397834	eye	eye	N	24397832	almost every eye or bud	NP	24397832	almost every eye or bud	NP
24677756	each	each	Q	Dickens, Charles 	1837 	dickens-1837 	FICTION 	n/a 	dickens-1837-1	24677754	out o' each eye	PP	24677757	each eye	NP	24677758	eye	eye	N	24677758	eye	eye	N	24677757	each eye	NP	24677757	each eye	NP
24700373	no	no	Q	Disraeli, Benjamin, 1st earl of Beaconsfield 	1827 	disraeli-1827 	FICTION 	n/a 	disraeli-1827-2	24700372	with no pleased eyes	PP	24700374	no pleased eyes	NP	24700376	eyes	eye	NS	24700376	eyes	eye	NS	24700374	no pleased eyes	NP	24700374	no pleased eyes	NP
25659882	both	both	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25659883	both your eyes open	IP	25659884	both your eyes	NP	25659886	eyes	eye	NS	25659886	eyes	eye	NS	25659884	both your eyes	NP	25659884	both your eyes	NP
25743565	no	no	Q	Haydon, Benjamin 	1842 	haydon-1842 	DIARY PRIV 	n/a 	haydon-1842-2	25743562	He has no Eye for color - <font> none , <$$font>	IP-MAT	25743566	no Eye for color - <font> none	NP	25743567	Eye	eye	N	25743567	Eye	eye	N	25743566	no Eye for color - <font> none	NP	25743566	no Eye for color - <font> none	NP
25860917	all	all	Q	Holcroft, Thomas 	1794 	holcroft-1794 	FICTION 	n/a 	holcroft-1794-2	25860916	with all the eyes 0 0 *T*-1 I had	PP	25860918	all the eyes 0 0 *T*-1 I had	NP	25860920	eyes	eye	NS	25860920	eyes	eye	NS	25860918	all the eyes 0 0 *T*-1 I had	NP	25860918	all the eyes 0 0 *T*-1 I had	NP
26047855	every	every	Q	Johnson, Samuel 	1759 	johnson-1759 	FICTION 	n/a 	johnson-1759-2	26047854	and every eye was searching for a fault .	IP-MAT	26047856	every eye	NP	26047857	eye	eye	N	26047857	eye	eye	N	26047856	every eye	NP	26047856	every eye	NP
26115325	every	every	Q	Johnstone, James 	1786 	johnstone-1786 	DRAMA COMEDY 	n/a 	johnstone-1786-2	26115326	every eye would penetrate the thin disguise	IP	26115327	every eye	NP	26115328	eye	eye	N	26115328	eye	eye	N	26115327	every eye	NP	26115327	every eye	NP
