1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23381290	any	any	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23381285	I could not get any fish for Kintbury while 0 their family was large	IP	23381291	any fish	NP	23381292	fish	fish	N	23381292	fish	fish	N	23381291	any fish	NP	23381291	any fish	NP
24383123	some	some	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24383118	and *con* gave her some fish and birds , which 0 *T*-1 she threw back at them with an air of disdain , and *con* laughed at them heartily , by way of rebuke , as 0 0 *T*-2 we apprehended , for offering her presents in her own power 0 *T*-3 to obtain .	IP-MAT	24383124	some fish and birds , which 0 *T*-1 she threw back at them with an air of disdain , and *con* laughed at them heartily , by way of rebuke , as 0 0 *T*-2 we apprehended , for offering her presents in her own power 0 *T*-3 to obtain	NP	24383125	fish	fish	N	24383125	fish	fish	N	24383124	some fish and birds , which 0 *T*-1 she threw back at them with an air of disdain , and *con* laughed at them heartily , by way of rebuke , as 0 0 *T*-2 we apprehended , for offering her presents in her own power 0 *T*-3 to obtain	NP	24383124	some fish and birds , which 0 *T*-1 she threw back at them with an air of disdain , and *con* laughed at them heartily , by way of rebuke , as 0 0 *T*-2 we apprehended , for offering her presents in her own power 0 *T*-3 to obtain	NP
24387106	few	few	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24387101	and *con* caught a few small fish ,	IP-MAT	24387105	a few small fish	NP	24387108	fish	fish	N	24387108	fish	fish	N	24387105	a few small fish	NP	24387105	a few small fish	NP
24769119	every	every	Q	Drummond, John 	1718 	drummond-1718 	HANDB OTHER 	n/a 	drummond-1718-1	24769118	covering every Fish well with Salt	IP	24769120	every Fish	NP	24769121	Fish	fish	N	24769121	Fish	fish	N	24769120	every Fish	NP	24769120	every Fish	NP
24770160	any	any	Q	Drummond, John 	1718 	drummond-1718 	HANDB OTHER 	n/a 	drummond-1718-1	24770159	of any Fish except these which 0 the Law hath encouraged the Cure of *T*-1 , by granting a Debenture exceeding the Duties on Salt	PP	24770161	any Fish except these which 0 the Law hath encouraged the Cure of *T*-1 , by granting a Debenture exceeding the Duties on Salt	NP	24770162	Fish	fish	N	24770162	Fish	fish	N	24770161	any Fish except these which 0 the Law hath encouraged the Cure of *T*-1 , by granting a Debenture exceeding the Duties on Salt	NP	24770161	any Fish except these which 0 the Law hath encouraged the Cure of *T*-1 , by granting a Debenture exceeding the Duties on Salt	NP
24770670	any	any	Q	Drummond, John 	1718 	drummond-1718 	HANDB OTHER 	n/a 	drummond-1718-1	24770666	in short any other oyly Fish	IP	24770671	any other oyly Fish	NP	24770674	Fish	fish	N	24770674	Fish	fish	N	24770671	any other oyly Fish	NP	24770671	any other oyly Fish	NP
24870251	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24870250	and all the fishes of the sea	CONJP	24870252	all the fishes of the sea	NP	24870254	fishes	fish	NS	24870254	fishes	fish	NS	24870252	all the fishes of the sea	NP	24870252	all the fishes of the sea	NP
24912746	any	any	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24912745	of any fish 0 that *T*-5 is in the water under the earth	PP	24912747	any fish 0 that *T*-5 is in the water under the earth	NP	24912748	fish	fish	N	24912748	fish	fish	N	24912747	any fish 0 that *T*-5 is in the water under the earth	NP	24912747	any fish 0 that *T*-5 is in the water under the earth	NP
24966820	some	some	Q	Fayrer, Sir Joseph 	1900 	fayrer-1900 	BIOGR AUTO 	n/a 	fayrer-1900-1	24966819	by some great fish	PP	24966821	some great fish	NP	24966823	fish	fish	N	24966823	fish	fish	N	24966821	some great fish	NP	24966821	some great fish	NP
26258474	all	all	Q	Knox, John 	1786 (published 1787) 	knox-1786 	TRAVELOGUE 	n/a 	knox-1786-2	26258473	to all fish of that species	PP	26258475	all fish of that species	NP	26258476	fish	fish	N	26258476	fish	fish	N	26258475	all fish of that species	NP	26258475	all fish of that species	NP
