1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23887995	any	any	Q	Bradley, Arthur Granville 	1905 	bradley1-1905 	TRAVELOGUE 	n/a 	bradley1-1905-1	23887994	or any other flesh and blood	CONJP	23887996	any other flesh and blood	NP	23887998	flesh	flesh	N	23887998	flesh	flesh	N	23887996	any other flesh and blood	NP	23887996	any other flesh and blood	NP
24389351	some	some	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24389350	offered some human flesh 0 *T*-4 to sell	IP	24389352	some human flesh 0 *T*-4 to sell	NP	24389354	flesh	flesh	N	24389354	flesh	flesh	N	24389352	some human flesh 0 *T*-4 to sell	NP	24389352	some human flesh 0 *T*-4 to sell	NP
24822173	all	all	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24822172	over all flesh	PP	24822174	all flesh	NP	24822175	flesh	flesh	N	24822175	flesh	flesh	N	24822174	all flesh	NP	24822174	all flesh	NP
24833057	all	all	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24833056	upon all flesh	PP	24833058	all flesh	NP	24833059	flesh	flesh	N	24833059	flesh	flesh	N	24833058	all flesh	NP	24833058	all flesh	NP
24867258	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24867257	for all flesh had corrupted his way upon the earth .	IP-MAT	24867259	all flesh	NP	24867260	flesh	flesh	N	24867260	flesh	flesh	N	24867259	all flesh	NP	24867259	all flesh	NP
24867289	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24867288	of all flesh	PP	24867290	all flesh	NP	24867291	flesh	flesh	N	24867291	flesh	flesh	N	24867290	all flesh	NP	24867290	all flesh	NP
24867548	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24867546	to destroy all flesh , wherein 0 *T*-1 is the breath of life , from under heaven	IP	24867549	all flesh , wherein 0 *T*-1 is the breath of life	NP	24867550	flesh	flesh	N	24867550	flesh	flesh	N	24867549	all flesh , wherein 0 *T*-1 is the breath of life	NP	24867549	all flesh , wherein 0 *T*-1 is the breath of life	NP
24867661	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24867660	of all flesh	PP	24867662	all flesh	NP	24867663	flesh	flesh	N	24867663	flesh	flesh	N	24867662	all flesh	NP	24867662	all flesh	NP
24868570	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24868569	of all flesh wherein 0 *T*-2 is the breath of life	PP	24868571	all flesh wherein 0 *T*-2 is the breath of life	NP	24868572	flesh	flesh	N	24868572	flesh	flesh	N	24868571	all flesh wherein 0 *T*-2 is the breath of life	NP	24868571	all flesh wherein 0 *T*-2 is the breath of life	NP
24868609	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24868608	of all flesh	PP	24868610	all flesh	NP	24868611	flesh	flesh	N	24868611	flesh	flesh	N	24868610	all flesh	NP	24868610	all flesh	NP
24868788	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24868787	And all flesh *ICH*-1 *ICH*-3 died 0 that *T*-2 moved upon the earth , both fowl , and cattle , and beast , and every creeping thing 0 that *T*-4 creepeth upon the earth , and every man :	IP-MAT	24868789	all flesh *ICH*-1 *ICH*-3	NP	24868790	flesh	flesh	N	24868790	flesh	flesh	N	24868789	all flesh *ICH*-1 *ICH*-3	NP	24868789	all flesh *ICH*-1 *ICH*-3	NP
24869800	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24869799	of all flesh , both fowl , and cattle	PP	24869801	all flesh , both fowl , and cattle	NP	24869802	flesh	flesh	N	24869802	flesh	flesh	N	24869801	all flesh , both fowl , and cattle	NP	24869801	all flesh , both fowl , and cattle	NP
24870657	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24870655	neither shall all flesh be cut off any more by the waters of the flood ;	IP-MAT-SPE	24870658	all flesh	NP	24870659	flesh	flesh	N	24870659	flesh	flesh	N	24870658	all flesh	NP	24870658	all flesh	NP
24870883	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24870882	of all flesh	PP	24870884	all flesh	NP	24870885	flesh	flesh	N	24870885	flesh	flesh	N	24870884	all flesh	NP	24870884	all flesh	NP
24870908	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24870905	*T*-1 to destroy all flesh	IP	24870909	all flesh	NP	24870910	flesh	flesh	N	24870910	flesh	flesh	N	24870909	all flesh	NP	24870909	all flesh	NP
24870962	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24870961	of all flesh	PP	24870963	all flesh	NP	24870964	flesh	flesh	N	24870964	flesh	flesh	N	24870963	all flesh	NP	24870963	all flesh	NP
24871017	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24871016	and all flesh 0 that *T*-2 is upon the earth	CONJP	24871018	all flesh 0 that *T*-2 is upon the earth	NP	24871019	flesh	flesh	N	24871019	flesh	flesh	N	24871018	all flesh 0 that *T*-2 is upon the earth	NP	24871018	all flesh 0 that *T*-2 is upon the earth	NP
24881157	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24881156	of all flesh	PP	24881158	all flesh	NP	24881159	flesh	flesh	N	24881159	flesh	flesh	N	24881158	all flesh	NP	24881158	all flesh	NP
24900978	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24900977	of all flesh which 0 *T*-2 they offer unto the Lord , both of *ICH*-3 man and beast	PP	24900979	all flesh which 0 *T*-2 they offer unto the Lord , both of *ICH*-3 man and beast	NP	24900980	flesh	flesh	N	24900980	flesh	flesh	N	24900979	all flesh which 0 *T*-2 they offer unto the Lord , both of *ICH*-3 man and beast	NP	24900979	all flesh which 0 *T*-2 they offer unto the Lord , both of *ICH*-3 man and beast	NP
24916090	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24916089	of all flesh	PP	24916091	all flesh	NP	24916092	flesh	flesh	N	24916092	flesh	flesh	N	24916091	all flesh	NP	24916091	all flesh	NP
25371864	no	no	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25371833	by the deeds of the law , by the least impure and imperfect of human works , no flesh shall be justified in the sight of God	IP	25371865	no flesh	NP	25371866	flesh	flesh	N	25371866	flesh	flesh	N	25371865	no flesh	NP	25371865	no flesh	NP
27514472	all	all	Q	Purver, Anthony 	1764 	purver-new-1764 	BIBLE 	n/a 	purver-new-1764-2	27514471	over all Flesh	PP	27514473	all Flesh	NP	27514474	Flesh	flesh	N	27514474	Flesh	flesh	N	27514473	all Flesh	NP	27514473	all Flesh	NP
27525184	all	all	Q	Purver, Anthony 	1764 	purver-new-1764 	BIBLE 	n/a 	purver-new-1764-2	27525183	upon all Flesh	PP	27525185	all Flesh	NP	27525186	Flesh	flesh	N	27525186	Flesh	flesh	N	27525185	all Flesh	NP	27525185	all Flesh	NP
27559048	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27559049	all Flesh had made its Way corrupt on the Earth	IP	27559050	all Flesh	NP	27559051	Flesh	flesh	N	27559051	Flesh	flesh	N	27559050	all Flesh	NP	27559050	all Flesh	NP
27559323	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27559321	to destroy all Flesh in which 0 *T*-1 there is the Faculty of Life from under Heaven	IP	27559324	all Flesh in which 0 *T*-1 there is the Faculty of Life	NP	27559325	Flesh	flesh	N	27559325	Flesh	flesh	N	27559324	all Flesh in which 0 *T*-1 there is the Faculty of Life	NP	27559324	all Flesh in which 0 *T*-1 there is the Faculty of Life	NP
27559435	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27559434	of all Flesh	PP	27559436	all Flesh	NP	27559437	Flesh	flesh	N	27559437	Flesh	flesh	N	27559436	all Flesh	NP	27559436	all Flesh	NP
27560296	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27560295	of all Flesh	PP	27560297	all Flesh	NP	27560298	Flesh	flesh	N	27560298	Flesh	flesh	N	27560297	all Flesh	NP	27560297	all Flesh	NP
27560339	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27560338	of all Flesh	PP	27560340	all Flesh	NP	27560341	Flesh	flesh	N	27560341	Flesh	flesh	N	27560340	all Flesh	NP	27560340	all Flesh	NP
27560528	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27560527	*T*-3 all Flesh *ICH*-4 *ICH*-6 expired 0 that *T*-5 moved on the Earth , of the Fowls , Cattle , Beasts , and all crawling Things 0 that *T*-7 crawled upon the Ground ; with all Mankind	IP	27560529	all Flesh *ICH*-4 *ICH*-6	NP	27560530	Flesh	flesh	N	27560530	Flesh	flesh	N	27560529	all Flesh *ICH*-4 *ICH*-6	NP	27560529	all Flesh *ICH*-4 *ICH*-6	NP
27561487	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27561486	of all Flesh	PP	27561488	all Flesh	NP	27561489	Flesh	flesh	N	27561489	Flesh	flesh	N	27561488	all Flesh	NP	27561488	all Flesh	NP
27562337	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27562338	all Flesh shall not be cut off any more by the Waters of a Flood	IP	27562339	all Flesh	NP	27562340	Flesh	flesh	N	27562340	Flesh	flesh	N	27562339	all Flesh	NP	27562339	all Flesh	NP
27562562	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27562561	of all Flesh	PP	27562563	all Flesh	NP	27562564	Flesh	flesh	N	27562564	Flesh	flesh	N	27562563	all Flesh	NP	27562563	all Flesh	NP
27562646	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27562645	of all Flesh	PP	27562647	all Flesh	NP	27562648	Flesh	flesh	N	27562648	Flesh	flesh	N	27562647	all Flesh	NP	27562647	all Flesh	NP
27562703	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27562702	and all Flesh 0 that *T*-2 is upon the Earth	CONJP	27562704	all Flesh 0 that *T*-2 is upon the Earth	NP	27562705	Flesh	flesh	N	27562705	Flesh	flesh	N	27562704	all Flesh 0 that *T*-2 is upon the Earth	NP	27562704	all Flesh 0 that *T*-2 is upon the Earth	NP
27572308	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27572307	of all Flesh	PP	27572309	all Flesh	NP	27572310	Flesh	flesh	N	27572310	Flesh	flesh	N	27572309	all Flesh	NP	27572309	all Flesh	NP
27591166	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27591165	of all Flesh which 0 *T*-2 they bring to the Lord	PP	27591167	all Flesh which 0 *T*-2 they bring to the Lord	NP	27591168	Flesh	flesh	N	27591168	Flesh	flesh	N	27591167	all Flesh which 0 *T*-2 they bring to the Lord	NP	27591167	all Flesh which 0 *T*-2 they bring to the Lord	NP
27605524	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27605523	of all Flesh	PP	27605525	all Flesh	NP	27605526	Flesh	flesh	N	27605526	Flesh	flesh	N	27605525	all Flesh	NP	27605525	all Flesh	NP
27629664	no	no	Q	Pusey, Edward Bouverie 	1865 (Sermon_15), 1866 (Sermon_16) 	pusey-186x 	SERMON 	n/a 	pusey-186x-1	27629665	no flesh should glory in His Presence	IP	27629666	no flesh	NP	27629667	flesh	flesh	N	27629667	flesh	flesh	N	27629666	no flesh	NP	27629666	no flesh	NP
