1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23461043	any	any	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23461037	a <font> Gnat <$$font> finds any tender juicy Fruits , or Liquors	IP	23461044	any tender juicy Fruits , or Liquors	NP	23461047	Fruits	fruit	NS	23461047	Fruits	fruit	NS	23461044	any tender juicy Fruits , or Liquors	NP	23461044	any tender juicy Fruits , or Liquors	NP
24284839	several	several	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24284836	of the several Fruits	PP	24284838	the several Fruits	NP	24284840	Fruits	fruit	NS	24284840	Fruits	fruit	NS	24284838	the several Fruits	NP	24284838	the several Fruits	NP
24284864	All	all	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24284865	All the fruits 0 *T*-1 to be treated of *-2 here , with the exception of the cranberry , the melon , and the strawberry , are the produce of <font> trees <$$font> , or of <font> woody plants . <$$font>	IP-MAT	24284866	All the fruits 0 *T*-1 to be treated of *-2 here	NP	24284868	fruits	fruit	NS	24284868	fruits	fruit	NS	24284866	All the fruits 0 *T*-1 to be treated of *-2 here	NP	24284866	All the fruits 0 *T*-1 to be treated of *-2 here	NP
24299092	all	all	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24299093	all stone fruits do better budded than grafted	IP	24299094	all stone fruits	NP	24299096	fruits	fruit	NS	24299096	fruits	fruit	NS	24299094	all stone fruits	NP	24299094	all stone fruits	NP
24301703	each	each	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24301702	of each fruit	PP	24301704	each fruit	NP	24301705	fruit	fruit	N	24301705	fruit	fruit	N	24301704	each fruit	NP	24301704	each fruit	NP
24302296	all	all	Q	Cobbett, William 	1838 	cobbett-1838 	HANDB OTHER 	n/a 	cobbett-1838-2	24302295	to all fruit trees	PP	24302297	all fruit trees	NP	24302298	fruit	fruit	N	24302298	fruit	fruit	N	24302297	all fruit trees	NP	24302297	all fruit trees	NP
24372091	all	all	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24372088	and *con* produces all the most delicious fruits of Asia and Europe :	IP-MAT	24372092	all the most delicious fruits of Asia and Europe	NP	24372097	fruits	fruit	NS	24372097	fruits	fruit	NS	24372092	all the most delicious fruits of Asia and Europe	NP	24372092	all the most delicious fruits of Asia and Europe	NP
24814320	much	much	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24814307	but if 0 it die , it beareth much fruit .	IP-MAT-SPE	24814321	much fruit	NP	24814322	fruit	fruit	N	24814322	fruit	fruit	N	24814321	much fruit	NP	24814321	much fruit	NP
24819291	much	much	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24819263	He 0 that *T*-1 abideth in me , and I in him , the same beareth much fruit :	IP-MAT-SPE	24819292	much fruit	NP	24819293	fruit	fruit	N	24819293	fruit	fruit	N	24819292	much fruit	NP	24819292	much fruit	NP
24819446	much	much	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24819443	ye bear much fruit	IP	24819447	much fruit	NP	24819448	fruit	fruit	N	24819448	fruit	fruit	N	24819447	much fruit	NP	24819447	much fruit	NP
