1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23389211	all	all	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23389210	with all my heart	PP	23389212	all my heart	NP	23389214	heart	heart	N	23389214	heart	heart	N	23389212	all my heart	NP	23389212	all my heart	NP
23623616	all	all	Q	Benson, Arthur Christopher 	1905-1906 	benson-190x 	DIARY PRIV 	n/a 	benson-190x-1	23623615	with all my heart	PP	23623617	all my heart	NP	23623619	heart	heart	N	23623619	heart	heart	N	23623617	all my heart	NP	23623617	all my heart	NP
23631948	all	all	Q	Benson, Arthur Christopher 	1905-1906 	benson-190x 	DIARY PRIV 	n/a 	benson-190x-1	23631946	with <P_121> all my heart	PP	23631949	all my heart	NP	23631951	heart	heart	N	23631951	heart	heart	N	23631949	all my heart	NP	23631949	all my heart	NP
23632185	all	all	Q	Benson, Arthur Christopher 	1905-1906 	benson-190x 	DIARY PRIV 	n/a 	benson-190x-1	23632184	with all my heart	PP	23632186	all my heart	NP	23632188	heart	heart	N	23632188	heart	heart	N	23632186	all my heart	NP	23632186	all my heart	NP
23682976	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23682975	With all my heart	PP	23682977	all my heart	NP	23682979	heart	heart	N	23682979	heart	heart	N	23682977	all my heart	NP	23682977	all my heart	NP
24066769	all	all	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1792 	burney-1792 	DIARY PRIV 	n/a 	burney-1792-2	24066768	with all my heart	PP	24066770	all my heart	NP	24066772	heart	heart	N	24066772	heart	heart	N	24066770	all my heart	NP	24066770	all my heart	NP
24124587	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24124586	with all thine Heart	PP	24124588	all thine Heart	NP	24124590	Heart	heart	N	24124590	Heart	heart	N	24124588	all thine Heart	NP	24124588	all thine Heart	NP
24134113	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24134112	with all thy Heart	PP	24134114	all thy Heart	NP	24134116	Heart	heart	N	24134116	Heart	heart	N	24134114	all thy Heart	NP	24134114	all thy Heart	NP
24135173	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24135172	with all our Heart	PP	24135174	all our Heart	NP	24135176	Heart	heart	N	24135176	Heart	heart	N	24135174	all our Heart	NP	24135174	all our Heart	NP
24140776	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24140775	with all our Heart	PP	24140777	all our Heart	NP	24140779	Heart	heart	N	24140779	Heart	heart	N	24140777	all our Heart	NP	24140777	all our Heart	NP
24172360	every	every	Q	Carlyle, Thomas 	1837 	carlyle-1837 	HISTORY 	n/a 	carlyle-1837-1	24172359	in every heart	PP	24172361	every heart	NP	24172362	heart	heart	N	24172362	heart	heart	N	24172361	every heart	NP	24172361	every heart	NP
24173108	all	all	Q	Carlyle, Thomas 	1837 	carlyle-1837 	HISTORY 	n/a 	carlyle-1837-1	24173109	all hearts burn up into madness .	IP-MAT	24173110	all hearts	NP	24173111	hearts	heart	NS	24173111	hearts	heart	NS	24173110	all hearts	NP	24173110	all hearts	NP
24178562	all	all	Q	Carlyle, Thomas 	1837 	carlyle-1837 	HISTORY 	n/a 	carlyle-1837-1	24178561	in all hearts	PP	24178563	all hearts	NP	24178564	hearts	heart	NS	24178564	hearts	heart	NS	24178563	all hearts	NP	24178563	all hearts	NP
24211094	all	all	Q	Centlivre, Susanna 	1723 	centlivre-1723 	DRAMA COMEDY 	n/a 	centlivre-1723-2	24211079	<font> Fain . <$$font> Why , our <font> Mary <$$font> knows all her Heart , mun ,	IP-MAT	24211095	all her Heart	NP	24211097	Heart	heart	N	24211097	Heart	heart	N	24211095	all her Heart	NP	24211095	all her Heart	NP
24324055	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24324054	with all my heart	PP	24324056	all my heart	NP	24324058	heart	heart	N	24324058	heart	heart	N	24324056	all my heart	NP	24324056	all my heart	NP
24325912	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24325911	with all my heart	PP	24325913	all my heart	NP	24325915	heart	heart	N	24325915	heart	heart	N	24325913	all my heart	NP	24325913	all my heart	NP
24344007	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24343993	<font> Frank . <$$font> <paren> <font> Aside . <$$font> <$$paren> With all my heart ,	PP	24344008	all my heart	NP	24344010	heart	heart	N	24344010	heart	heart	N	24344008	all my heart	NP	24344008	all my heart	NP
24344139	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24344138	with all my heart	PP	24344140	all my heart	NP	24344142	heart	heart	N	24344142	heart	heart	N	24344140	all my heart	NP	24344140	all my heart	NP
