1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23388850	no	no	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23388847	James has no horse	IP	23388851	no horse	NP	23388852	horse	horse	N	23388852	horse	horse	N	23388851	no horse	NP	23388851	no horse	NP
23860574	every	every	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23860573	to every Horse	PP	23860575	every Horse	NP	23860576	Horse	horse	N	23860576	Horse	horse	N	23860575	every Horse	NP	23860575	every Horse	NP
23869763	every	every	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23869762	of every Horse	PP	23869764	every Horse	NP	23869765	Horse	horse	N	23869765	Horse	horse	N	23869764	every Horse	NP	23869764	every Horse	NP
23871278	few	few	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23871279	few Horses are troubled with it above once in their Life , unless 0 the Matter of the Strangles has been imperfectly cast off	IP	23871280	few Horses	NP	23871281	Horses	horse	NS	23871281	Horses	horse	NS	23871280	few Horses	NP	23871280	few Horses	NP
24326275	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24326266	Come , Mr. Francis , *pro* confound all high-bred horses , and low-bred donkeys , I say .	IP-MAT	24326276	all high-bred horses , and low-bred donkeys	NP	24326278	horses	horse	NS	24326278	horses	horse	NS	24326276	all high-bred horses , and low-bred donkeys	NP	24326276	all high-bred horses , and low-bred donkeys	NP
24456224	some	some	Q	Coyne, Joseph Stirling 	1855 	coyne-1855 	DRAMA COMEDY 	n/a 	coyne-1855-2	24456223	upon some horse 0 that *T*-1 never starts	PP	24456225	some horse 0 that *T*-1 never starts	NP	24456226	horse	horse	N	24456226	horse	horse	N	24456225	some horse 0 that *T*-1 never starts	NP	24456225	some horse 0 that *T*-1 never starts	NP
25091839	all	all	Q	Fleming, George 	1886 	fleming-1886 	HANDB OTHER 	n/a 	fleming-1886-1	25091838	for all horses	PP	25091840	all horses	NP	25091841	horses	horse	NS	25091841	horses	horse	NS	25091840	all horses	NP	25091840	all horses	NP
25095389	each	each	Q	Fleming, George 	1886 	fleming-1886 	HANDB OTHER 	n/a 	fleming-1886-1	25095390	each horse was allowed a drink *T*-1 on coming to his stable when 0 the day's work was completed	IP	25095391	each horse	NP	25095392	horse	horse	N	25095392	horse	horse	N	25095391	each horse	NP	25095391	each horse	NP
25095881	each	each	Q	Fleming, George 	1886 	fleming-1886 	HANDB OTHER 	n/a 	fleming-1886-1	25095877	Every Saturday night each horse is given a mash of linseed , mixed with a small proportion of bran , boiled altogether and given warm .	IP-MAT	25095882	each horse	NP	25095883	horse	horse	N	25095883	horse	horse	N	25095882	each horse	NP	25095882	each horse	NP
25097806	Some	some	Q	Fleming, George 	1886 	fleming-1886 	HANDB OTHER 	n/a 	fleming-1886-1	25097807	Some horses drink more than others ;	IP-MAT	25097808	Some horses	NP	25097809	horses	horse	NS	25097809	horses	horse	NS	25097808	Some horses	NP	25097808	Some horses	NP
