1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23256660	all	all	Q	Albin, Eleazar 	1736 	albin-1736 	SCIENCE OTHER 	n/a 	albin-1736-1	23256659	and all the house Spiders	CONJP	23256661	all the house Spiders	NP	23256663	house	house	N	23256663	house	house	N	23256661	all the house Spiders	NP	23256661	all the house Spiders	NP
23350964	some	some	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23350960	and you see some very good houses ;	IP-MAT	23350965	some very good houses	NP	23350969	houses	house	NS	23350969	houses	house	NS	23350965	some very good houses	NP	23350965	some very good houses	NP
23351727	Each	each	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23351728	Each gaming house , each room , nay , each part of a room , has its peculiar hour , two only of which , 0 *T*-1 from the commencement of play to the conclusion <paren> which 0 *T*-3 is from ten in the morning to two or three the next <$$paren> are allotted for meals , and often not one employed .	IP-MAT	23351729	Each gaming house , each room , nay , each part of a room	NP	23351731	house	house	N	23351731	house	house	N	23351729	Each gaming house , each room , nay , each part of a room	NP	23351729	Each gaming house , each room , nay , each part of a room	NP
23358452	several	several	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23358448	and there are several very good houses in appearance -	IP-MAT	23358453	several very good houses	NP=1	23358457	houses	house	NS	23358457	houses	house	NS	23358453	several very good houses	NP=1	23358453	several very good houses	NP=1
23361443	several	several	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23361439	and you see several gentlemens' elegant houses .	IP-MAT	23361444	several gentlemens' elegant houses	NP	23361447	houses	house	NS	23361447	houses	house	NS	23361444	several gentlemens' elegant houses	NP	23361444	several gentlemens' elegant houses	NP
24079646	no	no	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1792 	burney-1792 	DIARY PRIV 	n/a 	burney-1792-2	24079645	at no house but Sir Thomas Gage's , where 0 *T*-1 they carry their harps , and *T*-1 *con* frequently have music	PP	24079647	no house but Sir Thomas Gage's , where 0 *T*-1 they carry their harps , and *T*-1 *con* frequently have music	NP	24079648	house	house	N	24079648	house	house	N	24079647	no house but Sir Thomas Gage's , where 0 *T*-1 they carry their harps , and *T*-1 *con* frequently have music	NP	24079647	no house but Sir Thomas Gage's , where 0 *T*-1 they carry their harps , and *T*-1 *con* frequently have music	NP
24117541	some	some	Q	Burton, Richard Francis, Sir 	1857 	burton2-1857 	TRAVELOGUE 	n/a 	burton2-1857-2	24117540	containing some large brick houses now in a ruinous state	RRC	24117542	some large brick houses now in a ruinous state	NP	24117545	houses	house	NS	24117545	houses	house	NS	24117542	some large brick houses now in a ruinous state	NP	24117542	some large brick houses now in a ruinous state	NP
24161892	any	any	Q	Carlyle, Thomas 	1835 	carlyle-1835 	LET PRIV 	n/a 	carlyle-1835-1	24161891	or any House or Possession on this poor Earth	CONJP	24161893	any House or Possession on this poor Earth	NP	24161894	House	house	N	24161894	House	house	N	24161893	any House or Possession on this poor Earth	NP	24161893	any House or Possession on this poor Earth	NP
24261483	both	both	Q	Cibber, Colley 	1740 	cibber-1740 	BIOGR AUTO 	n/a 	cibber-1740-1	24261484	both Houses were happily ty'd down to *T*-1	IP	24261485	both Houses	NP	24261486	Houses	house	NS	24261486	Houses	house	NS	24261485	both Houses	NP	24261485	both Houses	NP
24263329	both	both	Q	Cibber, Colley 	1740 	cibber-1740 	BIOGR AUTO 	n/a 	cibber-1740-1	24263328	of both Houses	PP	24263330	both Houses	NP	24263331	Houses	house	NS	24263331	Houses	house	NS	24263330	both Houses	NP	24263330	both Houses	NP
24419715	some	some	Q	Cooke, Edward 	1712 	cooke1-1712 	TRAVELOGUE 	n/a 	cooke1-1712-1	24419716	some Houses , and two Ships	NP	24419717	some Houses	NP	24419718	Houses	house	NS	24419718	Houses	house	NS	24419717	some Houses	NP	24419717	some Houses	NP
24513271	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24513270	at any house on the banks of the river Thames	PP	24513272	any house on the banks of the river Thames	NP	24513273	house	house	N	24513273	house	house	N	24513272	any house on the banks of the river Thames	NP	24513272	any house on the banks of the river Thames	NP
