1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23680158	each	each	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23680157	*T*-3 each several king holds no sway	IP	23680159	each several king	NP	23680161	king	king	N	23680161	king	king	N	23680159	each several king	NP	23680159	each several king	NP
23680160	several	several	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23680157	*T*-3 each several king holds no sway	IP	23680159	each several king	NP	23680161	king	king	N	23680161	king	king	N	23680159	each several king	NP	23680159	each several king	NP
24826320	no	no	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24826317	We have no king but Caesar	IP	24826321	no king but Caesar	NP	24826322	king	king	N	24826322	king	king	N	24826321	no king but Caesar	NP	24826321	no king but Caesar	NP
27016336	no	no	Q	Newcome, William 	1796 	newcome-new-1796 	BIBLE 	n/a 	newcome-new-1796-2	27016333	We have no king but Cesar	IP	27016337	no king but Cesar	NP	27016338	king	king	N	27016338	king	king	N	27016337	no king but Cesar	NP	27016337	no king but Cesar	NP
27326526	any	any	Q	Palgrave, Francis, Sir 	1857-1861 	palgrave1-185x 	HISTORY 	n/a 	palgrave1-185x-2	27326524	to raise any other king to the throne	IP	27326527	any other king	NP	27326529	king	king	N	27326529	king	king	N	27326527	any other king	NP	27326527	any other king	NP
27425976	any	any	Q	Pope, Alexander 	1723 (94-100), 1724 (101-103), 1725 (104-107) 	pope-172x 	LET PRIV 	n/a 	pope-172x-2	27425977	any Kings prevent	IP	27425978	any Kings	NP	27425979	Kings	king	NS	27425979	Kings	king	NS	27425978	any Kings	NP	27425978	any Kings	NP
27518546	no	no	Q	Purver, Anthony 	1764 	purver-new-1764 	BIBLE 	n/a 	purver-new-1764-2	27518543	We have no King but Cesar	IP	27518547	no King but Cesar	NP	27518548	King	king	N	27518548	King	king	N	27518547	no King but Cesar	NP	27518547	no King but Cesar	NP
28216449	all	all	Q	Swift, Jonathan 	1735 	swift-1735 	LET PRIV 	n/a 	swift-1735-2	28216448	like all Kings	ADJP	28216450	all Kings	NP	28216451	Kings	king	NS	28216451	Kings	king	NS	28216450	all Kings	NP	28216450	all Kings	NP
28535240	All	all	Q	Victoria, queen of England 	1863-1866 	victoria-186x-diary 	DIARY PRIV 	n/a 	victoria-186x-diary-2	28535239	<font> All <$$font> the Kings and Princes are there ,	IP-MAT	28535241	All <$$font> the Kings and Princes	NP	28535244	Kings	king	NS	28535244	Kings	king	NS	28535241	All <$$font> the Kings and Princes	NP	28535241	All <$$font> the Kings and Princes	NP
28761985	all	all	Q	Wesley, John 	1744-1745 	wesley-174x 	DIARY PRIV 	n/a 	wesley-174x-1	28761984	of all the Kings of the Earth	PP	28761986	all the Kings of the Earth	NP	28761988	Kings	king	NS	28761988	Kings	king	NS	28761986	all the Kings of the Earth	NP	28761986	all the Kings of the Earth	NP
