1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
24164744	all	all	Q	Carlyle, Thomas 	1837 	carlyle-1837 	HISTORY 	n/a 	carlyle-1837-1	24164743	to all lands	PP	24164745	all lands	NP	24164746	lands	land	NS	24164746	lands	land	NS	24164745	all lands	NP	24164745	all lands	NP
24376241	no	no	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24376237	but *con* could discover no land .	IP-MAT	24376242	no land	NP	24376243	land	land	N	24376243	land	land	N	24376242	no land	NP	24376242	no land	NP
24428381	no	no	Q	Cooke, Edward 	1712 	cooke1-1712 	TRAVELOGUE 	n/a 	cooke1-1712-1	24428378	We saw no Land 'till <font> Monday , April <$$font> 11 .	IP-MAT	24428382	no Land	NP	24428383	Land	land	N	24428383	Land	land	N	24428382	no Land	NP	24428382	no Land	NP
24873319	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24873318	for all the land which 0 *T*-2 thou seest , to thee will I give it	IP	24873320	all the land which 0 *T*-2 thou seest	NP	24873322	land	land	N	24873322	land	land	N	24873320	all the land which 0 *T*-2 thou seest	NP	24873320	all the land which 0 *T*-2 thou seest	NP
24890071	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24890063	the land of thy sojournings , all the land of Canaan	NP	24890072	all the land of Canaan	NP	24890074	land	land	N	24890074	land	land	N	24890072	all the land of Canaan	NP	24890072	all the land of Canaan	NP
24894532	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24894531	toward all the land of the Plain	PP	24894533	all the land of the Plain	NP	24894535	land	land	N	24894535	land	land	N	24894533	all the land of the Plain	NP	24894533	all the land of the Plain	NP
24924210	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24924209	unto all his land	PP	24924211	all his land	NP	24924213	land	land	N	24924213	land	land	N	24924211	all his land	NP	24924211	all his land	NP
24925567	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24925566	upon all the land 0 that ye shall tread upon *T*-1	PP	24925568	all the land 0 that ye shall tread upon *T*-1	NP	24925570	land	land	N	24925570	land	land	N	24925568	all the land 0 that ye shall tread upon *T*-1	NP	24925568	all the land 0 that ye shall tread upon *T*-1	NP
25795038	All	all	Q	Hind, Thomas 	1707 	hind-1707 	HISTORY 	n/a 	hind-1707-1	25795039	All his land Forces *ICH*-1 met at <font> Critala <$$font> , with which 0 *T*-2 having pass'd the River <font> Halys <$$font> , he came to <font> Celanae <$$font> , a City of <font> Phrygia <$$font> , where 0 *T*-3 one <font> Pythius <$$font> a <font> Lydian <$$font> entertain'd him and his whole Army , and *T*-3 *con* presented <font> Xerxes <$$font> himself with 2000 Talents of Silver , and 4000000 in Gold , wanting 7000 of the <font> Persian Darici <$$font> .	IP-MAT	25795040	All his land Forces *ICH*-1	NP	25795042	land	land	N	25795042	land	land	N	25795040	All his land Forces *ICH*-1	NP	25795040	All his land Forces *ICH*-1	NP
25812373	some	some	Q	Hobson, John 	1730-1735 	hobson-173x 	DIARY PRIV 	n/a 	hobson-173x-2	25812366	at length he farmed some land of them at Blackar ;	IP-MAT	25812374	some land of them	NP	25812375	land	land	N	25812375	land	land	N	25812374	some land of them	NP	25812374	some land of them	NP
