1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23268332	all	all	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23268331	of all manner of regard and feeling for the Americans	PP	23268333	all manner of regard and feeling for the Americans	NP	23268334	manner	manner	N	23268334	manner	manner	N	23268333	all manner of regard and feeling for the Americans	NP	23268333	all manner of regard and feeling for the Americans	NP
23285959	all	all	Q	Andrews, James Pettit 	1796 	andrews-1796 	HISTORY 	n/a 	andrews2-1796-2	23285960	all manner of authority , whether civil or military , is derived from the crown	IP	23285961	all manner of authority , whether civil or military	NP	23285962	manner	manner	N	23285962	manner	manner	N	23285961	all manner of authority , whether civil or military	NP	23285961	all manner of authority , whether civil or military	NP
23303932	some	some	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23303931	after some other manner	PP	23303933	some other manner	NP	23303935	manner	manner	N	23303935	manner	manner	N	23303933	some other manner	NP	23303933	some other manner	NP
23304059	no	no	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23304056	I have no manner of private Interest or Design in Writing this Essay	IP	23304060	no manner of private Interest or Design	NP	23304061	manner	manner	N	23304061	manner	manner	N	23304060	no manner of private Interest or Design	NP	23304060	no manner of private Interest or Design	NP
23469165	any	any	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23469164	in any manner of instruction , publick or private	PP	23469166	any manner of instruction , publick or private	NP	23469167	manner	manner	N	23469167	manner	manner	N	23469166	any manner of instruction , publick or private	NP	23469166	any manner of instruction , publick or private	NP
23472099	no	no	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23472098	at no manner of loss	PP	23472100	no manner of loss	NP	23472101	manner	manner	N	23472101	manner	manner	N	23472100	no manner of loss	NP	23472100	no manner of loss	NP
23473385	no	no	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23473382	they have no manner of concern *ICH*-1	IP	23473386	no manner of concern *ICH*-1	NP	23473387	manner	manner	N	23473387	manner	manner	N	23473386	no manner of concern *ICH*-1	NP	23473386	no manner of concern *ICH*-1	NP
23484423	all	all	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23484422	with all manner of <font> English <$$font> words	PP	23484424	all manner of <font> English <$$font> words	NP	23484425	manner	manner	N	23484425	manner	manner	N	23484424	all manner of <font> English <$$font> words	NP	23484424	all manner of <font> English <$$font> words	NP
23490005	no	no	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-2	23489982	But even the publick encouragement , or pensions , allowed the instructors of youth , bear no manner of proportion to their vast labour , and the services expected from them .	IP-MAT	23490006	no manner of proportion to their vast labour , and the services expected from them	NP	23490007	manner	manner	N	23490007	manner	manner	N	23490006	no manner of proportion to their vast labour , and the services expected from them	NP	23490006	no manner of proportion to their vast labour , and the services expected from them	NP
23560690	all	all	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23560663	<font> Cryer <$$font> . <$$bracket> <font> Oyez ! <$$font> My lords the king's justices do strictly charge and command all manner of persons to keep silence while 0 sentence of death is passing on the prisoners at the bar , upon pain of imprisonment .	IP-MAT	23560691	all manner of persons	NP	23560692	manner	manner	N	23560692	manner	manner	N	23560691	all manner of persons	NP	23560691	all manner of persons	NP
23682325	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23682324	through all manner of hardships	PP	23682326	all manner of hardships	NP	23682327	manner	manner	N	23682327	manner	manner	N	23682326	all manner of hardships	NP	23682326	all manner of hardships	NP
23688159	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23688158	through all manner of concupiscence	PP	23688160	all manner of concupiscence	NP	23688161	manner	manner	N	23688161	manner	manner	N	23688160	all manner of concupiscence	NP	23688160	all manner of concupiscence	NP
23690119	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23690118	in all manner of transactions	PP	23690120	all manner of transactions	NP	23690121	manner	manner	N	23690121	manner	manner	N	23690120	all manner of transactions	NP	23690120	all manner of transactions	NP
23754559	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23754557	to commit all manner of violence	IP	23754560	all manner of violence	NP	23754561	manner	manner	N	23754561	manner	manner	N	23754560	all manner of violence	NP	23754560	all manner of violence	NP
23839823	all	all	Q	Boswell, James 	1791 	boswell-1791 	BIOGR OTHER 	n/a 	boswell-1791-2	23839817	him see and distinguish all manner of objects , whether of nature or of art	IP	23839824	all manner of objects	NP	23839825	manner	manner	N	23839825	manner	manner	N	23839824	all manner of objects	NP	23839824	all manner of objects	NP
23861684	any	any	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23861683	without any manner of dispute	PP	23861685	any manner of dispute	NP	23861686	manner	manner	N	23861686	manner	manner	N	23861685	any manner of dispute	NP	23861685	any manner of dispute	NP
23871496	all	all	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23871495	of all manner of Accidents to which 0 that Creature is liable *T*-1	PP	23871497	all manner of Accidents to which 0 that Creature is liable *T*-1	NP	23871498	manner	manner	N	23871498	manner	manner	N	23871497	all manner of Accidents to which 0 that Creature is liable *T*-1	NP	23871497	all manner of Accidents to which 0 that Creature is liable *T*-1	NP
24075606	any	any	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1792 	burney-1792 	DIARY PRIV 	n/a 	burney-1792-2	24075605	in any positive and formidable manner	PP	24075607	any positive and formidable manner	NP	24075612	manner	manner	N	24075612	manner	manner	N	24075607	any positive and formidable manner	NP	24075607	any positive and formidable manner	NP
24086711	all	all	Q	Burton, John 	1762 	burton1-1762 	SERMON 	n/a 	burton1-1762-1	24086712	all manner of preparation *ICH*-1 was made for the defence of the City :	IP-MAT	24086713	all manner of preparation *ICH*-1	NP	24086714	manner	manner	N	24086714	manner	manner	N	24086713	all manner of preparation *ICH*-1	NP	24086713	all manner of preparation *ICH*-1	NP
24100164	no	no	Q	Burton, John 	1762 	burton1-1762 	SERMON 	n/a 	burton1-1762-1	24100163	admit no manner of communication	IP	24100165	no manner of communication	NP	24100166	manner	manner	N	24100166	manner	manner	N	24100165	no manner of communication	NP	24100165	no manner of communication	NP
24142742	all	all	Q	Carlyle, Thomas 	1835 	carlyle-1835 	LET PRIV 	n/a 	carlyle-1835-1	24142735	Or perhaps I am confusing all manner of dates here ?	IP-MAT	24142743	all manner of dates	NP	24142744	manner	manner	N	24142744	manner	manner	N	24142743	all manner of dates	NP	24142743	all manner of dates	NP
24147588	all	all	Q	Carlyle, Thomas 	1835 	carlyle-1835 	LET PRIV 	n/a 	carlyle-1835-1	24147586	Send <font> all <$$font> manner of news , about yourself and household , <P_2,267> about my Mother , about every one dear to me .	IP-IMP	24147589	all <$$font> manner of news , about yourself and household , <P_2,267> about my Mother , about every one dear to me	NP	24147591	manner	manner	N	24147591	manner	manner	N	24147589	all <$$font> manner of news , about yourself and household , <P_2,267> about my Mother , about every one dear to me	NP	24147589	all <$$font> manner of news , about yourself and household , <P_2,267> about my Mother , about every one dear to me	NP
24196601	all	all	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24196600	in all manner of subjects	PP	24196602	all manner of subjects	NP	24196603	manner	manner	N	24196603	manner	manner	N	24196602	all manner of subjects	NP	24196602	all manner of subjects	NP
24431860	all	all	Q	Cooke, Samuel 	1770? 	cooke2-1770 	HANDB OTHER 	n/a 	cooke2-1770-2	24431859	Destroy all manner of weeds in your garden-beds , before 0 they shed their seed .	IP-IMP	24431861	all manner of weeds in your garden-beds	NP	24431862	manner	manner	N	24431862	manner	manner	N	24431861	all manner of weeds in your garden-beds	NP	24431861	all manner of weeds in your garden-beds	NP
24445863	all	all	Q	Cooke, Samuel 	1770? 	cooke2-1770 	HANDB OTHER 	n/a 	cooke2-1770-2	24445862	for all manner of young fruit-trees	PP	24445864	all manner of young fruit-trees	NP	24445865	manner	manner	N	24445865	manner	manner	N	24445864	all manner of young fruit-trees	NP	24445864	all manner of young fruit-trees	NP
24452120	all	all	Q	Coyne, Joseph Stirling 	1855 	coyne-1855 	DRAMA COMEDY 	n/a 	coyne-1855-2	24452119	turning all manner of ways	RRC	24452121	all manner of ways	NP	24452122	manner	manner	N	24452122	manner	manner	N	24452121	all manner of ways	NP	24452121	all manner of ways	NP
24658066	all	all	Q	Defoe, Daniel 	1719 	defoe-1719 	FICTION 	n/a 	defoe-1719-1	24658065	and all Manner of Discourse about it	CONJP	24658067	all Manner of Discourse about it	NP	24658068	Manner	manner	N	24658068	Manner	manner	N	24658067	all Manner of Discourse about it	NP	24658067	all Manner of Discourse about it	NP
24753861	no	no	Q	Drummond, John 	1718 	drummond-1718 	HANDB OTHER 	n/a 	drummond-1718-1	24753858	There is no Manner of Mystery in keeping clear Accompts , tho 0 every Man frames a Method to himself , according to the Nature of his Trade ;	IP-MAT	24753862	no Manner of Mystery	NP	24753863	Manner	manner	N	24753863	Manner	manner	N	24753862	no Manner of Mystery	NP	24753862	no Manner of Mystery	NP
24848081	all	all	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-2	24848082	all manner of fourfooted beasts and creeping things of the earth and fowls of the heaven	NP	24848083	all manner of fourfooted beasts	NP	24848084	manner	manner	N	24848084	manner	manner	N	24848083	all manner of fourfooted beasts	NP	24848083	all manner of fourfooted beasts	NP
24912589	no	no	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24912585	for ye saw no manner of form on the day 0 that *T*-1 the Lord spake unto you in Horeb out of the midst of the fire : lest 0 ye corrupt yourselves , and *con* make you a graven image in the form of any figure , the likeness of male or female , the likeness of any beast 0 that *T*-2 is on the earth , the likeness of any winged fowl 0 that *T*-3 flieth in the heaven , the likeness of any thing 0 that *T*-4 creepeth on the ground , the likeness of any fish 0 that *T*-5 is in the water under the earth : and lest 0 thou lift up thine eyes unto heaven , and when 0 thou seest the sun and the moon and the stars , even all the host of heaven , thou be drawn away and *con* worship them , and *con* serve them , which 0 *T*-6 the Lord thy God hath divided unto all the peoples under the whole heaven .	IP-MAT	24912590	no manner of form	NP	24912591	manner	manner	N	24912591	manner	manner	N	24912590	no manner of form	NP	24912590	no manner of form	NP
25005950	all	all	Q	Fielding, Henry 	1735 	fielding1-1735 	DRAMA COMEDY 	n/a 	fielding1-1735-2	25005949	exercising all manner of Tyranny over us	IP	25005951	all manner of Tyranny	NP	25005952	manner	manner	N	25005952	manner	manner	N	25005951	all manner of Tyranny	NP	25005951	all manner of Tyranny	NP
25043569	all	all	Q	Fielding, Henry 	1754 	fielding1-1754 	TRAVELOGUE 	n/a 	fielding1-1754-2	25043568	by all manner of insults and jests on my misery	PP	25043570	all manner of insults and jests on my misery	NP	25043571	manner	manner	N	25043571	manner	manner	N	25043570	all manner of insults and jests on my misery	NP	25043570	all manner of insults and jests on my misery	NP
25058255	all	all	Q	Fielding, Henry 	1754 	fielding1-1754 	TRAVELOGUE 	n/a 	fielding1-1754-2	25058254	with all manner of salt provisions	PP	25058256	all manner of salt provisions	NP	25058257	manner	manner	N	25058257	manner	manner	N	25058256	all manner of salt provisions	NP	25058256	all manner of salt provisions	NP
25298965	no	no	Q	George III, king of England 	1763 	george-1763 	LET NON-PRIV 	various (see edition) 	george-1763-1	25298962	There is no manner of doubt that the manner propos'd , of throwing off the unpopularity of rejecting Sir J. Phillips's very silly motion is very wise and *con* seems free from objection ;	IP-MAT	25298966	no manner of doubt	NP	25298967	manner	manner	N	25298967	manner	manner	N	25298966	no manner of doubt	NP	25298966	no manner of doubt	NP
25345112	all	all	Q	Gibson, ? 	1729 	gibson-1729 	HISTORY 	n/a 	gibson-1729-2	25345111	to all manner of Trade	PP	25345113	all manner of Trade	NP	25345114	manner	manner	N	25345114	manner	manner	N	25345113	all manner of Trade	NP	25345113	all manner of Trade	NP
25352960	all	all	Q	Gibson, ? 	1729 	gibson-1729 	HISTORY 	n/a 	gibson-1729-2	25352959	and all manner of Irreligion	CONJP	25352961	all manner of Irreligion	NP	25352962	manner	manner	N	25352962	manner	manner	N	25352961	all manner of Irreligion	NP	25352961	all manner of Irreligion	NP
25445842	no	no	Q	Goldsmith, Oliver 	1773 	goldsmith-1773 	DRAMA COMEDY 	n/a 	goldsmith-1773-1	25445836	We Country persons can have no manner at all .	IP-MAT	25445843	no manner at all	NP	25445844	manner	manner	N	25445844	manner	manner	N	25445843	no manner at all	NP	25445843	no manner at all	NP
25928446	any	any	Q	n/a 	1749 (published 1751) 	holmes-trial-1749 	PROC TRIAL 	n/a 	holmes-trial-1749-1	25928445	in any manner 0 that *T*-2 might sully my Character	PP	25928447	any manner 0 that *T*-2 might sully my Character	NP	25928448	manner	manner	N	25928448	manner	manner	N	25928447	any manner 0 that *T*-2 might sully my Character	NP	25928447	any manner 0 that *T*-2 might sully my Character	NP
26128996	all	all	Q	Justice, Elizabeth 	1739 	justice-1739 	TRAVELOGUE 	n/a 	justice-1739-2	26128993	*T*-2 keeps out all Manner of Air	IP	26128997	all Manner of Air	NP	26128998	Manner	manner	N	26128998	Manner	manner	N	26128997	all Manner of Air	NP	26128997	all Manner of Air	NP
26137246	all	all	Q	Justice, Elizabeth 	1739 	justice-1739 	TRAVELOGUE 	n/a 	justice-1739-2	26137247	all Manner of Birds near it	IP	26137248	all Manner of Birds	NP	26137249	Manner	manner	N	26137249	Manner	manner	N	26137248	all Manner of Birds	NP	26137248	all Manner of Birds	NP
26145025	no	no	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26145024	in no manner of Stead	PP	26145026	no manner of Stead	NP	26145027	manner	manner	N	26145027	manner	manner	N	26145026	no manner of Stead	NP	26145026	no manner of Stead	NP
26167382	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26167381	healing all manner of Diseases	IP	26167383	all manner of Diseases	NP	26167384	manner	manner	N	26167384	manner	manner	N	26167383	all manner of Diseases	NP	26167383	all manner of Diseases	NP
26167762	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26167761	healing all manner of Diseases	IP	26167763	all manner of Diseases	NP	26167764	manner	manner	N	26167764	manner	manner	N	26167763	all manner of Diseases	NP	26167763	all manner of Diseases	NP
26359124	all	all	Q	Layard, Sir Austen Henry 	1894 	layard-1894 	TRAVELOGUE 	n/a 	layard-1894-2	26359123	for all manner of offences and crimes	PP	26359125	all manner of offences and crimes	NP	26359126	manner	manner	N	26359126	manner	manner	N	26359125	all manner of offences and crimes	NP	26359125	all manner of offences and crimes	NP
26367482	all	all	Q	n/a 	1723 	layer-1723 	PROC TRIAL 	n/a 	layer-1723-2	26367481	and all manner of Bonds	CONJP	26367483	all manner of Bonds	NP	26367484	manner	manner	N	26367484	manner	manner	N	26367483	all manner of Bonds	NP	26367483	all manner of Bonds	NP
26445979	any	any	Q	n/a 	1723 	layer-1723 	PROC TRIAL 	n/a 	layer-1723-2	26445978	in any other manner	PP	26445980	any other manner	NP	26445982	manner	manner	N	26445982	manner	manner	N	26445980	any other manner	NP	26445980	any other manner	NP
