1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23306185	several	several	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23306184	upon several matters	PP	23306186	several matters	NP	23306187	matters	matter	NS	23306187	matters	matter	NS	23306186	several matters	NP	23306186	several matters	NP
23310492	all	all	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23310491	concerning all such Matters as 0 0 he had occasion to Discourse about *T*-3	IP	23310493	all such Matters as 0 0 he had occasion to Discourse about *T*-3	NP	23310495	Matters	matter	NS	23310495	Matters	matter	NS	23310493	all such Matters as 0 0 he had occasion to Discourse about *T*-3	NP	23310493	all such Matters as 0 0 he had occasion to Discourse about *T*-3	NP
23321488	no	no	Q	Anonymous author of 'The index-writer' 	1732 	anon2-1732 	EDUC TREAT 	n/a 	anon2-1732-2	23321484	$'T $is {TEXT:'Tis} no easy matter to enumerate all kinds of Things and Notions ,	IP-MAT	23321489	no easy matter	NP	23321491	matter	matter	N	23321491	matter	matter	N	23321489	no easy matter	NP	23321489	no easy matter	NP
23514574	no	no	Q	Barton, Frank Townend, and George Gresswell. 	1906 	barton-gresswell-1906 	SCIENCE MEDICINE 	n/a 	barton-gresswell-1906-2	23514563	it shows any signs of illness , no matter how simple 0 *T*-1 the ailment may appear at first	IP	23514575	no matter how simple 0 *T*-1 the ailment may appear at first	NP	23514576	matter	matter	N	23514576	matter	matter	N	23514575	no matter how simple 0 *T*-1 the ailment may appear at first	NP	23514575	no matter how simple 0 *T*-1 the ailment may appear at first	NP
23570647	no	no	Q	Bell, Gertrude 	1911 	bell-1911 	TRAVELOGUE 	n/a 	bell-1911-2	23570643	It will be no easy matter to continue the work here .	IP-MAT	23570648	no easy matter	NP	23570650	matter	matter	N	23570650	matter	matter	N	23570648	no easy matter	NP	23570648	no easy matter	NP
23620107	any	any	Q	Benson, Arthur Christopher 	1908 	benson-1908 	EDUC TREAT 	n/a 	benson-1908-1	23620106	about any matter 0 that it is wise *T*-1 to tell them	PP	23620108	any matter 0 that it is wise *T*-1 to tell them	NP	23620109	matter	matter	N	23620109	matter	matter	N	23620108	any matter 0 that it is wise *T*-1 to tell them	NP	23620108	any matter 0 that it is wise *T*-1 to tell them	NP
23737664	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23737663	in all these matters	PP	23737665	all these matters	NP	23737667	matters	matter	NS	23737667	matters	matter	NS	23737665	all these matters	NP	23737665	all these matters	NP
23869140	all	all	Q	Bracken, Henry 	1738 	bracken-1738 	HANDB OTHER 	n/a 	bracken-1738-2	23869138	driving out all viscid and slimy Matter	IP	23869141	all viscid and slimy Matter	NP	23869146	Matter	matter	N	23869146	Matter	matter	N	23869141	all viscid and slimy Matter	NP	23869141	all viscid and slimy Matter	NP
23961698	no	no	Q	Brough, William 	1867 	brough-1867 	DRAMA COMEDY 	n/a 	brough-1867-2	23961689	Honi. Maud , it is no jesting matter .	IP-MAT	23961699	no jesting matter	NP	23961701	matter	matter	N	23961701	matter	matter	N	23961699	no jesting matter	NP	23961699	no jesting matter	NP
23966220	No	no	Q	Brough, William 	1867 	brough-1867 	DRAMA COMEDY 	n/a 	brough-1867-2	23966217	Golds. No matter ,	FRAG	23966221	No matter	NP	23966222	matter	matter	N	23966222	matter	matter	N	23966221	No matter	NP	23966221	No matter	NP
24005681	much	much	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24005680	containing much matter of harmless and even improving amusement , selected with very considerable taste	RRC	24005682	much matter of harmless and even improving amusement , selected with very considerable taste	NP	24005683	matter	matter	N	24005683	matter	matter	N	24005682	much matter of harmless and even improving amusement , selected with very considerable taste	NP	24005682	much matter of harmless and even improving amusement , selected with very considerable taste	NP
24018209	all	all	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24018208	upon all these matters	PP	24018210	all these matters	NP	24018212	matters	matter	NS	24018212	matters	matter	NS	24018210	all these matters	NP	24018210	all these matters	NP
24035588	no	no	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1768 	burney-1768 	DIARY PRIV 	n/a 	burney-1768-2	24035583	Indeed I have no wonderful matters 0 *T*-1 to scrawl , now -	IP-MAT	24035589	no wonderful matters 0 *T*-1 to scrawl	NP	24035591	matters	matter	NS	24035591	matters	matter	NS	24035589	no wonderful matters 0 *T*-1 to scrawl	NP	24035589	no wonderful matters 0 *T*-1 to scrawl	NP
24035807	no	no	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1768 	burney-1768 	DIARY PRIV 	n/a 	burney-1768-2	24035801	but till then - no matter what 0 *T*-1 happens - the spirits - the health - the never dying <font> hope <$$font> are too strong to be <font> much <$$font> affected by whatever 0 *T*-2 comes to pass -	IP-MAT	24035808	no matter what 0 *T*-1 happens	NP	24035809	matter	matter	N	24035809	matter	matter	N	24035808	no matter what 0 *T*-1 happens	NP	24035808	no matter what 0 *T*-1 happens	NP
