1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23757151	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23757150	with all your might	PP	23757152	all your might	NP	23757154	might	might	N	23757154	might	might	N	23757152	all your might	NP	23757152	all your might	NP
23945688	all	all	Q	Bronte, Emily (alias Ellis Bell) 	1847 	bronte-1847 	FICTION 	n/a 	bronte-1848-2	23945687	with all my might	PP	23945689	all my might	NP	23945691	might	might	N	23945691	might	might	N	23945689	all my might	NP	23945689	all my might	NP
24916919	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24916918	with all thy might	PP	24916920	all thy might	NP	24916922	might	might	N	24916922	might	might	N	24916920	all thy might	NP	24916920	all thy might	NP
26155122	All	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26155112	Thou King of Heaven and Earth , All Might is in thy Hand	IP	26155123	All Might	NP	26155124	Might	might	N	26155124	Might	might	N	26155123	All Might	NP	26155123	All Might	NP
26156170	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26156169	with all their Might	PP	26156171	all their Might	NP	26156173	Might	might	N	26156173	Might	might	N	26156171	all their Might	NP	26156171	all their Might	NP
26170268	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26170267	with all thy Might	PP	26170269	all thy Might	NP	26170271	Might	might	N	26170271	Might	might	N	26170269	all thy Might	NP	26170269	all thy Might	NP
26362322	all	all	Q	n/a 	1723 	layer-1723 	PROC TRIAL 	n/a 	layer-1723-2	26362321	with all your Might	PP	26362323	all your Might	NP	26362325	Might	might	N	26362325	Might	might	N	26362323	all your Might	NP	26362323	all your Might	NP
27606298	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27606297	and all thy Might	CONJP	27606299	all thy Might	NP	27606301	Might	might	N	27606301	Might	might	N	27606299	all thy Might	NP	27606299	all thy Might	NP
27633411	all	all	Q	Pusey, Edward Bouverie 	1865 (Sermon_15), 1866 (Sermon_16) 	pusey-186x 	SERMON 	n/a 	pusey-186x-1	27633410	above all might	PP	27633412	all might	NP	27633413	might	might	N	27633413	might	might	N	27633412	all might	NP	27633412	all might	NP
27633684	all	all	Q	Pusey, Edward Bouverie 	1865 (Sermon_15), 1866 (Sermon_16) 	pusey-186x 	SERMON 	n/a 	pusey-186x-1	27633683	above all might which 0 *T*-2 can be named or conceived	PP	27633685	all might which 0 *T*-2 can be named or conceived	NP	27633686	might	might	N	27633686	might	might	N	27633685	all might which 0 *T*-2 can be named or conceived	NP	27633685	all might which 0 *T*-2 can be named or conceived	NP
28897759	all	all	Q	Wollaston, Francis 	1793 	wollaston-1793 	SERMON 	n/a 	wollaston-1793-1	28897758	with all our might	PP	28897760	all our might	NP	28897762	might	might	N	28897762	might	might	N	28897760	all our might	NP	28897760	all our might	NP
