1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23410922	no	no	Q	Austen, Jane 	1815 	austen-1815 	FICTION 		austen-1815-2	23410919	I mention no names ;	IP-MAT-SPE	23410923	no names	NP	23410924	names	name	NS	23410924	names	name	NS	23410923	no names	NP	23410923	no names	NP
23485327	any	any	Q	Barclay, James 	1743 	barclay-1743 	EDUC TREAT 	n/a 	barclay-1743-1	23485326	to any particular name or substantive noun	PP	23485328	any particular name or substantive noun	NP	23485330	name	name	N	23485330	name	name	N	23485328	any particular name or substantive noun	NP	23485328	any particular name or substantive noun	NP
23897857	several	several	Q	Bradley, Martha 	1760? 	bradley2-1760 	HANDB OTHER 	n/a 	bradley2-1760-2	23897854	under their several Names	PP	23897856	their several Names	NP	23897858	Names	name	NS	23897858	Names	name	NS	23897856	their several Names	NP	23897856	their several Names	NP
23916850	several	several	Q	Brady, Nicholas 	1713 	brady-1713 	SERMON 	n/a 	brady-1713-2	23916847	under the several Names of <font> Poverty <$$font> and <font> Riches	PP	23916849	the several Names of <font> Poverty <$$font> and <font> Riches	NP	23916851	Names	name	NS	23916851	Names	name	NS	23916849	the several Names of <font> Poverty <$$font> and <font> Riches	NP	23916849	the several Names of <font> Poverty <$$font> and <font> Riches	NP
23965114	no	no	Q	Brough, William 	1867 	brough-1867 	DRAMA COMEDY 	n/a 	brough-1867-2	23965108	He $would $n't {TEXT:wouldn't} give no name ;	IP-MAT	23965115	no name	NP	23965116	name	name	N	23965116	name	name	N	23965115	no name	NP	23965115	no name	NP
24308296	some	some	Q	Coleridge, Samuel Taylor 	1825 	coleridge-1825 	LET PRIV 	n/a 	coleridge-1825-2	24308295	or some such name	CONJP	24308297	some such name	NP	24308299	name	name	N	24308299	name	name	N	24308297	some such name	NP	24308297	some such name	NP
24490206	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24490205	or any other name	CONJP	24490207	any other name	NP	24490209	name	name	N	24490209	name	name	N	24490207	any other name	NP	24490207	any other name	NP
24518600	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24518590	<font> A. <$$font> I do not remember any such name on board the Peggy .	IP-MAT	24518601	any such name	NP	24518603	name	name	N	24518603	name	name	N	24518601	any such name	NP	24518601	any such name	NP
24521571	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24521570	to any other name	PP	24521572	any other name	NP	24521574	name	name	N	24521574	name	name	N	24521572	any other name	NP	24521572	any other name	NP
24651082	no	no	Q	De Courcy, Richard 	1776 	decourcy-1776 	SERMON 	n/a 	decourcy-1776-2	24651044	and the strictest abstinence from food , 0 that *T*-1 is not accompanied with contrition of heart and a departure from evil , deserves no softer name , than that of horrid insincerity and dissimulation .	IP-MAT	24651083	no softer name , than that of horrid insincerity and dissimulation	NP	24651085	name	name	N	24651085	name	name	N	24651083	no softer name , than that of horrid insincerity and dissimulation	NP	24651083	no softer name , than that of horrid insincerity and dissimulation	NP
