1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23288659	all	all	Q	Andrews, James Pettit 	1796 	andrews-1796 	HISTORY 	n/a 	andrews2-1796-2	23288640	to watch their flock , herds , corn , woods , &c. all the night	IP	23288660	all the night	NP	23288662	night	night	N	23288662	night	night	N	23288660	all the night	NP	23288660	all the night	NP
23311724	every	every	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23311706	as many as 0 0 *T*-1 cou'd conveniently shou'd meet together every Night <paren> which 0 *T*-2 is a leisure Time	IP	23311725	every Night <paren> which 0 *T*-2 is a leisure Time	NP	23311726	Night	night	N	23311726	Night	night	N	23311725	every Night <paren> which 0 *T*-2 is a leisure Time	NP	23311725	every Night <paren> which 0 *T*-2 is a leisure Time	NP
23313506	every	every	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23313495	him order one of his Scholars , every Night to read a Chapter leisurely , distinctly and with an audible Voice	IP	23313507	every Night	NP	23313508	Night	night	N	23313508	Night	night	N	23313507	every Night	NP	23313507	every Night	NP
23363617	all	all	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23363615	to stay all night at Bois le Duc	IP	23363618	all night	NP	23363619	night	night	N	23363619	night	night	N	23363618	all night	NP	23363618	all night	NP
23505177	each	each	Q	Bardsley, Samuel Argent 	1807 	bardsley-1807 	SCIENCE MEDICINE 	n/a 	bardsley-1807-1	23505169	To go into a slipper-bath *ICH*-1 each night at 100 degrees	IP	23505178	each night	NP	23505179	night	night	N	23505179	night	night	N	23505178	each night	NP	23505178	each night	NP
23505522	each	each	Q	Bardsley, Samuel Argent 	1807 	bardsley-1807 	SCIENCE MEDICINE 	n/a 	bardsley-1807-1	23505505	to be rubbed upon the inside of the legs and thighs each night , after the use of a slipper-bath , heated to 94 degrees	IP	23505523	each night	NP	23505524	night	night	N	23505524	night	night	N	23505523	each night	NP	23505523	each night	NP
23544687	all	all	Q	n/a 	1763 	beddingfield-1763 	PROC TRIAL 	n/a 	beddingfield-1763-2	23544688	all the night before	ADVP	23544689	all the night	NP	23544691	night	night	N	23544691	night	night	N	23544689	all the night	NP	23544689	all the night	NP
23564065	every	every	Q	Bell, Gertrude 	1911 	bell-1911 	TRAVELOGUE 	n/a 	bell-1911-2	23564066	every night there were murders ,	IP-MAT-SPE	23564067	every night	NP	23564068	night	night	N	23564068	night	night	N	23564067	every night	NP	23564067	every night	NP
23791876	all	all	Q	Boswell, James 	1776 	boswell-1776 	DIARY PRIV 	n/a 	boswell-1776-1	23791867	Dr. Young was in the house all night .	IP-MAT	23791877	all night	NP	23791878	night	night	N	23791878	night	night	N	23791877	all night	NP	23791877	all night	NP
23792928	some	some	Q	Boswell, James 	1776 	boswell-1776 	DIARY PRIV 	n/a 	boswell-1776-1	23792921	I shall see Miss Catley some other night . "	IP-MAT-SPE	23792929	some other night	NP	23792931	night	night	N	23792931	night	night	N	23792929	some other night	NP	23792929	some other night	NP
