1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23273503	all	all	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23273502	securing all its rights	IP	23273504	all its rights	NP	23273506	rights	right	NS	23273506	rights	right	NS	23273504	all its rights	NP	23273504	all its rights	NP
23335951	all	all	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23335950	of all rights and advantages thereunto belonging	PP	23335952	all rights and advantages thereunto belonging	NP	23335953	rights	right	NS	23335953	rights	right	NS	23335952	all rights and advantages thereunto belonging	NP	23335952	all rights and advantages thereunto belonging	NP
23387029	no	no	Q	Austen, Jane 	1805 (45-47), 1807 (48-50), 1808 (51) 	austen-180x 	LET PRIV 	various (see edition) 	austen-180x-1	23387020	A widower with 3 children has no right to look higher than his daughter's Governess .	IP-MAT	23387030	no right to look higher than his daughter's Governess	NP	23387031	right	right	N	23387031	right	right	N	23387030	no right to look higher than his daughter's Governess	NP	23387030	no right to look higher than his daughter's Governess	NP
23663639	no	no	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-2	23663636	thou hast no right to complain , as if 0 thou hadst lost what 0 *T*-1 was wholly thine .	IP-MAT-SPE	23663640	no right to complain , as if 0 thou hadst lost what 0 *T*-1 was wholly thine	NP	23663641	right	right	N	23663641	right	right	N	23663640	no right to complain , as if 0 thou hadst lost what 0 *T*-1 was wholly thine	NP	23663640	no right to complain , as if 0 thou hadst lost what 0 *T*-1 was wholly thine	NP
23826446	no	no	Q	Boswell, James 	1786-1788 	boswell-178x 	LET PRIV 	n/a 	boswell-178x-2	23826397	as 0 Dr. Johnson had done Mrs. Thrale the honour to quote her as an authority on taste and to class her with himself and Beauclerk , I had no right to deprive her of such a distinction to which 0 she had an authentick title *T*-1 under my own hand	IP	23826447	no right to deprive her of such a distinction to which 0 she had an authentick title *T*-1 under my own hand	NP	23826448	right	right	N	23826448	right	right	N	23826447	no right to deprive her of such a distinction to which 0 she had an authentick title *T*-1 under my own hand	NP	23826447	no right to deprive her of such a distinction to which 0 she had an authentick title *T*-1 under my own hand	NP
23955131	no	no	Q	Bronte, Emily (alias Ellis Bell) 	1847 	bronte-1847 	FICTION 	n/a 	bronte-1848-2	23955125	still , he has no right to appropriate what 0 *T*-1 is mine , and * make it ridiculous to me with his vile mistakes and mis-pronunciations !	IP-MAT-SPE	23955132	no right to appropriate what 0 *T*-1 is mine , and * make it ridiculous to me with his vile mistakes and mis-pronunciations	NP	23955133	right	right	N	23955133	right	right	N	23955132	no right to appropriate what 0 *T*-1 is mine , and * make it ridiculous to me with his vile mistakes and mis-pronunciations	NP	23955132	no right to appropriate what 0 *T*-1 is mine , and * make it ridiculous to me with his vile mistakes and mis-pronunciations	NP
24314623	any	any	Q	Coleridge, Samuel Taylor 	1825 	coleridge-1825 	LET PRIV 	n/a 	coleridge-1825-2	24314619	I had allowed any right of voting to such Wishes	IP	24314624	any right of voting	NP	24314625	right	right	N	24314625	right	right	N	24314624	any right of voting	NP	24314624	any right of voting	NP
24591650	no	no	Q	Darwin, Charles 	1842 	darwin-1842 	SCIENCE OTHER 	n/a 	darwin-1842-2	24591643	We have , moreover , no right to calculate on unlimited time for the accumulation of small organic bodies into great masses .	IP-MAT	24591651	no right to calculate on unlimited time for the accumulation of small organic bodies into great masses	NP	24591652	right	right	N	24591652	right	right	N	24591651	no right to calculate on unlimited time for the accumulation of small organic bodies into great masses	NP	24591651	no right to calculate on unlimited time for the accumulation of small organic bodies into great masses	NP
25383734	no	no	Q	Gladstone, William Ewart 	1873 	gladstone-1873 	LET NON-PRIV 	n/a 	gladstone-1873-1	25383730	A man has no right to put himself in the position of being able to say " I gave you clearly enough to understand 0 I should go " or at his choice to say ' my place was not vacant	IP-MAT	25383735	no right to put himself in the position of being able to say " I gave you clearly enough to understand 0 I should go " or at his choice to say ' my place was not vacant	NP	25383736	right	right	N	25383736	right	right	N	25383735	no right to put himself in the position of being able to say " I gave you clearly enough to understand 0 I should go " or at his choice to say ' my place was not vacant	NP	25383735	no right to put himself in the position of being able to say " I gave you clearly enough to understand 0 I should go " or at his choice to say ' my place was not vacant	NP
25383804	no	no	Q	Gladstone, William Ewart 	1873 	gladstone-1873 	LET NON-PRIV 	n/a 	gladstone-1873-1	25383800	& you had no right to think or speak of it to any one ' .	IP-MAT-SPE	25383805	no right to think or speak of it to any one	NP	25383806	right	right	N	25383806	right	right	N	25383805	no right to think or speak of it to any one	NP	25383805	no right to think or speak of it to any one	NP
