1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23883280	many	many	Q	Bradley, Arthur Granville 	1905 	bradley1-1905 	TRAVELOGUE 	n/a 	bradley1-1905-1	23883279	*T*-5 many ships bring us provision and victuals from Ireland and Chester	IP	23883281	many ships	NP	23883282	ships	ship	NS	23883282	ships	ship	NS	23883281	many ships	NP	23883281	many ships	NP
24371519	all	all	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24371501	After that time , as 0 0 *T*-1 Captain Carteret relates , all ships go to False Bay , which 0 *T*-2 is well sheltered from the north-west winds , 0 that *T*-3 blow here with great violence .	IP-MAT	24371520	all ships	NP	24371521	ships	ship	NS	24371521	ships	ship	NS	24371520	all ships	NP	24371520	all ships	NP
24379912	every	every	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24379911	of every ship in the navy	PP	24379913	every ship in the navy	NP	24379914	ship	ship	N	24379914	ship	ship	N	24379913	every ship in the navy	NP	24379913	every ship in the navy	NP
24430469	Several	several	Q	Cooke, Edward 	1712 	cooke1-1712 	TRAVELOGUE 	n/a 	cooke1-1712-1	24430470	Several English Ships arriv'd in the Port , whilst 0 we were there .	IP-MAT	24430471	Several English Ships	NP	24430473	Ships	ship	NS	24430473	Ships	ship	NS	24430471	Several English Ships	NP	24430471	Several English Ships	NP
24512091	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24512090	of any other ship	PP	24512092	any other ship	NP	24512094	ship	ship	N	24512094	ship	ship	N	24512092	any other ship	NP	24512092	any other ship	NP
24517162	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24517161	along-side any other English ship	PP	24517163	any other English ship	NP	24517166	ship	ship	N	24517166	ship	ship	N	24517163	any other English ship	NP	24517163	any other English ship	NP
24525961	any	any	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24525960	board any ship where 0 *T*-1 you saw Crossfield	NP	24525962	any ship where 0 *T*-1 you saw Crossfield	NP	24525963	ship	ship	N	24525963	ship	ship	N	24525962	any ship where 0 *T*-1 you saw Crossfield	NP	24525962	any ship where 0 *T*-1 you saw Crossfield	NP
24529310	some	some	Q	n/a 	1796 	crossfield-1796 	PROC TRIAL 	n/a 	crossfield-1796-2	24529309	board some other ships	NP	24529311	some other ships	NP	24529313	ships	ship	NS	24529313	ships	ship	NS	24529311	some other ships	NP	24529311	some other ships	NP
25796688	every	every	Q	Hind, Thomas 	1707 	hind-1707 	HISTORY 	n/a 	hind-1707-1	25796687	to every Ship	PP	25796689	every Ship	NP	25796690	Ship	ship	N	25796690	Ship	ship	N	25796689	every Ship	NP	25796689	every Ship	NP
25803223	some	some	Q	Hind, Thomas 	1707 	hind-1707 	HISTORY 	n/a 	hind-1707-1	25803222	upon some <font> Cilician <$$font> Ships , which 0 *T*-1 were separated from the rest of the Fleet	PP	25803224	some <font> Cilician <$$font> Ships , which 0 *T*-1 were separated from the rest of the Fleet	NP	25803228	Ships	ship	NS	25803228	Ships	ship	NS	25803224	some <font> Cilician <$$font> Ships , which 0 *T*-1 were separated from the rest of the Fleet	NP	25803224	some <font> Cilician <$$font> Ships , which 0 *T*-1 were separated from the rest of the Fleet	NP
