1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
24192307	all	all	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24192306	for all the sins 0 0 *T*-1 you have committed	PP	24192308	all the sins 0 0 *T*-1 you have committed	NP	24192310	sins	sin	NS	24192310	sins	sin	NS	24192308	all the sins 0 0 *T*-1 you have committed	NP	24192308	all the sins 0 0 *T*-1 you have committed	NP
24193373	all	all	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24193369	having forgiven her all her sins	IP	24193374	all her sins	NP	24193376	sins	sin	NS	24193376	sins	sin	NS	24193374	all her sins	NP	24193374	all her sins	NP
24198973	no	no	Q	Carlyle, Thomas 	1858 	carlyle-1858 	BIOGR OTHER 	n/a 	carlyle-1858-2	24198962	and , on the whole , there is no other heavy sin 0 *T*-2 to be charged against him .	IP-MAT	24198974	no other heavy sin 0 *T*-2 to be charged against him	NP=1	24198977	sin	sin	N	24198977	sin	sin	N	24198974	no other heavy sin 0 *T*-2 to be charged against him	NP=1	24198974	no other heavy sin 0 *T*-2 to be charged against him	NP=1
24226463	many	many	Q	Centlivre, Susanna 	1723 	centlivre-1723 	DRAMA COMEDY 	n/a 	centlivre-1723-2	24226457	$'T $will {TEXT:'Twill} wipe off many Sins from thee , When 0 we appear in t'other World together -	IP-MAT	24226464	many Sins	NP	24226465	Sins	sin	NS	24226465	Sins	sin	NS	24226464	many Sins	NP	24226464	many Sins	NP
24808943	no	no	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-1	24808928	If 0 ye were blind , ye would have no sin	IP	24808944	no sin	NP	24808945	sin	sin	N	24808945	sin	sin	N	24808944	no sin	NP	24808944	no sin	NP
24881325	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24881324	in all their sins	PP	24881326	all their sins	NP	24881328	sins	sin	NS	24881328	sins	sin	NS	24881326	all their sins	NP	24881326	all their sins	NP
24900614	every	every	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24900613	and every sin offering of theirs	CONJP	24900615	every sin offering of theirs	NP	24900616	sin	sin	N	24900616	sin	sin	N	24900615	every sin offering of theirs	NP	24900615	every sin offering of theirs	NP
24902096	no	no	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24902091	And ye shall bear no sin by reason of it , when 0 ye have heaved from it the best thereof :	IP-MAT-SPE	24902097	no sin	NP	24902098	sin	sin	N	24902098	sin	sin	N	24902097	no sin	NP	24902097	no sin	NP
24922124	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24922123	of all your sin which 0 *T*-2 ye sinned , in doing that which 0 *T*-3 was evil in the sight of the Lord , to provoke him to anger	PP	24922125	all your sin which 0 *T*-2 ye sinned , in doing that which 0 *T*-3 was evil in the sight of the Lord , to provoke him to anger	NP	24922127	sin	sin	N	24922127	sin	sin	N	24922125	all your sin which 0 *T*-2 ye sinned , in doing that which 0 *T*-3 was evil in the sight of the Lord , to provoke him to anger	NP	24922125	all your sin which 0 *T*-2 ye sinned , in doing that which 0 *T*-3 was evil in the sight of the Lord , to provoke him to anger	NP
25358830	any	any	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25358824	No man ever committed any sin , but 0 the grace of God was ready to have qualified him to withstand it .	IP-MAT	25358831	any sin	NP	25358832	sin	sin	N	25358832	sin	sin	N	25358831	any sin	NP	25358831	any sin	NP
25358869	any	any	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25358863	No man ever committed any sin , but 0 he might have obtained the grace of God necessary for effectual resistance , had he antecedently chosen to apply for it in proportion to this knowledge .	IP-MAT	25358870	any sin	NP	25358871	sin	sin	N	25358871	sin	sin	N	25358870	any sin	NP	25358870	any sin	NP
25358938	every	every	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25358937	to every sin which 0 *T*-1 ever was committed	PP	25358939	every sin which 0 *T*-1 ever was committed	NP	25358940	sin	sin	N	25358940	sin	sin	N	25358939	every sin which 0 *T*-1 ever was committed	NP	25358939	every sin which 0 *T*-1 ever was committed	NP
25358967	every	every	Q	Gisborne, Thomas 	1802 	gisborne-1802 	SERMON 	n/a 	gisborne-1802-2	25358966	to every sin which 0 *T*-1 ever shall be committed	PP	25358968	every sin which 0 *T*-1 ever shall be committed	NP	25358969	sin	sin	N	25358969	sin	sin	N	25358968	every sin which 0 *T*-1 ever shall be committed	NP	25358968	every sin which 0 *T*-1 ever shall be committed	NP
25648620	some	some	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25648619	in some little darling sin	PP	25648621	some little darling sin	NP	25648624	sin	sin	N	25648624	sin	sin	N	25648621	some little darling sin	NP	25648621	some little darling sin	NP
25656349	all	all	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25656350	all their sins unrepented of *	IP	25656351	all their sins	NP	25656353	sins	sin	NS	25656353	sins	sin	NS	25656351	all their sins	NP	25656351	all their sins	NP
25661590	no	no	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25661587	he has no <P_2,289> sin	IP	25661591	no <P_2,289> sin	NP	25661593	sin	sin	N	25661593	sin	sin	N	25661591	no <P_2,289> sin	NP	25661591	no <P_2,289> sin	NP
25663771	many	many	Q	Hare, Augustus William 	183x 	hare-183x 	SERMON 	n/a 	hare-183x-2	25663760	and beside this doubtless I have committed many secret sins , which 0 in my blindness I have failed *T*-1 to notice .	IP-MAT-SPE	25663772	many secret sins , which 0 in my blindness I have failed *T*-1 to notice	NP	25663774	sins	sin	NS	25663774	sins	sin	NS	25663772	many secret sins , which 0 in my blindness I have failed *T*-1 to notice	NP	25663772	many secret sins , which 0 in my blindness I have failed *T*-1 to notice	NP
25724431	no	no	Q	Haydon, Benjamin 	1808 	haydon-1808 	DIARY PRIV 	n/a 	haydon-1808-1	25724433	no Sin or Lasciviousness break in	IP	25724434	no Sin or Lasciviousness	NP	25724435	Sin	sin	N	25724435	Sin	sin	N	25724434	no Sin or Lasciviousness	NP	25724434	no Sin or Lasciviousness	NP
26142463	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26142462	from all Sin	PP	26142464	all Sin	NP	26142465	Sin	sin	N	26142465	Sin	sin	N	26142464	all Sin	NP	26142464	all Sin	NP
26158976	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26158975	for all your Sins past to this Day	PP	26158977	all your Sins past to this Day	NP	26158979	Sins	sin	NS	26158979	Sins	sin	NS	26158977	all your Sins past to this Day	NP	26158977	all your Sins past to this Day	NP
26159211	all	all	Q	Keimer, Samuel 	1718 	keimer-1718 	BIOGR AUTO 	n/a 	keimer-1718-2	26159212	all our Sins were pardon'd	IP	26159213	all our Sins	NP	26159215	Sins	sin	NS	26159215	Sins	sin	NS	26159213	all our Sins	NP	26159213	all our Sins	NP
27572482	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27572481	in all their Sins	PP	27572483	all their Sins	NP	27572485	Sins	sin	NS	27572485	Sins	sin	NS	27572483	all their Sins	NP	27572483	all their Sins	NP
27592164	no	no	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27592142	And when 0 you offer up the best of them , you shall bear no Sin concerning them ,	IP-MAT-SPE	27592165	no Sin concerning them	NP	27592166	Sin	sin	N	27592166	Sin	sin	N	27592165	no Sin concerning them	NP	27592165	no Sin concerning them	NP
