1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23246789	any	any	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23246788	of any substance	PP	23246790	any substance	NP	23246791	substance	substance	N	23246791	substance	substance	N	23246790	any substance	NP	23246790	any substance	NP
23467423	all	all	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23467422	devouring all their Substance	IP	23467424	all their Substance	NP	23467426	Substance	substance	N	23467426	Substance	substance	N	23467424	all their Substance	NP	23467424	all their Substance	NP
24607298	some	some	Q	Davy, Sir Humphry 	1814 	davy-1814 	SCIENCE OTHER 	n/a 	davy-1814-2	24607297	like some other substances	ADJP	24607299	some other substances	NP	24607301	substances	substance	NS	24607301	substances	substance	NS	24607299	some other substances	NP	24607299	some other substances	NP
24871712	all	all	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-1	24871711	and all their substance 0 that *T*-1 they had gathered	CONJP	24871713	all their substance 0 that *T*-1 they had gathered	NP	24871715	substance	substance	N	24871715	substance	substance	N	24871713	all their substance 0 that *T*-1 they had gathered	NP	24871713	all their substance 0 that *T*-1 they had gathered	NP
24949302	any	any	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24949301	or any other substance	CONJP	24949303	any other substance	NP	24949305	substance	substance	N	24949305	substance	substance	N	24949303	any other substance	NP	24949303	any other substance	NP
24950242	every	every	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24950243	every substance <P_16> possesses it	IP	24950244	every substance	NP	24950245	substance	substance	N	24950245	substance	substance	N	24950244	every substance	NP	24950244	every substance	NP
24950680	any	any	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24950679	*T*-1 any other substance does *	IP	24950681	any other substance	NP	24950683	substance	substance	N	24950683	substance	substance	N	24950681	any other substance	NP	24950681	any other substance	NP
24961787	any	any	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24961784	I take any hard substance	IP	24961788	any hard substance	NP	24961790	substance	substance	N	24961790	substance	substance	N	24961788	any hard substance	NP	24961788	any hard substance	NP
25083152	each	each	Q	Fleming, George 	1886 	fleming-1886 	HANDB OTHER 	n/a 	fleming-1886-1	25083151	of each substance	PP	25083153	each substance	NP	25083154	substance	substance	N	25083154	substance	substance	N	25083153	each substance	NP	25083153	each substance	NP
25756645	no	no	Q	Heber, Reginald, bishop of Calcutta 	1815 	heber-1815 	SERMON 	n/a 	heber-1815-2	25756640	the Holy Ghost is no material substance	IP	25756646	no material substance	NP	25756648	substance	substance	N	25756648	substance	substance	N	25756646	no material substance	NP	25756646	no material substance	NP
26523883	all	all	Q	Lind, James 	1753 	lind-1753 	SCIENCE MEDICINE 	n/a 	lind-1753-1	26523881	of <P_273> all substances	PP	26523884	all substances	NP	26523885	substances	substance	NS	26523885	substances	substance	NS	26523884	all substances	NP	26523884	all substances	NP
26528308	All	all	Q	Lind, James 	1753 	lind-1753 	SCIENCE MEDICINE 	n/a 	lind-1753-1	26528309	All animal substances have naturally a tendency to corruption in too moist an air .	IP-MAT	26528310	All animal substances	NP	26528312	substances	substance	NS	26528312	substances	substance	NS	26528310	All animal substances	NP	26528310	All animal substances	NP
26825657	any	any	Q	Miles, William J. 	1893 	miles2-1893 	HANDB OTHER 	n/a 	miles2-1893-2	26825658	any substance wholesome and strengthening	IP	26825659	any substance	NP	26825660	substance	substance	N	26825660	substance	substance	N	26825659	any substance	NP	26825659	any substance	NP
27468859	several	several	Q	Priestley, Joseph 	1769 	priestley-1769 	SCIENCE OTHER 	n/a 	priestley-1769-1	27468860	several substances . which 0 *T*-1 would conduct electricity in general , would not conduct the shock of a charged phial	IP	27468861	several substances . which 0 *T*-1 would conduct electricity in general	NP	27468862	substances	substance	NS	27468862	substances	substance	NS	27468861	several substances . which 0 *T*-1 would conduct electricity in general	NP	27468861	several substances . which 0 *T*-1 would conduct electricity in general	NP
27559837	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27559833	I may destroy all living Substance which 0 *T*-3 I have made , from the Face of the Ground	IP	27559838	all living Substance which 0 *T*-3 I have made	NP	27559840	Substance	substance	N	27559840	Substance	substance	N	27559838	all living Substance which 0 *T*-3 I have made	NP	27559838	all living Substance which 0 *T*-3 I have made	NP
27560636	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27560634	Thus all living Substance 0 that *T*-1 was on the Surface of the Ground , both Man and Beast , with the creeping Things , and Fowls of the Air , were destroyed from the Earth ; so that Noah only was left , and such as 0 0 *T*-3 were with him in the Ark .	IP-MAT	27560637	all living Substance 0 that *T*-1 was on the Surface of the Ground , both Man and Beast	NP	27560639	Substance	substance	N	27560639	Substance	substance	N	27560637	all living Substance 0 that *T*-1 was on the Surface of the Ground , both Man and Beast	NP	27560637	all living Substance 0 that *T*-1 was on the Surface of the Ground , both Man and Beast	NP
27563376	all	all	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-1	27563377	all their Substance 0 that *T*-1 they had gained , and the Persons whom 0 *T*-2 they had got in Haran	NP	27563378	all their Substance 0 that *T*-1 they had gained	NP	27563380	Substance	substance	N	27563380	Substance	substance	N	27563378	all their Substance 0 that *T*-1 they had gained	NP	27563378	all their Substance 0 that *T*-1 they had gained	NP
