1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23232747	all	all	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23232746	of all trees	PP	23232748	all trees	NP	23232749	trees	tree	NS	23232749	trees	tree	NS	23232748	all trees	NP	23232748	all trees	NP
23232944	many	many	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23232943	of many trees	PP	23232945	many trees	NP	23232946	trees	tree	NS	23232946	trees	tree	NS	23232945	many trees	NP	23232945	many trees	NP
23235709	Many	many	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23235710	Many trees have them in all their parts , others only in some of them , while 0 others do not exhibit any .	IP-MAT-1	23235711	Many trees	NP	23235712	trees	tree	NS	23235712	trees	tree	NS	23235711	Many trees	NP	23235711	Many trees	NP
23235816	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23235815	in some trees	PP	23235817	some trees	NP	23235818	trees	tree	NS	23235818	trees	tree	NS	23235817	some trees	NP	23235817	some trees	NP
23236785	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23236786	some trees , and a great many herbaceous plants , in which 0 *T*-2 this part is continued inward , in form of rays , through the blea into the wood , forming as 0 it were so many wedges , 0 that *T*-3 split as 0 it were the substance of both those parts , a circumstance which 0 *T*-4 accounts for the vegetation of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP=1	23236787	some trees	NP	23236788	trees	tree	NS	23236788	trees	tree	NS	23236787	some trees	NP	23236787	some trees	NP
23236893	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23236892	of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	PP	23236894	some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP	23236896	trees	tree	NS	23236896	trees	tree	NS	23236894	some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP	23236894	some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life	NP
23237959	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23237956	There are some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction .	IP-MAT	23237960	some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction	NP=1	23237961	trees	tree	NS	23237961	trees	tree	NS	23237960	some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction	NP=1	23237960	some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction	NP=1
23240158	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23240157	in some trees	PP	23240159	some trees	NP	23240160	trees	tree	NS	23240160	trees	tree	NS	23240159	some trees	NP	23240159	some trees	NP
23240220	all	all	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23240219	in all trees	PP	23240221	all trees	NP	23240222	trees	tree	NS	23240222	trees	tree	NS	23240221	all trees	NP	23240221	all trees	NP
23240974	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23240973	in some trees	PP	23240975	some trees	NP	23240976	trees	tree	NS	23240976	trees	tree	NS	23240975	some trees	NP	23240975	some trees	NP
23241364	all	all	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23241363	in all trees	PP	23241365	all trees	NP	23241366	trees	tree	NS	23241366	trees	tree	NS	23241365	all trees	NP	23241365	all trees	NP
23241886	some	some	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23241885	In some trees	PP	23241887	some trees	NP	23241888	trees	tree	NS	23241888	trees	tree	NS	23241887	some trees	NP	23241887	some trees	NP
