1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23417607	every	every	Q	Austen, Jane 	1816 (128-135), 1817 (136-142) 	austen-181x 	LET PRIV 	various (see edition) 	austen-181x-2	23417606	with every virtue under Heaven	PP	23417608	every virtue under Heaven	NP	23417609	virtue	virtue	N	23417609	virtue	virtue	N	23417608	every virtue under Heaven	NP	23417608	every virtue under Heaven	NP
23657454	all	all	Q	James, Henry Rosher (translator). 	1897 	boethja-1897 	PHILOSOPHY 	n/a 	boethja-1897-1	23657453	in all virtue	PP	23657455	all virtue	NP	23657456	virtue	virtue	N	23657456	virtue	virtue	N	23657455	all virtue	NP	23657455	all virtue	NP
23725483	every	every	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-2	23725482	of every virtue	PP	23725484	every virtue	NP	23725485	virtue	virtue	N	23725485	virtue	virtue	N	23725484	every virtue	NP	23725484	every virtue	NP
24039672	all	all	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1768 	burney-1768 	DIARY PRIV 	n/a 	burney-1768-2	24039670	with <font> all <$$font> their virtue	PP	24039673	all <$$font> their virtue	NP	24039676	virtue	virtue	N	24039676	virtue	virtue	N	24039673	all <$$font> their virtue	NP	24039673	all <$$font> their virtue	NP
24098404	every	every	Q	Burton, John 	1762 	burton1-1762 	SERMON 	n/a 	burton1-1762-1	24098403	of every virtue	PP	24098405	every virtue	NP	24098406	virtue	virtue	N	24098406	virtue	virtue	N	24098405	every virtue	NP	24098405	every virtue	NP
24102934	every	every	Q	Burton, John 	1762 	burton1-1762 	SERMON 	n/a 	burton1-1762-1	24102933	of every possible virtue	PP	24102935	every possible virtue	NP	24102937	virtue	virtue	N	24102937	virtue	virtue	N	24102935	every possible virtue	NP	24102935	every possible virtue	NP
24128417	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24128411	*T*-2 includes in it all Virtues	IP	24128418	all Virtues	NP	24128419	Virtues	virtue	NS	24128419	Virtues	virtue	NS	24128418	all Virtues	NP	24128418	all Virtues	NP
24131239	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24131224	to love our Neighbour as ourselves includes in it all Virtues	IP	24131240	all Virtues	NP	24131241	Virtues	virtue	NS	24131241	Virtues	virtue	NS	24131240	all Virtues	NP	24131240	all Virtues	NP
24132132	all	all	Q	Butler, Joseph 	1726 	butler-1726 	SERMON 	n/a 	butler-1726-1	24132125	Benevolence includes in it all Virtues	IP	24132133	all Virtues	NP	24132134	Virtues	virtue	NS	24132134	Virtues	virtue	NS	24132133	all Virtues	NP	24132133	all Virtues	NP
24324097	all	all	Q	Collier, William 	1835 	collier-1835 	DRAMA COMEDY 	n/a 	collier-1835-1	24324096	and all the requisite virtues 0 *T*-1 to ensure happiness	CONJP	24324098	all the requisite virtues 0 *T*-1 to ensure happiness	NP	24324101	virtues	virtue	NS	24324101	virtues	virtue	NS	24324098	all the requisite virtues 0 *T*-1 to ensure happiness	NP	24324098	all the requisite virtues 0 *T*-1 to ensure happiness	NP
25282465	many	many	Q	Garrick, David 	1759 	garrick-1759 	DRAMA COMEDY 	n/a 	garrick-1759-2	25282462	and *con* has many Virtues ,	IP-MAT	25282466	many Virtues	NP	25282467	Virtues	virtue	NS	25282467	Virtues	virtue	NS	25282466	many Virtues	NP	25282466	many Virtues	NP
25305423	all	all	Q	Gibbon, Edward 	1776 	gibbon-1776 	HISTORY 	n/a 	gibbon-1776-1	25305422	among all the virtues of his predecessors	PP	25305424	all the virtues of his predecessors	NP	25305426	virtues	virtue	NS	25305426	virtues	virtue	NS	25305424	all the virtues of his predecessors	NP	25305424	all the virtues of his predecessors	NP
25450705	every	every	Q	Goldsmith, Oliver 	1773 	goldsmith-1773 	DRAMA COMEDY 	n/a 	goldsmith-1773-1	25450704	for every virtue	PP	25450706	every virtue	NP	25450707	virtue	virtue	N	25450707	virtue	virtue	N	25450706	every virtue	NP	25450706	every virtue	NP
25460234	every	every	Q	n/a 	1781 	gordon-1781 	PROC TRIAL 	n/a 	gordon-1781-2	25460230	*T*-1 besides possesses every publick and private virtue 0 that *T*-2 can adorn the citizen and the man	IP	25460235	every publick and private virtue 0 that *T*-2 can adorn the citizen and the man	NP	25460240	virtue	virtue	N	25460240	virtue	virtue	N	25460235	every publick and private virtue 0 that *T*-2 can adorn the citizen and the man	NP	25460235	every publick and private virtue 0 that *T*-2 can adorn the citizen and the man	NP
25528646	every	every	Q	Experienced practitioner in this branch of gardening, grafting and inoculation 	1780 	grafting-1780 	HANDB OTHER 	n/a 	grafting-1780-1	25528645	to every social virtue	PP	25528647	every social virtue	NP	25528649	virtue	virtue	N	25528649	virtue	virtue	N	25528647	every social virtue	NP	25528647	every social virtue	NP
25999024	many	many	Q	Inchbald, Maria 	1793 	inchbald-1793 	DRAMA COMEDY 	n/a 	inchbald-1793-2	25998987	and though 0 I acknowledge that both you and his lady have cause for complaint , yet Sir Robert has still many virtues .	IP-MAT	25999025	many virtues	NP	25999026	virtues	virtue	NS	25999026	virtues	virtue	NS	25999025	many virtues	NP	25999025	many virtues	NP
