1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23516536	some	some	Q	Barton, Frank Townend, and George Gresswell. 	1906 	barton-gresswell-1906 	SCIENCE MEDICINE 	n/a 	barton-gresswell-1906-2	23516535	for some boiling water	PP	23516537	some boiling water	NP	23516539	water	water	N	23516539	water	water	N	23516537	some boiling water	NP	23516537	some boiling water	NP
23575685	no	no	Q	Bell, Gertrude 	1911 	bell-1911 	TRAVELOGUE 	n/a 	bell-1911-2	23575676	there was , in fact , no water on the road .	IP-MAT	23575686	no water	NP=1	23575687	water	water	N	23575687	water	water	N	23575686	no water	NP=1	23575686	no water	NP=1
24387011	some	some	Q	Cook, James 	1776 	cook1-1776 	TRAVELOGUE 	n/a 	cook1-1776-1	24387009	*pro* Got some water ,	IP-MAT	24387012	some water	NP	24387013	water	water	N	24387013	water	water	N	24387012	some water	NP	24387012	some water	NP
24398250	each	each	Q	Cook, Ernest Thomas 	1901 	cook2-1901 	HANDB OTHER 	n/a 	cook2-1901-2	24398249	at each artificial watering	PP	24398251	each artificial watering	NP	24398253	watering	water	N	24398253	watering	water	N	24398251	each artificial watering	NP	24398251	each artificial watering	NP
24415291	several	several	Q	Cooke, Edward 	1712 	cooke1-1712 	TRAVELOGUE 	n/a 	cooke1-1712-1	24415288	over the several Waters which 0 *T*-2 ran across the Streets	PP	24415290	the several Waters which 0 *T*-2 ran across the Streets	NP	24415292	Waters	water	NS	24415292	Waters	water	NS	24415290	the several Waters which 0 *T*-2 ran across the Streets	NP	24415290	the several Waters which 0 *T*-2 ran across the Streets	NP
24436325	no	no	Q	Cooke, Samuel 	1770? 	cooke2-1770 	HANDB OTHER 	n/a 	cooke2-1770-2	24436324	Give no water to your melons , which 0 *T*-1 now begin to ripen .	IP-IMP	24436326	no water	NP	24436327	water	water	N	24436327	water	water	N	24436326	no water	NP	24436326	no water	NP
24445444	no	no	Q	Cooke, Samuel 	1770? 	cooke2-1770 	HANDB OTHER 	n/a 	cooke2-1770-2	24445442	to give no watering to your tender succulent plants	IP	24445445	no watering	NP	24445446	watering	water	N	24445446	watering	water	N	24445445	no watering	NP	24445445	no watering	NP
24542497	half	half	Q	Dalton, John 	1808 	dalton-1808 	SCIENCE OTHER 	n/a 	dalton-1808-2	24542488	air of half density would take half the water	IP	24542498	half the water	NP	24542500	water	water	N	24542500	water	water	N	24542498	half the water	NP	24542498	half the water	NP
24562920	all	all	Q	Darwin, Charles 	1835 	darwin-1835 	TRAVELOGUE 	n/a 	darwin-1835-2	24562921	all the waters here have puna	IP	24562922	all the waters here	NP	24562924	waters	water	NS	24562924	waters	water	NS	24562922	all the waters here	NP	24562922	all the waters here	NP
24575118	no	no	Q	Darwin, Charles 	1835 	darwin-1835 	TRAVELOGUE 	n/a 	darwin-1835-2	24575114	*T*-6 there is no water	IP	24575119	no water	NP=7	24575120	water	water	N	24575120	water	water	N	24575119	no water	NP=7	24575119	no water	NP=7
24596457	all	all	Q	Davy, Sir Humphry 	1814 	davy-1814 	SCIENCE OTHER 	n/a 	davy-1814-2	24596454	*T*-1 would absorb all the water united to it	IP	24596458	all the water united to it	NP	24596460	water	water	N	24596460	water	water	N	24596458	all the water united to it	NP	24596458	all the water united to it	NP
24793627	much	much	Q	Ellicott, Charles John et al. 	1881 (published 1885) 	erv-new-1881 	BIBLE 	n/a 	erv-new-1881-1	24793624	there was much water there	IP	24793628	much water	NP	24793629	water	water	N	24793629	water	water	N	24793628	much water	NP	24793628	much water	NP
24903595	no	no	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24903591	And there was no water for the congregation :	IP-MAT	24903596	no water	NP=1	24903597	water	water	N	24903597	water	water	N	24903596	no water	NP=1	24903596	no water	NP=1
24903798	any	any	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24903794	neither is there any water 0 *T*-2 to drink .	IP-MAT-SPE	24903799	any water 0 *T*-2 to drink	NP=1	24903800	water	water	N	24903800	water	water	N	24903799	any water 0 *T*-2 to drink	NP=1	24903799	any water 0 *T*-2 to drink	NP=1
24920537	no	no	Q	English Old Testament Revisers 	1885 	erv-old-1885 	BIBLE 	n/a 	erv-old-1885-2	24920534	*T*-8 *exp* was no water	IP	24920538	no water	NP=9	24920539	water	water	N	24920539	water	water	N	24920538	no water	NP=9	24920538	no water	NP=9
24947165	some	some	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24947160	I now take some <P_9> water	IP	24947166	some <P_9> water	NP	24947168	water	water	N	24947168	water	water	N	24947166	some <P_9> water	NP	24947166	some <P_9> water	NP
24947992	some	some	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24947989	I add some water to it	IP	24947993	some water	NP	24947994	water	water	N	24947994	water	water	N	24947993	some water	NP	24947993	some water	NP
24948166	some	some	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24948160	The Lecturer here poured some water over the white sulphate of copper , which 0 *T*-1 immediately became blue , evolving considerable heat at the same time	IP	24948167	some water	NP	24948168	water	water	N	24948168	water	water	N	24948167	some water	NP	24948167	some water	NP
24960296	some	some	Q	Faraday, Michael 	1859 	faraday-1859 	SCIENCE OTHER 	n/a 	faraday-1859-1	24960295	and some hot water	CONJP	24960297	some hot water	NP	24960299	water	water	N	24960299	water	water	N	24960297	some hot water	NP	24960297	some hot water	NP
24985553	all	all	Q	Ferguson, James 	1756 	ferguson-1756 	SCIENCE OTHER 	n/a 	ferguson-1756-2	24985554	all the water in our rivers , seas , and oceans , should run through the hollow of a swan's quill in a minute	IP	24985555	all the water in our rivers , seas , and oceans	NP	24985557	water	water	N	24985557	water	water	N	24985555	all the water in our rivers , seas , and oceans	NP	24985555	all the water in our rivers , seas , and oceans	NP
25969149	some	some	Q	Hunt, Henry 	1844 	hunt-1844 	SCIENCE MEDICINE 	n/a 	hunt-1844-2	25969148	in some aromatic water	PP	25969150	some aromatic water	NP	25969152	water	water	N	25969152	water	water	N	25969150	some aromatic water	NP	25969150	some aromatic water	NP
26519927	some	some	Q	Lind, James 	1753 	lind-1753 	SCIENCE MEDICINE 	n/a 	lind-1753-1	26519926	of some light steel mineral water	PP	26519928	some light steel mineral water	NP	26519932	water	water	N	26519932	water	water	N	26519928	some light steel mineral water	NP	26519928	some light steel mineral water	NP
26728147	no	no	Q	Maxwell, Robert 	1747 	maxwell-1747 	HANDB OTHER 	n/a 	maxwell-1747-1	26728144	there is no Water , but at a great Distance	IP	26728148	no Water	NP	26728149	Water	water	N	26728149	Water	water	N	26728148	no Water	NP	26728148	no Water	NP
26982131	much	much	Q	Newcome, William 	1796 	newcome-new-1796 	BIBLE 	n/a 	newcome-new-1796-1	26982132	much water was there	IP	26982133	much water	NP	26982134	water	water	N	26982134	water	water	N	26982133	much water	NP	26982133	much water	NP
27083347	all	all	Q	n/a 	1844 	oconnell-1844 	PROC TRIAL 	n/a 	oconnell-1844-2	27083348	all the water would run by that he might pass over dry	IP	27083349	all the water	NP	27083351	water	water	N	27083351	water	water	N	27083349	all the water	NP	27083349	all the water	NP
27163579	some	some	Q	Anonymous officer of the fleet 	1744 	officer-1744 	TRAVELOGUE 	n/a 	officer-1744-1	27163578	with some fresh Water and Fish	PP	27163580	some fresh Water and Fish	NP	27163582	Water	water	N	27163582	Water	water	N	27163580	some fresh Water and Fish	NP	27163580	some fresh Water and Fish	NP
27169663	no	no	Q	Anonymous officer of the fleet 	1744 	officer-1744 	TRAVELOGUE 	n/a 	officer-1744-1	27169664	no fresh Water	IP	27169665	no fresh Water	NP	27169667	Water	water	N	27169667	Water	water	N	27169665	no fresh Water	NP	27169665	no fresh Water	NP
27485399	much	much	Q	Purver, Anthony 	1764 	purver-new-1764 	BIBLE 	n/a 	purver-new-1764-1	27485400	much Water was there	IP	27485401	much Water	NP	27485402	Water	water	N	27485402	Water	water	N	27485401	much Water	NP	27485401	much Water	NP
27537179	some	some	Q	Purver, Anthony 	1764 	purver-new-1764 	BIBLE 	n/a 	purver-new-1764-2	27537178	to some Water	PP	27537180	some Water	NP	27537181	Water	water	N	27537181	Water	water	N	27537180	some Water	NP	27537180	some Water	NP
27593606	no	no	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27593605	having no Water	IP	27593607	no Water	NP	27593608	Water	water	N	27593608	Water	water	N	27593607	no Water	NP	27593607	no Water	NP
27593769	no	no	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27593765	nay there is no Water 0 *T*-2 to drink .	IP-MAT-SPE	27593770	no Water 0 *T*-2 to drink	NP=1	27593771	Water	water	N	27593771	Water	water	N	27593770	no Water 0 *T*-2 to drink	NP=1	27593770	no Water 0 *T*-2 to drink	NP=1
27594074	much	much	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27594069	*T*-1 there came out much Water , so that the Assembly and their Cattle drank	IP	27594075	much Water	NP=2	27594076	Water	water	N	27594076	Water	water	N	27594075	much Water	NP=2	27594075	much Water	NP=2
27609782	no	no	Q	Purver, Anthony 	1764 	purver-old-1764 	BIBLE 	n/a 	purver-old-1764-2	27609778	*T*-6 there was no Water	IP	27609783	no Water	NP	27609784	Water	water	N	27609784	Water	water	N	27609783	no Water	NP	27609783	no Water	NP
27719477	any	any	Q	Roberts, George 	1726 	roberts-1726 	TRAVELOGUE 	n/a 	roberts-1726-2	27719473	neither is there any fresh Water there nigh the Sea .	IP-MAT	27719478	any fresh Water	NP=1	27719480	Water	water	N	27719480	Water	water	N	27719478	any fresh Water	NP=1	27719478	any fresh Water	NP=1
27764110	no	no	Q	Ruskin, John 	1835 	ruskin-1835 	DIARY PRIV 	n/a 	ruskin-1835-1	27764106	only there was no water -	IP-MAT	27764111	no water	NP	27764112	water	water	N	27764112	water	water	N	27764111	no water	NP	27764111	no water	NP
27887387	much	much	Q	Skeavington, George 	184x 	skeavington-184x 	HANDB OTHER 	n/a 	skeavington-184x-1	27887367	While 0 he is full of grass , he will not drink much water ,	IP-MAT	27887388	much water	NP	27887389	water	water	N	27887389	water	water	N	27887388	much water	NP	27887388	much water	NP
27887810	some	some	Q	Skeavington, George 	184x 	skeavington-184x 	HANDB OTHER 	n/a 	skeavington-184x-1	27887804	first having offered him some chilled water 0 *T*-2 to drink	IP	27887811	some chilled water 0 *T*-2 to drink	NP	27887813	water	water	N	27887813	water	water	N	27887811	some chilled water 0 *T*-2 to drink	NP	27887811	some chilled water 0 *T*-2 to drink	NP
28132897	some	some	Q	Strutt, John William, 3rd baron Rayleigh 	1890 	strutt-1890 	SCIENCE OTHER 	n/a 	strutt-1890-1	28132892	I have here some water containing a very small fraction of ether , about 1$$240th part .	IP-MAT	28132898	some water containing a very small fraction of ether , about 1$$240th part	NP	28132899	water	water	N	28132899	water	water	N	28132898	some water containing a very small fraction of ether , about 1$$240th part	NP	28132898	some water containing a very small fraction of ether , about 1$$240th part	NP
