1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23349874	all	all	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23349873	But all our Author's Works have been collected together , and frequently reprinted , in three volumes , folio .	IP-MAT-1	23349875	all our Author's Works	NP	23349878	Works	work	NS	23349878	Works	work	NS	23349875	all our Author's Works	NP	23349875	all our Author's Works	NP
23433413	any	any	Q	Bain, Alexander 	1878 	bain-1878 	EDUC TREAT 	n/a 	bain-1878-1	23433412	to any medical work of the ancient world	PP	23433414	any medical work of the ancient world	NP	23433416	work	work	N	23433416	work	work	N	23433414	any medical work of the ancient world	NP	23433414	any medical work of the ancient world	NP
23522053	all	all	Q	Beale, Dorothea 	1898 	beale-1898 	EDUC TREAT 	n/a 	beale-1898-2	23522052	but all the intellectual work must of course be conditioned by the necessities of the physical life ,	IP-MAT	23522054	all the intellectual work	NP	23522057	work	work	N	23522057	work	work	N	23522054	all the intellectual work	NP	23522054	all the intellectual work	NP
23527451	some	some	Q	Beale, Dorothea 	1898 	beale-1898 	EDUC TREAT 	n/a 	beale-1898-2	23527450	or some manual work	CONJP	23527452	some manual work	NP	23527454	work	work	N	23527454	work	work	N	23527452	some manual work	NP	23527452	some manual work	NP
23604882	some	some	Q	Benson, Arthur Christopher 	1908 	benson-1908 	EDUC TREAT 	n/a 	benson-1908-1	23604881	to some less strenuous work	PP	23604883	some less strenuous work	NP	23604887	work	work	N	23604887	work	work	N	23604883	some less strenuous work	NP	23604883	some less strenuous work	NP
23606886	all	all	Q	Benson, Arthur Christopher 	1908 	benson-1908 	EDUC TREAT 	n/a 	benson-1908-1	23606885	in all the work 0 that *T*-2 he does	PP	23606887	all the work 0 that *T*-2 he does	NP	23606889	work	work	N	23606889	work	work	N	23606887	all the work 0 that *T*-2 he does	NP	23606887	all the work 0 that *T*-2 he does	NP
23616166	all	all	Q	Benson, Arthur Christopher 	1908 	benson-1908 	EDUC TREAT 	n/a 	benson-1908-1	23616157	those in authority resolutely diminishing all work 0 that *T*-2 is unprofitable from the master's point of view	IP	23616167	all work 0 that *T*-2 is unprofitable from the master's point of view	NP	23616168	work	work	N	23616168	work	work	N	23616167	all work 0 that *T*-2 is unprofitable from the master's point of view	NP	23616167	all work 0 that *T*-2 is unprofitable from the master's point of view	NP
23635223	all	all	Q	Benson, Arthur Christopher 	1905-1906 	benson-190x 	DIARY PRIV 	n/a 	benson-190x-1	23635222	to all my work on the Queen's Letters	PP	23635224	all my work on the Queen's Letters	NP	23635226	work	work	N	23635226	work	work	N	23635224	all my work on the Queen's Letters	NP	23635224	all my work on the Queen's Letters	NP
23696247	no	no	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23696238	without first addressing him , no work is well begun ,	IP-MAT-SPE	23696248	no work	NP	23696249	work	work	N	23696249	work	work	N	23696248	no work	NP	23696248	no work	NP
23712732	all	all	Q	Ridpath, Philip 	1785 	boethri-1785 	PHILOSOPHY 	n/a 	boethri-1785-1	23712731	in all God's works	PP	23712733	all God's works	NP	23712735	works	work	NS	23712735	works	work	NS	23712733	all God's works	NP	23712733	all God's works	NP
23824004	all	all	Q	Boswell, James 	1786-1788 	boswell-178x 	LET PRIV 	n/a 	boswell-178x-2	23824003	of all work	PP	23824005	all work	NP	23824006	work	work	N	23824006	work	work	N	23824005	all work	NP	23824005	all work	NP
23852664	all	all	Q	Boswell, James 	1791 	boswell-1791 	BIOGR OTHER 	n/a 	boswell-1791-2	23852663	of all his works	PP	23852665	all his works	NP	23852667	works	work	NS	23852667	works	work	NS	23852665	all his works	NP	23852665	all his works	NP
23902955	all	all	Q	Bradley, Martha 	1760? 	bradley2-1760 	HANDB OTHER 	n/a 	bradley2-1760-2	23902954	in all Works of this Kind	PP	23902956	all Works of this Kind	NP	23902957	Works	work	NS	23902957	Works	work	NS	23902956	all Works of this Kind	NP	23902956	all Works of this Kind	NP
24006970	all	all	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24006969	as all other works	PP	24006971	all other works	NP	24006973	works	work	NS	24006973	works	work	NS	24006971	all other works	NP	24006971	all other works	NP
24009857	some	some	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24009838	*T*-3 *exp* were afterwards introduced , in perfect consistency with the primary object , some literary and scientific works	IP	24009858	some literary and scientific works	NP	24009863	works	work	NS	24009863	works	work	NS	24009858	some literary and scientific works	NP	24009858	some literary and scientific works	NP
24010625	some	some	Q	Brougham, Henry 	1825 	brougham2-1825 	EDUC TREAT 	n/a 	brougham2-1825-2	24010624	of some work	PP	24010626	some work	NP	24010627	work	work	N	24010627	work	work	N	24010626	some work	NP	24010626	some work	NP
24027443	all	all	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1768 	burney-1768 	DIARY PRIV 	n/a 	burney-1768-2	24027442	in all his works	PP	24027444	all his works	NP	24027446	works	work	NS	24027446	works	work	NS	24027444	all his works	NP	24027444	all his works	NP
24053442	all	all	Q	Burney, Frances (Fanny), later Mme. d'Arblay 	1782 	burney-1782 	FICTION 	n/a 	burney-1782-2	24053443	all the work 0 0 *T*-2 I can do by myself is not enough to maintain us	IP	24053444	all the work 0 0 *T*-2 I can do by myself	NP	24053446	work	work	N	24053446	work	work	N	24053444	all the work 0 0 *T*-2 I can do by myself	NP	24053444	all the work 0 0 *T*-2 I can do by myself	NP
24159302	all	all	Q	Carlyle, Thomas 	1835 	carlyle-1835 	LET PRIV 	n/a 	carlyle-1835-1	24159303	all good work is of *T*-1 : for this world	IP	24159304	all good work	NP	24159306	work	work	N	24159306	work	work	N	24159304	all good work	NP	24159304	all good work	NP
24311817	any	any	Q	Coleridge, Samuel Taylor 	1825 	coleridge-1825 	LET PRIV 	n/a 	coleridge-1825-2	24311809	However , I have not seen any work from which 0 *T*-1 half a dozen powerful and useful Sermons for the great Festivals of the Church might be more easily compiled .	IP-MAT	24311818	any work from which 0 *T*-1 half a dozen powerful and useful Sermons for the great Festivals of the Church might be more easily compiled	NP	24311819	work	work	N	24311819	work	work	N	24311818	any work from which 0 *T*-1 half a dozen powerful and useful Sermons for the great Festivals of the Church might be more easily compiled	NP	24311818	any work from which 0 *T*-1 half a dozen powerful and useful Sermons for the great Festivals of the Church might be more easily compiled	NP
24446578	all	all	Q	Cooke, Samuel 	1770? 	cooke2-1770 	HANDB OTHER 	n/a 	cooke2-1770-2	24446577	of all other works	PP	24446579	all other works	NP	24446581	works	work	NS	24446581	works	work	NS	24446579	all other works	NP	24446579	all other works	NP
