1_id	1_span	1_anno_default_ns:lemma	1_anno_ptb:pos	1_meta_Author	1_meta_Date_of_composition	1_meta_Filename	1_meta_Genre	1_meta_Manuscript	1_meta_annis:doc	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_default_ns:lemma	4_anno_ptb:pos	5_id	5_span	5_anno_default_ns:lemma	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
23235327	every	every	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23235311	Perennial plants are supplied in this manner with a new skin every year ;	IP-MAT	23235328	every year	NP	23235329	year	year	N	23235329	year	year	N	23235328	every year	NP	23235328	every year	NP
23242548	every	every	Q	Adams, George 	1787 	adams-1787 	SCIENCE OTHER 	n/a 	adams-1787-2	23242536	The bark and the wood grow thicker every year , while 0 the pith , on the contrary , grows more slender , so that in a branch of one year it is of a larger size than 0 0 *T*-1 it is in the same branch when two years old , and so on .	IP-MAT	23242549	every year	NP	23242550	year	year	N	23242550	year	year	N	23242549	every year	NP	23242549	every year	NP
23279197	many	many	Q	Andrews, John 	1785-1786 	andrews1-1785 	HISTORY 	n/a 	andrews1-1785-2	23279193	*T*-1 would have lingered many a year , unless 0 it had been thus forced into completion	IP	23279198	many a year	NP	23279200	year	year	N	23279200	year	year	N	23279198	many a year	NP	23279198	many a year	NP
23294689	some	some	Q	Andrews, James Pettit 	1796 	andrews-1796 	HISTORY 	n/a 	andrews2-1796-2	23294690	some years before the dissolution of religious houses	PP	23294691	some years	NP	23294692	years	year	NS	23294692	years	year	NS	23294691	some years	NP	23294691	some years	NP
23297258	many	many	Q	Andrews, James Pettit 	1796 	andrews-1796 	HISTORY 	n/a 	andrews2-1796-2	23297257	for many succeeding years	PP	23297259	many succeeding years	NP	23297261	years	year	NS	23297261	years	year	NS	23297259	many succeeding years	NP	23297259	many succeeding years	NP
23309869	several	several	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23309866	and consequently several Years will be gain'd :	IP-MAT	23309870	several Years	NP	23309871	Years	year	NS	23309871	Years	year	NS	23309870	several Years	NP	23309870	several Years	NP
23310652	many	many	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23310651	for many Years	PP	23310653	many Years	NP	23310654	Years	year	NS	23310654	Years	year	NS	23310653	many Years	NP	23310653	many Years	NP
23311558	some	some	Q	anonymous (see Remarks) 	1711 	anon1-1711 	EDUC TREAT 	n/a 	anon1-1711-1	23311547	By this means also , Boys wou'd gain some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities , besides other Advantages which 0 *T*-3 wou'd accrue to them from the Use of this Method .	IP-MAT	23311559	some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities	NP	23311560	Years	year	NS	23311560	Years	year	NS	23311559	some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities	NP	23311559	some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities	NP
23334488	half	half	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23334487	than half a year	PP	23334489	half a year	NP	23334491	year	year	N	23334491	year	year	N	23334489	half a year	NP	23334489	half a year	NP
23335109	several	several	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23335108	for several years	PP	23335110	several years	NP	23335111	years	year	NS	23335111	years	year	NS	23335110	several years	NP	23335110	several years	NP
23341784	Some	some	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23341786	Some years before his death	PP	23341787	Some years	NP	23341788	years	year	NS	23341788	years	year	NS	23341787	Some years	NP	23341787	Some years	NP
23348772	many	many	Q	anonymous 	1772 	anon3-1772 	BIOGR OTHER 	n/a 	anon3-1772-2	23348773	many years after	ADVP	23348774	many years	NP	23348775	years	year	NS	23348775	years	year	NS	23348774	many years	NP	23348774	many years	NP
23355951	every	every	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23355932	Charlemagne *ICH*-1 is carried , thus dressed out and powdered , thrice every year round the town , in order to imprint on the minds of the inhabitants , a due sense of the benefits 0 0 *T*-2 they have received from him -	IP-MAT	23355952	every year	NP	23355953	year	year	N	23355953	year	year	N	23355952	every year	NP	23355952	every year	NP
23359178	some	some	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23359179	some years since	ADVP	23359180	some years	NP	23359181	years	year	NS	23359181	years	year	NS	23359180	some years	NP	23359180	some years	NP
23364273	some	some	Q	Anonymous English gentleman 	1791 	anon4-1791 	TRAVELOGUE 	n/a 	anon4-1791-2	23364274	some years after the revolt	PP	23364275	some years	NP	23364276	years	year	NS	23364276	years	year	NS	23364275	some years	NP	23364275	some years	NP
23414002	half	half	Q	Austen, Jane 	1816 (128-135), 1817 (136-142) 	austen-181x 	LET PRIV 	various (see edition) 	austen-181x-2	23414003	half a year hence	ADVP	23414004	half a year	NP	23414006	year	year	N	23414006	year	year	N	23414004	half a year	NP	23414004	half a year	NP
23421502	half	half	Q	Austen, Jane 	1816 (128-135), 1817 (136-142) 	austen-181x 	LET PRIV 	various (see edition) 	austen-181x-2	23421503	half a year ago	ADVP	23421504	half a year	NP	23421506	year	year	N	23421506	year	year	N	23421504	half a year	NP	23421504	half a year	NP
23427837	some	some	Q	Austen, Jane 	1816 (128-135), 1817 (136-142) 	austen-181x 	LET PRIV 	various (see edition) 	austen-181x-2	23427829	Caroline was sent to School some years	IP	23427838	some years	NP	23427839	years	year	NS	23427839	years	year	NS	23427838	some years	NP	23427838	some years	NP
23432272	many	many	Q	Bain, Alexander 	1878 	bain-1878 	EDUC TREAT 	n/a 	bain-1878-1	23432269	*T*-1 must spend many years in learning foreign languages	IP	23432273	many years	NP	23432274	years	year	NS	23432274	years	year	NS	23432273	many years	NP	23432273	many years	NP
23443149	several	several	Q	Bain, Alexander 	1878 	bain-1878 	EDUC TREAT 	n/a 	bain-1878-1	23443148	for several years	PP	23443150	several years	NP	23443151	years	year	NS	23443151	years	year	NS	23443150	several years	NP	23443150	several years	NP
23454511	some	some	Q	Baker, Henry 	1742 	baker-1742 	SCIENCE OTHER 	n/a 	baker-1742-2	23454512	some Years ago	ADVP	23454513	some Years	NP	23454514	Years	year	NS	23454514	Years	year	NS	23454513	some Years	NP	23454513	some Years	NP
23494172	several	several	Q	Bardsley, Samuel Argent 	1807 	bardsley-1807 	SCIENCE MEDICINE 	n/a 	bardsley-1807-1	23494173	several years standing	NP	23494174	several years	NP	23494175	years	year	NS$	23494175	years	year	NS$	23494174	several years	NP	23494174	several years	NP
23499180	many	many	Q	Bardsley, Samuel Argent 	1807 	bardsley-1807 	SCIENCE MEDICINE 	n/a 	bardsley-1807-1	23499179	from many years back	PP	23499181	many years back	NP	23499182	years	year	NS	23499182	years	year	NS	23499181	many years back	NP	23499181	many years back	NP
