1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17601205	meny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17601202	and o+tere meny bisshopes 0 +tat *T*-2 +git bene in +tis lande	CONJP	17601204	o+tere meny bisshopes 0 +tat *T*-2 +git bene in +tis lande	NP	17601206	bisshopes	NS	17601206	bisshopes	NS	17601204	o+tere meny bisshopes 0 +tat *T*-2 +git bene in +tis lande	NP	17601204	o+tere meny bisshopes 0 +tat *T*-2 +git bene in +tis lande	NP
17692465	all	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17692462	for to reforme all +te bischoppis of Asie to +te same reule	IP	17692466	all +te bischoppis of Asie	NP	17692468	bischoppis	NS	17692468	bischoppis	NS	17692466	all +te bischoppis of Asie	NP	17692466	all +te bischoppis of Asie	NP
17692852	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17692849	+tere schuld no bischop be consecrate but of iii bischoppes at +te leest	IP	17692853	no bischop	NP	17692854	bischop	N	17692854	bischop	N	17692853	no bischop	NP	17692853	no bischop	NP
17698892	all	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17698889	He pursewid all +te Cristen bischoppis and prestis +torow +te world :	IP-MAT	17698893	all +te Cristen bischoppis and prestis	NP	17698896	bischoppis	NS	17698896	bischoppis	NS	17698893	all +te Cristen bischoppis and prestis	NP	17698893	all +te Cristen bischoppis and prestis	NP
17700124	All	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17700125	All +te biscoppis 0 +tat *T*-1 were exiled in Constans tyme he cleped hem hom to her cherchis ;	IP-MAT	17700126	All +te biscoppis 0 +tat *T*-1 were exiled in Constans tyme	NP	17700128	biscoppis	NS	17700128	biscoppis	NS	17700126	All +te biscoppis 0 +tat *T*-1 were exiled in Constans tyme	NP	17700126	All +te biscoppis 0 +tat *T*-1 were exiled in Constans tyme	NP
17703780	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17703777	+tere schuld no biscop asigne his successour	IP	17703781	no biscop	NP	17703782	biscop	N	17703782	biscop	N	17703781	no biscop	NP	17703781	no biscop	NP
17725186	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17725182	*T*-1 he deposed many bischopis for symony and fornicacion	IP	17725187	many bischopis	NP	17725188	bischopis	NS	17725188	bischopis	NS	17725187	many bischopis	NP	17725187	many bischopis	NP
17765470	alle	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17765465	At +tis word alle +te bischoppes rise up ,	IP-MAT	17765471	alle +te bischoppes	NP	17765473	bischoppes	NS	17765473	bischoppes	NS	17765471	alle +te bischoppes	NP	17765471	alle +te bischoppes	NP
18126189	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18126188	and alle hyr byschoppys	CONJP	18126190	alle hyr byschoppys	NP	18126192	byschoppys	NS	18126192	byschoppys	NS	18126190	alle hyr byschoppys	NP	18126190	alle hyr byschoppys	NP
18140091	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18140088	And thenne alle the byschoppys seseden with a swerde , they alle syttynge there hondys thereon , ande alle they saynge thes wordys *ICH*-1 thys to hym , Accingere gladio tuo super femur tuum potentissime .	IP-MAT	18140092	alle the byschoppys	NP	18140094	byschoppys	NS	18140094	byschoppys	NS	18140092	alle the byschoppys	NP	18140092	alle the byschoppys	NP
18145345	many	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18145344	whythe many byschoppys and prelatys	PP	18145346	many byschoppys and prelatys	NP	18145347	byschoppys	NS	18145347	byschoppys	NS	18145346	many byschoppys and prelatys	NP	18145346	many byschoppys and prelatys	NP
18181463	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18181464	alle the byschoppe ys power	NP	18181465	alle the byschoppe ys	NP	18181467	byschoppe	N	18181467	byschoppe	N	18181465	alle the byschoppe ys	NP	18181465	alle the byschoppe ys	NP
18182933	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18182930	by fore alle +te byschoppys that tyme beyng at London	PP	18182934	alle +te byschoppys that tyme beyng at London	NP	18182936	byschoppys	NS	18182936	byschoppys	NS	18182934	alle +te byschoppys that tyme beyng at London	NP	18182934	alle +te byschoppys that tyme beyng at London	NP
18309291	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18309293	alle +te Bysshopys meny	NP	18309294	alle +te Bysshopys	NP	18309296	Bysshopys	N$	18309296	Bysshopys	N$	18309294	alle +te Bysshopys	NP	18309294	alle +te Bysshopys	NP
19016374	ealle	Q	X	EMO	CMPETERB	X	M1	NARR NON-IMAG	WRITTEN	PROSE	19016373	& ealle +ta biscopas him underfengen .	IP-MAT	19016375	ealle +ta biscopas	NP	19016377	biscopas	NS	19016377	biscopas	NS	19016375	ealle +ta biscopas	NP	19016375	ealle +ta biscopas	NP
19052157	no	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19052158	no bisshop schulde assayle ano+ter manis bisshopriche	IP	19052159	no bisshop	NP	19052160	bisshop	N	19052160	bisshop	N	19052159	no bisshop	NP	19052159	no bisshop	NP
19058894	meny	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19058890	to fore <P_VI,163> meny bisshoppes	PP	19058895	meny bisshoppes	NP	19058896	bisshoppes	NS	19058896	bisshoppes	NS	19058895	meny bisshoppes	NP	19058895	meny bisshoppes	NP
19120398	meny	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19120397	wi+t meny bisshoppes	PP	19120399	meny bisshoppes	NP	19120400	bisshoppes	NS	19120400	bisshoppes	NS	19120399	meny bisshoppes	NP	19120399	meny bisshoppes	NP
19369114	no	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19369113	ne no bissop	CONJP	19369115	no bissop	NP	19369116	bissop	N	19369116	bissop	N	19369115	no bissop	NP	19369115	no bissop	NP
19388469	ech	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19388462	Swo do+d to dai ech bishup . 0 +te *T*-1 in his minister be+d . *T*-1 driue+d ut +to forsinegede men . 0 +te *T*-2 habbe+d +to sinnes *ICH*-4 don ; 0 +te *T*-3 biligge+d to here shrifte . and *T*-2 shulen don here penitence ; forte +tene +turesdai biforen estrene dai .	IP-MAT	19388470	ech bishup . 0 +te *T*-1 in his minister be+d . *T*-1 driue+d ut +to forsinegede men . 0 +te *T*-2 habbe+d +to sinnes *ICH*-4 don ; 0 +te *T*-3 biligge+d to here shrifte . and *T*-2 shulen don here penitence ; forte +tene +turesdai biforen estrene dai	NP	19388471	bishup	N	19388471	bishup	N	19388470	ech bishup . 0 +te *T*-1 in his minister be+d . *T*-1 driue+d ut +to forsinegede men . 0 +te *T*-2 habbe+d +to sinnes *ICH*-4 don ; 0 +te *T*-3 biligge+d to here shrifte . and *T*-2 shulen don here penitence ; forte +tene +turesdai biforen estrene dai	NP	19388470	ech bishup . 0 +te *T*-1 in his minister be+d . *T*-1 driue+d ut +to forsinegede men . 0 +te *T*-2 habbe+d +to sinnes *ICH*-4 don ; 0 +te *T*-3 biligge+d to here shrifte . and *T*-2 shulen don here penitence ; forte +tene +turesdai biforen estrene dai	NP
