1_id	1_span	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_ptb::pos	meta_Period	meta_Genre	meta_Dialect	meta_File_name	meta_Text_name	meta_Date	meta_Author	meta_Verse_or_prose	meta_Foreign_original	meta_Relationship_to_spoken_language	meta_Prototypicaltext_category
salt:/ppcme2/cmbrut3.m3#sTok18259	meny	Q	salt:/ppcme2/cmbrut3.m3#structure10142	and oþere meny bisshopes 0 þat *T*-2 ȝit bene in þis lande	CONJP	salt:/ppcme2/cmbrut3.m3#structure10143	oþere meny bisshopes 0 þat *T*-2 ȝit bene in þis lande	NP	salt:/ppcme2/cmbrut3.m3#sTok18260	bisshopes	NS	M3		WML	CMBRUT3			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok9171	all	Q	salt:/ppcme2/cmcapchr.m4#structure5153	for to reforme all þe bischoppis of Asie to þe same reule	IP	salt:/ppcme2/cmcapchr.m4#structure5154	all þe bischoppis of Asie	NP	salt:/ppcme2/cmcapchr.m4#sTok9173	bischoppis	NS	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok9417	no	Q	salt:/ppcme2/cmcapchr.m4#structure5293	þere schuld no bischop be consecrate but of iii bischoppes at þe leest	IP	salt:/ppcme2/cmcapchr.m4#structure5295	no bischop	NP	salt:/ppcme2/cmcapchr.m4#sTok9418	bischop	N	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok13294	all	Q	salt:/ppcme2/cmcapchr.m4#structure7456	He pursewid all þe Cristen bischoppis and prestis þorow þe world :	IP-MAT	salt:/ppcme2/cmcapchr.m4#structure7458	all þe Cristen bischoppis and prestis	NP	salt:/ppcme2/cmcapchr.m4#sTok13297	bischoppis	NS	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok14071	All	Q	salt:/ppcme2/cmcapchr.m4#structure7913	All þe biscoppis 0 þat *T*-1 were exiled in Constans tyme he cleped hem hom to her cherchis ;	IP-MAT	salt:/ppcme2/cmcapchr.m4#structure7914	All þe biscoppis 0 þat *T*-1 were exiled in Constans tyme	NP	salt:/ppcme2/cmcapchr.m4#sTok14073	biscoppis	NS	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok16388	no	Q	salt:/ppcme2/cmcapchr.m4#structure9250	þere schuld no biscop asigne his successour	IP	salt:/ppcme2/cmcapchr.m4#structure9252	no biscop	NP	salt:/ppcme2/cmcapchr.m4#sTok16389	biscop	N	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok30031	many	Q	salt:/ppcme2/cmcapchr.m4#structure17013	*T*-1 he deposed many bischopis for symony and fornicacion	IP	salt:/ppcme2/cmcapchr.m4#structure17015	many bischopis	NP	salt:/ppcme2/cmcapchr.m4#sTok30032	bischopis	NS	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmcapchr.m4#sTok55517	alle	Q	salt:/ppcme2/cmcapchr.m4#structure31810	At þis word alle þe bischoppes rise up ,	IP-MAT	salt:/ppcme2/cmcapchr.m4#structure31813	alle þe bischoppes	NP	salt:/ppcme2/cmcapchr.m4#sTok55519	bischoppes	NS	M4		EML	CMCAPCHR			CAPGRAVE JOHN	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmgregor.m4#sTok6287	alle	Q	salt:/ppcme2/cmgregor.m4#structure3484	and alle hyr byschoppys	CONJP	salt:/ppcme2/cmgregor.m4#structure3485	alle hyr byschoppys	NP	salt:/ppcme2/cmgregor.m4#sTok6289	byschoppys	NS	M4		SL	CMGREGOR			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmgregor.m4#sTok15103	alle	Q	salt:/ppcme2/cmgregor.m4#structure8569	And thenne alle the byschoppys seseden with a swerde , they alle syttynge there hondys thereon , ande alle they saynge thes wordys *ICH*-1 thys to hym , Accingere gladio tuo super femur tuum potentissime .	IP-MAT	salt:/ppcme2/cmgregor.m4#structure8571	alle the byschoppys	NP	salt:/ppcme2/cmgregor.m4#sTok15105	byschoppys	NS	M4		SL	CMGREGOR			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmgregor.m4#sTok18425	many	Q	salt:/ppcme2/cmgregor.m4#structure10502	whythe many byschoppys and prelatys	PP	salt:/ppcme2/cmgregor.m4#structure10503	many byschoppys and prelatys	NP	salt:/ppcme2/cmgregor.m4#sTok18426	byschoppys	NS	M4		SL	CMGREGOR			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmgregor.m4#sTok41471	alle	Q	salt:/ppcme2/cmgregor.m4#structure23575	alle the byschoppe ys power	NP	salt:/ppcme2/cmgregor.m4#structure23576	alle the byschoppe ys	NP	salt:/ppcme2/cmgregor.m4#sTok41473	byschoppe	N	M4		SL	CMGREGOR			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmgregor.m4#sTok42403	alle	Q	salt:/ppcme2/cmgregor.m4#structure24111	by fore alle þe byschoppys that tyme beyng at London	PP	salt:/ppcme2/cmgregor.m4#structure24113	alle þe byschoppys that tyme beyng at London	NP	salt:/ppcme2/cmgregor.m4#sTok42405	byschoppys	NS	M4		SL	CMGREGOR			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmkempe.m4#sTok16096	alle	Q	salt:/ppcme2/cmkempe.m4#structure9782	alle þe Bysshopys meny	NP	salt:/ppcme2/cmkempe.m4#structure9783	alle þe Bysshopys	NP	salt:/ppcme2/cmkempe.m4#sTok16098	Bysshopys	N$	M4		EMO	CMKEMPE			KEMPE MARGERY	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmpeterb.m1#sTok806	ealle	Q	salt:/ppcme2/cmpeterb.m1#structure483	& ealle þa biscopas him underfengen .	IP-MAT	salt:/ppcme2/cmpeterb.m1#structure484	ealle þa biscopas	NP	salt:/ppcme2/cmpeterb.m1#sTok808	biscopas	NS	M1		EMO	CMPETERB			X	PROSE	X	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmpolych.m3#sTok14036	no	Q	salt:/ppcme2/cmpolych.m3#structure7995	no bisshop schulde assayle anoþer manis bisshopriche	IP	salt:/ppcme2/cmpolych.m3#structure7996	no bisshop	NP	salt:/ppcme2/cmpolych.m3#sTok14037	bisshop	N	M3		SL	CMPOLYCH			TREVISA JOHN	PROSE	LATIN	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmpolych.m3#sTok18357	meny	Q	salt:/ppcme2/cmpolych.m3#structure10409	to fore <P_VI,163> meny bisshoppes	PP	salt:/ppcme2/cmpolych.m3#structure10411	meny bisshoppes	NP	salt:/ppcme2/cmpolych.m3#sTok18358	bisshoppes	NS	M3		SL	CMPOLYCH			TREVISA JOHN	PROSE	LATIN	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmpolych.m3#sTok57636	meny	Q	salt:/ppcme2/cmpolych.m3#structure32635	wiþ meny bisshoppes	PP	salt:/ppcme2/cmpolych.m3#structure32636	meny bisshoppes	NP	salt:/ppcme2/cmpolych.m3#sTok57637	bisshoppes	NS	M3		SL	CMPOLYCH			TREVISA JOHN	PROSE	LATIN	WRITTEN	NARR NON-IMAG
salt:/ppcme2/cmtrinit.mx1#sTok1813	no	Q	salt:/ppcme2/cmtrinit.mx1#structure892	ne no bissop	CONJP	salt:/ppcme2/cmtrinit.mx1#structure893	no bissop	NP	salt:/ppcme2/cmtrinit.mx1#sTok1814	bissop	N	MX/1		EMO	CMTRINIT			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmtrinit.mx1#sTok14458	ech	Q	salt:/ppcme2/cmtrinit.mx1#structure7599	Swo doð to dai ech bishup . 0 þe *T*-1 in his minister beð . *T*-1 driueð ut þo forsinegede men . 0 þe *T*-2 habbeð þo sinnes *ICH*-4 don ; 0 þe *T*-3 biliggeð to here shrifte . and *T*-2 shulen don here penitence ; forte þene þuresdai biforen estrene dai .	IP-MAT	salt:/ppcme2/cmtrinit.mx1#structure7603	ech bishup . 0 þe *T*-1 in his minister beð . *T*-1 driueð ut þo forsinegede men . 0 þe *T*-2 habbeð þo sinnes *ICH*-4 don ; 0 þe *T*-3 biliggeð to here shrifte . and *T*-2 shulen don here penitence ; forte þene þuresdai biforen estrene dai	NP	salt:/ppcme2/cmtrinit.mx1#sTok14459	bishup	N	MX/1		EMO	CMTRINIT			X	PROSE	X	WRITTEN	INSTR REL

