1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17278937	ane	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17278932	me Preisede him ane bre+dre 0 +tt *T*-2 he hefde iherd of muchele speche	IP	17278938	ane bre+dre 0 +tt *T*-2 he hefde iherd of muchele speche	NP	17278939	bre+dre	NS	17278939	bre+dre	NS	17278938	ane bre+dre 0 +tt *T*-2 he hefde iherd of muchele speche	NP	17278938	ane bre+dre 0 +tt *T*-2 he hefde iherd of muchele speche	NP
17483224	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17483187	+Tanne huanne 0 *T*-1 we zigge+t ' vader oure ' and *T*-1 we zigge+t / ' yef ous . ' we gadere+t alle oure bro+tren *ICH*-2 *ICH*-3 mid ous of adopcion / 0 +tet *T*-4 bye+t children of holy cherche . be +te byleaue 0 +tet *T*-5 hi onderuinge ine cristnynge .	IP-MAT	17483225	alle oure bro+tren *ICH*-2 *ICH*-3	NP	17483227	bro+tren	NS	17483227	bro+tren	NS	17483225	alle oure bro+tren *ICH*-2 *ICH*-3	NP	17483225	alle oure bro+tren *ICH*-2 *ICH*-3	NP
17828846	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17828845	over alle his bretheren	PP	17828847	alle his bretheren	NP	17828849	bretheren	NS	17828849	bretheren	NS	17828847	alle his bretheren	NP	17828847	alle his bretheren	NP
18137556	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18137555	of alle hys bretheryn	PP	18137557	alle hys bretheryn	NP	18137559	bretheryn	NS	18137559	bretheryn	NS	18137557	alle hys bretheryn	NP	18137557	alle hys bretheryn	NP
18344411	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18344410	wyth alle hys bre+tyr	PP	18344412	alle hys bre+tyr	NP	18344414	bre+tyr	NS	18344414	bre+tyr	NS	18344412	alle hys bre+tyr	NP	18344412	alle hys bre+tyr	NP
18801285	all	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18801284	of all his bre+tyrn	PP	18801286	all his bre+tyrn	NP	18801288	bre+tyrn	NS	18801288	bre+tyrn	NS	18801286	all his bre+tyrn	NP	18801286	all his bre+tyrn	NP
19012335	alle	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	19012334	and alle thi bretheren the sones of Leuy	CONJP	19012336	alle thi bretheren the sones of Leuy	NP	19012338	bretheren	NS	19012338	bretheren	NS	19012336	alle thi bretheren the sones of Leuy	NP	19012336	alle thi bretheren the sones of Leuy	NP
19318444	all	Q	X	SL	CMROYAL	X	M3/4	INSTR REL	X	PROSE	19318441	we ben all bretheren , grett and small , ryche <em> and poure </em> , hy+g and lawe , of oon fader and oo moder , 0 +tat *T*-1 is God and holychurche	IP	19318445	all bretheren , grett and small , ryche <em> and poure </em> , hy+g and lawe , of oon fader and oo moder , 0 +tat *T*-1 is God and holychurche	NP	19318446	bretheren	NS	19318446	bretheren	NS	19318445	all bretheren , grett and small , ryche <em> and poure </em> , hy+g and lawe , of oon fader and oo moder , 0 +tat *T*-1 is God and holychurche	NP	19318445	all bretheren , grett and small , ryche <em> and poure </em> , hy+g and lawe , of oon fader and oo moder , 0 +tat *T*-1 is God and holychurche	NP
19512470	alle	Q	X	EML	CMVICES4	FRENCH	M3/4	INSTR REL	WRITTEN	PROSE	19512436	+Tan whan 0 we seyn ' fadre oure ' and ' +gyue vs , ' we gaderen yn wi+t vs alle oure bre+teren bi adopcioun , 0 +tat *T*-1 ben children of holy chirche bi +te bileue 0 +tat *T*-2 +tei receyuede at here cristenedome .	IP-MAT	19512471	alle oure bre+teren bi adopcioun , 0 +tat *T*-1 ben children of holy chirche bi +te bileue 0 +tat *T*-2 +tei receyuede at here cristenedome	NP	19512473	bre+teren	NS	19512473	bre+teren	NS	19512471	alle oure bre+teren bi adopcioun , 0 +tat *T*-1 ben children of holy chirche bi +te bileue 0 +tat *T*-2 +tei receyuede at here cristenedome	NP	19512471	alle oure bre+teren bi adopcioun , 0 +tat *T*-1 ben children of holy chirche bi +te bileue 0 +tat *T*-2 +tei receyuede at here cristenedome	NP
19512887	alle	Q	X	EML	CMVICES4	FRENCH	M3/4	INSTR REL	WRITTEN	PROSE	19512884	we be+t alle bre+teren , grete and smale , pore and riche , hi+ge and lowe , of on fadre and on modre , +tat is to seye of God and holy chirche	IP	19512888	alle bre+teren , grete and smale , pore and riche , hi+ge and lowe , of on fadre and on modre , +tat is to seye of God and holy chirche	NP	19512889	bre+teren	NS	19512889	bre+teren	NS	19512888	alle bre+teren , grete and smale , pore and riche , hi+ge and lowe , of on fadre and on modre , +tat is to seye of God and holy chirche	NP	19512888	alle bre+teren , grete and smale , pore and riche , hi+ge and lowe , of on fadre and on modre , +tat is to seye of God and holy chirche	NP
