1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17584903	meny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17584902	in meny contres	PP	17584904	meny contres	NP	17584905	contres	NS	17584905	contres	NS	17584904	meny contres	NP	17584904	meny contres	NP
17590148	euery	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17590147	in euery contre	PP	17590149	euery contre	NP	17590150	contre	N	17590150	contre	N	17590149	euery contre	NP	17590149	euery contre	NP
17593882	eny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17593881	in eny contre	PP	17593883	eny contre	NP	17593884	contre	N	17593884	contre	N	17593883	eny contre	NP	17593883	eny contre	NP
17612220	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17612213	+te kyng shulde +geue him al the contre of Kent , 0 +tat he *ICH*-2 my+gt duelle in *T*-1 , and al his peple	IP	17612221	al the contre of Kent , 0 +tat he *ICH*-2 my+gt duelle in *T*-1 , and al his peple	NP	17612223	contre	N	17612223	contre	N	17612221	al the contre of Kent , 0 +tat he *ICH*-2 my+gt duelle in *T*-1 , and al his peple	NP	17612221	al the contre of Kent , 0 +tat he *ICH*-2 my+gt duelle in *T*-1 , and al his peple	NP
17632075	euery	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17632074	in euery contre	PP	17632076	euery contre	NP	17632077	contre	N	17632077	contre	N	17632076	euery contre	NP	17632076	euery contre	NP
17633948	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17633947	ouer al the contrey	PP	17633949	al the contrey	NP	17633951	contrey	N	17633951	contrey	N	17633949	al the contrey	NP	17633949	al the contrey	NP
17636735	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17636732	and *con* spraden al +te contreye .	IP-MAT	17636736	al +te contreye	NP	17636738	contreye	N	17636738	contreye	N	17636736	al +te contreye	NP	17636736	al +te contreye	NP
17647890	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17647889	and al +te cuntre aboute him	CONJP	17647891	al +te cuntre aboute him	NP	17647893	cuntre	N	17647893	cuntre	N	17647891	al +te cuntre aboute him	NP	17647891	al +te cuntre aboute him	NP
17648754	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17648753	of all +te contre	PP	17648755	all +te contre	NP	17648757	contre	N	17648757	contre	N	17648755	all +te contre	NP	17648755	all +te contre	NP
17650727	euery	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650726	in euery contre	PP	17650728	euery contre	NP	17650729	contre	N	17650729	contre	N	17650728	euery contre	NP	17650728	euery contre	NP
17652554	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17652551	& *con* destroiede al +te contre ,	IP-MAT	17652555	al +te contre	NP	17652557	contre	N	17652557	contre	N	17652555	al +te contre	NP	17652555	al +te contre	NP
17652989	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17652988	for al +tis contre +te Danois hauen gete	IP	17652990	al +tis contre	NP	17652992	contre	N	17652992	contre	N	17652990	al +tis contre	NP	17652990	al +tis contre	NP
17899633	somme	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17899632	in somme contrees , ther 0 *T*-1 they byen thralles	PP	17899634	somme contrees , ther 0 *T*-1 they byen thralles	NP	17899635	contrees	NS	17899635	contrees	NS	17899634	somme contrees , ther 0 *T*-1 they byen thralles	NP	17899634	somme contrees , ther 0 *T*-1 they byen thralles	NP
17908226	al	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17908225	for al a contree	PP	17908227	al a contree	NP	17908229	contree	N	17908229	contree	N	17908227	al a contree	NP	17908227	al a contree	NP
17932934	Alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17932935	Alle +te cuntreis of +te er+te shul $bi+tenchen ,	IP-MAT	17932936	Alle +te cuntreis of +te er+te	NP	17932938	cuntreis	NS	17932938	cuntreis	NS	17932936	Alle +te cuntreis of +te er+te	NP	17932936	Alle +te cuntreis of +te er+te	NP
17960090	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17960091	alle +te cuntres of +ter+te and fer in +te see	NP	17960092	alle +te cuntres of +ter+te	NP	17960094	cuntres	NS	17960094	cuntres	NS	17960092	alle +te cuntres of +ter+te	NP	17960092	alle +te cuntres of +ter+te	NP
17961430	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17961426	and dreden hym alle +te cuntres of +ter+te .	IP-MAT	17961431	alle +te cuntres of +ter+te	NP	17961433	cuntres	NS	17961433	cuntres	NS	17961431	alle +te cuntres of +ter+te	NP	17961431	alle +te cuntres of +ter+te	NP
