1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17322902	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17322901	& alle wiche creftes	CONJP	17322903	alle wiche creftes	NP	17322905	creftes	NS	17322905	creftes	NS	17322903	alle wiche creftes	NP	17322903	alle wiche creftes	NP
17751169	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17751168	with no craft	PP	17751170	no craft	NP	17751171	craft	N	17751171	craft	N	17751170	no craft	NP	17751170	no craft	NP
18118417	any	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18118416	of any crafte in the citte	PP	18118418	any crafte in the citte	NP	18118419	crafte	N	18118419	crafte	N	18118418	any crafte in the citte	NP	18118418	any crafte in the citte	NP
18144127	every	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18144126	and every crafte in hyr devys	CONJP	18144128	every crafte in hyr devys	NP	18144129	crafte	N	18144129	crafte	N	18144128	every crafte in hyr devys	NP	18144128	every crafte in hyr devys	NP
18152358	alle	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18152357	whythe alle the craftys of London in blewe , wythe dyvers dyvysyngys , every crafte to be knowe from othyr	PP	18152359	alle the craftys of London in blewe , wythe dyvers dyvysyngys , every crafte to be knowe from othyr	NP	18152361	craftys	NS	18152361	craftys	NS	18152359	alle the craftys of London in blewe , wythe dyvers dyvysyngys , every crafte to be knowe from othyr	NP	18152359	alle the craftys of London in blewe , wythe dyvers dyvysyngys , every crafte to be knowe from othyr	NP
18152377	every	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18152378	every crafte to be knowe from othyr	IP	18152379	every crafte	NP	18152380	crafte	N	18152380	crafte	N	18152379	every crafte	NP	18152379	every crafte	NP
18266948	alle	Q	X	WMO	CMKATHE	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18266947	bimong alle hise crokinde creftes	PP	18266949	alle hise crokinde creftes	NP	18266952	creftes	NS	18266952	creftes	NS	18266949	alle hise crokinde creftes	NP	18266949	alle hise crokinde creftes	NP
18269415	alle	Q	X	WMO	CMKATHE	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18269414	of alle +te creftes 0 +te *T*-1 clearc ah to cunnen	PP	18269416	alle +te creftes 0 +te *T*-1 clearc ah to cunnen	NP	18269418	creftes	NS	18269418	creftes	NS	18269416	alle +te creftes 0 +te *T*-1 clearc ah to cunnen	NP	18269416	alle +te creftes 0 +te *T*-1 clearc ah to cunnen	NP
18272319	na	Q	X	WMO	CMKATHE	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18272311	ich ne con ne ne cnawe na creft bute on an 0 +tt *T*-2 is so+d wit & wisdom & heore *ICH*-3 eche heale 0 +tt *T*-4 him riht leue+d . +tet is iesu crist mi lauert & mi leofmon 0 +te *T*-5 seide 0 as *T*-6 ich seide ear & *T*-5 +get wule seggen . Perdam sapientiam sapientium & intel	IP	18272320	na creft bute on an 0 +tt *T*-2 is so+d wit & wisdom & heore *ICH*-3 eche heale 0 +tt *T*-4 him riht leue+d . +tet is iesu crist mi lauert & mi leofmon 0 +te *T*-5 seide 0 as *T*-6 ich seide ear & *T*-5 +get wule seggen . Perdam sapientiam sapientium & intel	NP	18272321	creft	N	18272321	creft	N	18272320	na creft bute on an 0 +tt *T*-2 is so+d wit & wisdom & heore *ICH*-3 eche heale 0 +tt *T*-4 him riht leue+d . +tet is iesu crist mi lauert & mi leofmon 0 +te *T*-5 seide 0 as *T*-6 ich seide ear & *T*-5 +get wule seggen . Perdam sapientiam sapientium & intel	NP	18272320	na creft bute on an 0 +tt *T*-2 is so+d wit & wisdom & heore *ICH*-3 eche heale 0 +tt *T*-4 him riht leue+d . +tet is iesu crist mi lauert & mi leofmon 0 +te *T*-5 seide 0 as *T*-6 ich seide ear & *T*-5 +get wule seggen . Perdam sapientiam sapientium & intel	NP
18516157	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18516156	for all thy crafftis	PP	18516158	all thy crafftis	NP	18516160	crafftis	NS	18516160	crafftis	NS	18516158	all thy crafftis	NP	18516158	all thy crafftis	NP
18767632	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18767631	by no craft	PP	18767633	no craft	NP	18767634	craft	N	18767634	craft	N	18767633	no craft	NP	18767633	no craft	NP
19024270	ealle	Q	X	EMO	CMPETERB	X	M1	NARR NON-IMAG	WRITTEN	PROSE	19024265	Her him trucode ealle his mycele cr+aftes :	IP-MAT	19024271	ealle his mycele cr+aftes	NP	19024274	cr+aftes	NS	19024274	cr+aftes	NS	19024271	ealle his mycele cr+aftes	NP	19024271	ealle his mycele cr+aftes	NP
19369209	fele	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19369208	and fele swilche deueles craftes	CONJP	19369210	fele swilche deueles craftes	NP	19369213	craftes	NS	19369213	craftes	NS	19369210	fele swilche deueles craftes	NP	19369210	fele swilche deueles craftes	NP
19435206	ilches	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19435207	ilches craftes +teau ; 0 swo he be+d to *T*-2 iteied	NP	19435208	ilches craftes	NP	19435209	craftes	N$	19435209	craftes	N$	19435208	ilches craftes	NP	19435208	ilches craftes	NP
19476019	alle	Q	X	EMO	CMVICES1	X	M1	INSTR REL	WRITTEN	PROSE	19476011	+Durh hire +du miht witen alle craftes 0 +de *T*-1 on boche bie+d +gewriten .	IP-MAT	19476020	alle craftes 0 +de *T*-1 on boche bie+d +gewriten	NP	19476021	craftes	NS	19476021	craftes	NS	19476020	alle craftes 0 +de *T*-1 on boche bie+d +gewriten	NP	19476020	alle craftes 0 +de *T*-1 on boche bie+d +gewriten	NP
