1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17206111	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17206110	among alle resonable creatures	PP	17206112	alle resonable creatures	NP	17206114	creatures	NS	17206114	creatures	NS	17206112	alle resonable creatures	NP	17206112	alle resonable creatures	NP
17229670	eny	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17229668	*T*-1 scholde eny creature suffre +te hydouse wrong 0 +tat *T*-2 I hadde doon to here creatour , bote 0 he *ICH*-3 *ICH*-5 hadde refreyned hem 0 +tat *T*-4 made hem alle of nou+gt , +te wyche 0 *T*-6 whyle ne coueyty+t not +te dee+t or dampnacioun of a synneful wrecche , bote +tat he turne hym fro his wickednesse and *con* liue in lyf of grace	IP	17229671	eny creature	NP	17229672	creature	N	17229672	creature	N	17229671	eny creature	NP	17229671	eny creature	NP
17235839	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17235838	to alle creatures	PP	17235840	alle creatures	NP	17235841	creatures	NS	17235841	creatures	NS	17235840	alle creatures	NP	17235840	alle creatures	NP
17236784	eny	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17236785	eny deuout creature profite in +te redynge of +tis litul booke in eny gostly profit	IP	17236786	eny deuout creature	NP	17236788	creature	N	17236788	creature	N	17236786	eny deuout creature	NP	17236786	eny deuout creature	NP
17248617	noo	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17248614	ther was noo creature 0 0 *T*-2 after that tyme sawe him iape ne lawghe ne *T*-2 herde him speke an ydel worde ;	IP-MAT	17248618	noo creature 0 0 *T*-2 after that tyme sawe him iape ne lawghe ne *T*-2 herde him speke an ydel worde	NP	17248619	creature	N	17248619	creature	N	17248618	noo creature 0 0 *T*-2 after that tyme sawe him iape ne lawghe ne *T*-2 herde him speke an ydel worde	NP	17248618	noo creature 0 0 *T*-2 after that tyme sawe him iape ne lawghe ne *T*-2 herde him speke an ydel worde	NP
17259714	alle	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17259713	in alle creatures	PP	17259715	alle creatures	NP	17259716	creatures	NS	17259716	creatures	NS	17259715	alle creatures	NP	17259715	alle creatures	NP
17585848	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17585847	passing al +te creatures leuyng of +te worlde	IP	17585849	al +te creatures leuyng of +te worlde	NP	17585851	creatures	NS	17585851	creatures	NS	17585849	al +te creatures leuyng of +te worlde	NP	17585849	al +te creatures leuyng of +te worlde	NP
17793041	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17793038	Bot si+t alle resonable creatures , aungel and man , ha+t in hem , ilchone <P_19> by hem-self , o principal worching mi+gt , +te whiche 0 *T*-1 is clepid *-2 a knowable mi+gt , and a-no+ter principal worching mi+gt , +te whiche 0 *T*-3 is clepid *-4 a louyng mi+gt : of +te whiche two mi+gtes 0 , *T*-5 to +te first , +te whiche 0 *T*-6 is a knowyng mi+gt , God , 0 +tat *T*-7 is +te maker of hem , is euermore incomprehensible ; and to +te secound , +te whiche 0 *T*-8 is +te louyng my+gt , in ilch one diuersly he is al comprehensible at +te fulle , insomochel +tat o louyng soule only in it-self , by vertewe of loue , schuld comprehende in it hym 0 +tat *T*-9 is sufficient at +te fulle - and mochel more , wi+t-oute comparison - to fille alle +te soules and aungelles 0 +tat *T*-10 euer may be .	IP-MAT	17793042	alle resonable creatures , aungel and man	NP	17793044	creatures	NS	17793044	creatures	NS	17793042	alle resonable creatures , aungel and man	NP	17793042	alle resonable creatures , aungel and man	NP
17796155	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796154	and alle +te cretures 0 +tat *T*-3 euer ben maad	CONJP	17796156	alle +te cretures 0 +tat *T*-3 euer ben maad	NP	17796158	cretures	NS	17796158	cretures	NS	17796156	alle +te cretures 0 +tat *T*-3 euer ben maad	NP	17796156	alle +te cretures 0 +tat *T*-3 euer ben maad	NP
17796267	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796266	and alle +te creatures 0 +tat *T*-1 euer ben maad	CONJP	17796268	alle +te creatures 0 +tat *T*-1 euer ben maad	NP	17796270	creatures	NS	17796270	creatures	NS	17796268	alle +te creatures 0 +tat *T*-1 euer ben maad	NP	17796268	alle +te creatures 0 +tat *T*-1 euer ben maad	NP
17796297	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796298	alle +te creatures 0 +tat *T*-2 euer ben maad	QTP	17796299	alle +te creatures 0 +tat *T*-2 euer ben maad	NP	17796301	creatures	NS	17796301	creatures	NS	17796299	alle +te creatures 0 +tat *T*-2 euer ben maad	NP	17796299	alle +te creatures 0 +tat *T*-2 euer ben maad	NP
17796389	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796388	of any creature	PP	17796390	any creature	NP	17796391	creature	N	17796391	creature	N	17796390	any creature	NP	17796390	any creature	NP
17796465	sum	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796464	of sum certein special creatures	PP	17796466	sum certein special creatures	NP	17796469	creatures	NS	17796469	creatures	NS	17796466	sum certein special creatures	NP	17796466	sum certein special creatures	NP
17796502	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17796501	of any creature 0 +tat *T*-2 euer God maad	PP	17796503	any creature 0 +tat *T*-2 euer God maad	NP	17796504	creature	N	17796504	creature	N	17796503	any creature 0 +tat *T*-2 euer God maad	NP	17796503	any creature 0 +tat *T*-2 euer God maad	NP
17797091	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17797090	of alle o+ter creatures and +teire werkes	PP	17797092	alle o+ter creatures and +teire werkes	NP	17797094	creatures	NS	17797094	creatures	NS	17797092	alle o+ter creatures and +teire werkes	NP	17797092	alle o+ter creatures and +teire werkes	NP
17805311	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17805312	alle o+ter creatures +ten +ti-self , or +teire dedes or +tine	NP	17805313	alle o+ter creatures +ten +ti-self	NP	17805315	creatures	NS	17805315	creatures	NS	17805313	alle o+ter creatures +ten +ti-self	NP	17805313	alle o+ter creatures +ten +ti-self	NP
17805365	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17805366	alle o+ter creatures and +teire dedes	NP	17805367	alle o+ter creatures	NP	17805369	creatures	NS	17805369	creatures	NS	17805367	alle o+ter creatures	NP	17805367	alle o+ter creatures	NP
17805729	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17805728	of alle o+ter creatures	PP	17805730	alle o+ter creatures	NP	17805732	creatures	NS	17805732	creatures	NS	17805730	alle o+ter creatures	NP	17805730	alle o+ter creatures	NP
