1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17469352	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17469353	alle +te dyeulen / 0 +tet *T*-2 bye+t zuo stronge / to <P_84> ouercome	IP	17469354	alle +te dyeulen / 0 +tet *T*-2 bye+t zuo stronge	NP	17469356	dyeulen	NS	17469356	dyeulen	NS	17469354	alle +te dyeulen / 0 +tet *T*-2 bye+t zuo stronge	NP	17469354	alle +te dyeulen / 0 +tet *T*-2 bye+t zuo stronge	NP
17471002	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17471001	ne alle +te dyeulen of helle ne mo+gen mannes wyl streng+ti to do one zenne wy+t-oute his wylle .	IP-MAT	17471003	alle +te dyeulen of helle	NP	17471005	dyeulen	NS	17471005	dyeulen	NS	17471003	alle +te dyeulen of helle	NP	17471003	alle +te dyeulen of helle	NP
18241301	alle	Q	X	WMO	CMJULIA	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18241300	*T*-1 alle deoflen is bitaht	IP	18241302	alle deoflen	NP	18241303	deoflen	NS	18241303	deoflen	NS	18241302	alle deoflen	NP	18241302	alle deoflen	NP
18252894	alre	Q	X	WMO	CMJULIA	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18252893	in alre diche deofle wei	PP	18252895	alre diche deofle wei	NP	18252897	deofle	NS$	18252897	deofle	NS$	18252895	alre diche deofle wei	NP	18252895	alre diche deofle wei	NP
18293133	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18293130	sche dred no devylle in Helle , for 0 sche dede so gret bodyly penawnce	IP	18293134	no devylle in Helle	NP	18293135	devylle	N	18293135	devylle	N	18293134	no devylle in Helle	NP	18293134	no devylle in Helle	NP
18348430	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18348427	I haue no deuyl wyth-inne me	IP	18348431	no deuyl	NP	18348432	deuyl	N	18348432	deuyl	N	18348431	no deuyl	NP	18348431	no deuyl	NP
18350917	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18350918	no deuyl xal han power ouyr +te	IP	18350919	no deuyl	NP	18350920	deuyl	N	18350920	deuyl	N	18350919	no deuyl	NP	18350919	no deuyl	NP
18396783	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18396782	& no deuyl	CONJP	18396784	no deuyl	NP	18396785	deuyl	N	18396785	deuyl	N	18396784	no deuyl	NP	18396784	no deuyl	NP
18397165	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18397162	I am no deuyl	IP	18397166	no deuyl	NP	18397167	deuyl	N	18397167	deuyl	N	18397166	no deuyl	NP	18397166	no deuyl	NP
18604426	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18604425	over all other devyllis	PP	18604427	all other devyllis	NP	18604429	devyllis	NS	18604429	devyllis	NS	18604427	all other devyllis	NP	18604427	all other devyllis	NP
19367626	alle	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19367625	mid alle deflen	PP	19367627	alle deflen	NP	19367628	deflen	NS	19367628	deflen	NS	19367627	alle deflen	NP	19367627	alle deflen	NP
19380010	alle	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19380009	mid alle deflen	PP	19380011	alle deflen	NP	19380012	deflen	NS	19380012	deflen	NS	19380011	alle deflen	NP	19380011	alle deflen	NP
19380292	fele	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19380287	ure drihten <P_39> drof fele deules togedere ut of a man 0 +te *T*-1 was of his wit	IP	19380293	fele deules togedere	NP	19380294	deules	NS	19380294	deules	NS	19380293	fele deules togedere	NP	19380293	fele deules togedere	NP
19405068	alle	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19405067	to alle deules	PP	19405069	alle deules	NP	19405070	deules	NS	19405070	deules	NS	19405069	alle deules	NP	19405069	alle deules	NP
19431314	alle	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19431313	mid alle deflen	PP	19431315	alle deflen	NP	19431316	deflen	NS	19431316	deflen	NS	19431315	alle deflen	NP	19431315	alle deflen	NP
19460599	non	Q	X	EMO	CMVICES1	X	M1	INSTR REL	WRITTEN	PROSE	19460598	ne non dieuel	CONJP	19460600	non dieuel	NP	19460601	dieuel	N	19460601	dieuel	N	19460600	non dieuel	NP	19460600	non dieuel	NP
