1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17274483	al	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17274482	& al +tt uuel 0 +tt *T*-2 of dina com	CONJP	17274484	al +tt uuel 0 +tt *T*-2 of dina com	NP	17274486	uuel	N	17274486	uuel	N	17274484	al +tt uuel 0 +tt *T*-2 of dina com	NP	17274484	al +tt uuel 0 +tt *T*-2 of dina com	NP
17275803	al	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17275802	For al +tt uvel +terefter kime+d of +techne arewen .	IP-MAT	17275804	al +tt uvel +terefter	NP	17275806	uvel	N	17275806	uvel	N	17275804	al +tt uvel +terefter	NP	17275804	al +tt uvel +terefter	NP
17279406	sum	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17279405	into sum uuel	PP	17279407	sum uuel	NP	17279408	uuel	N	17279408	uuel	N	17279407	sum uuel	NP	17279407	sum uuel	NP
17286269	moni	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17286270	moni uuel *ICH*-1	NP	17286271	moni uuel	NP	17286272	uuel	N	17286272	uuel	N	17286271	moni uuel	NP	17286271	moni uuel	NP
17304788	al	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17304787	*T*-1 al +tis uuel is	IP	17304789	al +tis uuel	NP	17304791	uuel	N	17304791	uuel	N	17304789	al +tis uuel	NP	17304789	al +tis uuel	NP
17312832	ani	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17312831	wi+d ani vuel	PP	17312833	ani vuel	NP	17312834	vuel	N	17312834	vuel	N	17312833	ani vuel	NP	17312833	ani vuel	NP
17315184	ani	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17315183	+turch ani uuel 0 +tt *T*-3 her is on worlde	PP	17315185	ani uuel 0 +tt *T*-3 her is on worlde	NP	17315186	uuel	N	17315186	uuel	N	17315185	ani uuel 0 +tt *T*-3 her is on worlde	NP	17315185	ani uuel 0 +tt *T*-3 her is on worlde	NP
17319736	alle	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17319735	in alle vueles	PP	17319737	alle vueles	NP	17319738	vueles	NS	17319738	vueles	NS	17319737	alle vueles	NP	17319737	alle vueles	NP
17361422	al	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17361419	+tt is al +tt uuel $i $+tin {TEXT:i+tin} heorte	IP	17361423	al +tt uuel $i $+tin {TEXT:i+tin} heorte	NP	17361425	uuel	N	17361425	uuel	N	17361423	al +tt uuel $i $+tin {TEXT:i+tin} heorte	NP	17361423	al +tt uuel $i $+tin {TEXT:i+tin} heorte	NP
17366538	sum	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17366534	+Tus eauer sum vuel mongle+d him Mid mi god 0 +tt *T*-1 godes grace +geue+d me . +tt hit mei lute liken god & Misliken ofte	IP-MAT	17366539	sum vuel	NP	17366540	vuel	N	17366540	vuel	N	17366539	sum vuel	NP	17366539	sum vuel	NP
