1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17518770	nan	Q	X	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17518769	*T*-2 nan eye may se	IP	17518771	nan eye	NP	17518772	eye	N	17518772	eye	N	17518771	nan eye	NP	17518771	nan eye	NP
17669019	bo+te	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17669015	+tere put out bo+te his eyne of his heued	IP	17669020	bo+te his eyne	NP	17669022	eyne	NS	17669022	eyne	NS	17669020	bo+te his eyne	NP	17669020	bo+te his eyne	NP
18199648	al	Q	X	MO	CMHALI	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	18199647	& al +te eise	CONJP	18199649	al +te eise	NP	18199651	eise	N	18199651	eise	N	18199649	al +te eise	NP	18199649	al +te eise	NP
18322865	non	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18322864	*T*-1 non eye may se	IP	18322866	non eye	NP	18322867	eye	N	18322867	eye	N	18322866	non eye	NP	18322866	non eye	NP
18420727	mycelan	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18420726	on mycelan ege	PP	18420728	mycelan ege	NP	18420729	ege	N	18420729	ege	N	18420728	mycelan ege	NP	18420728	mycelan ege	NP
18466658	muchel	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18466653	+Da iwear+d +ter muchel eie on godes folke . and on alle +tam 0 +tet *T*-2 +teos ti+dinge iherdon .	IP-MAT	18466659	muchel eie	NP	18466660	eie	N	18466660	eie	N	18466659	muchel eie	NP	18466659	muchel eie	NP
18851549	myche	Q	X	SL	CMNTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	18851545	And there was myche hey in the place .	IP-MAT	18851550	myche hey	NP	18851551	hey	N	18851551	hey	N	18851550	myche hey	NP	18851550	myche hey	NP
19025158	micel	Q	X	EMO	CMPETERB	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19025157	& micel +aie wes of him :	IP-MAT	19025159	micel +aie	NP	19025160	+aie	N	19025160	+aie	N	19025159	micel +aie	NP	19025159	micel +aie	NP
19086078	bo+te	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19086073	No+teles sche loste bo+te here ey+gen with rennynge dropes of <P_VI,309> blood .	IP-MAT	19086079	bo+te here ey+gen	NP	19086081	ey+gen	NS	19086081	ey+gen	NS	19086079	bo+te here ey+gen	NP	19086079	bo+te here ey+gen	NP
19090681	bo+te	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19090677	and *con* put out bo+te his ey+gen ,	IP-MAT	19090682	bo+te his ey+gen	NP	19090684	ey+gen	NS	19090684	ey+gen	NS	19090682	bo+te his ey+gen	NP	19090682	bo+te his ey+gen	NP
19380743	non	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19380742	*T*-1 non eige *ICH*-2 ne stand of louerde	IP	19380744	non eige *ICH*-2	NP	19380745	eige	N	19380745	eige	N	19380744	non eige *ICH*-2	NP	19380744	non eige *ICH*-2	NP
19394223	michel	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19394218	*T*-4 *exp* hem sholde michel eie stonde . +tat is of gode	IP	19394224	michel eie	NP	19394225	eie	N	19394225	eie	N	19394224	michel eie	NP	19394224	michel eie	NP
