1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17576630	bo+t=e=	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17576627	*T*-1 schuld qwelle bo+t=e= fader & moder	IP	17576631	bo+t=e= fader & moder	NP	17576632	fader	N	17576632	fader	N	17576631	bo+t=e= fader & moder	NP	17576631	bo+t=e= fader & moder	NP
17945287	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17945286	*T*-2 alle my fadres weren	IP	17945288	alle my fadres	NP	17945290	fadres	NS	17945290	fadres	NS	17945288	alle my fadres	NP	17945288	alle my fadres	NP
18251499	al	Q	X	WMO	CMJULIA	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18251500	al +ti feaders *ICH*-1 wil +tes feondes of helle	NP	18251501	al +ti feaders *ICH*-1	NP	18251503	feaders	N$	18251503	feaders	N$	18251501	al +ti feaders *ICH*-1	NP	18251501	al +ti feaders *ICH*-1	NP
18353636	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18353635	to alle thy gostly faderys	PP	18353637	alle thy gostly faderys	NP	18353640	faderys	NS	18353640	faderys	NS	18353637	alle thy gostly faderys	NP	18353637	alle thy gostly faderys	NP
18751353	all	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18751352	and all othyr holy fadyrs	CONJP	18751354	all othyr holy fadyrs	NP	18751357	fadyrs	NS	18751357	fadyrs	NS	18751354	all othyr holy fadyrs	NP	18751354	all othyr holy fadyrs	NP
19035815	al	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19035797	And also in his book 0 +tat *T*-1 hatte Alcoranum he preyse+t al +te fadres of +te Olde Testament	IP	19035816	al +te fadres of +te Olde Testament	NP	19035818	fadres	NS	19035818	fadres	NS	19035816	al +te fadres of +te Olde Testament	NP	19035816	al +te fadres of +te Olde Testament	NP
19117187	al	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19117188	al her fader lordschippe	NP	19117189	al her fader	NP	19117191	fader	N$	19117191	fader	N$	19117189	al her fader	NP	19117189	al her fader	NP
19214969	fewe	Q	CAXTON WILLIAM	EMO	CMREYNAR	DUTCH	M4	NARR IMAG	WRITTEN	PROSE	19214966	but a fewe fethers	PP	19214968	a fewe fethers	NP	19214970	fethers	NS	19214970	fethers	NS	19214968	a fewe fethers	NP	19214968	a fewe fethers	NP
19387903	Non	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19387904	Non eor+dliche fader ne moder ne haue+d swa milde heorte *ICH*-2 to hire liefe child . swo 0 0 *T*-1 ure heuenliche fader haue+d to us ;	IP-MAT	19387905	Non eor+dliche fader ne moder	NP	19387907	fader	N	19387907	fader	N	19387905	Non eor+dliche fader ne moder	NP	19387905	Non eor+dliche fader ne moder	NP
19531593	many	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19531590	Ther beth many fadres , as fadur of kynde and fadur of lore ,	IP-MAT	19531594	many fadres	NP	19531595	fadres	NS	19531595	fadres	NS	19531594	many fadres	NP	19531594	many fadres	NP
19531676	alle	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19531666	and in vertu of hym worchen alle other fadres .	IP-MAT	19531677	alle other fadres	NP	19531679	fadres	NS	19531679	fadres	NS	19531677	alle other fadres	NP	19531677	alle other fadres	NP
