1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17261271	moni	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17261270	*T*-2 moni flesch mei +tolien	IP	17261272	moni flesch	NP	17261273	flesch	N	17261273	flesch	N	17261272	moni flesch	NP	17261272	moni flesch	NP
17291939	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17291938	ofer alle <P_II.89> flesches	PP	17291940	alle <P_II.89> flesches	NP	17291942	flesches	NS	17291942	flesches	NS	17291940	alle <P_II.89> flesches	NP	17291940	alle <P_II.89> flesches	NP
17298528	lute	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17298527	*T*-2 lute flesch *ICH*-4 *ICH*-5 habbe+d lute flesch as 0 0 *T*-3 +te pellican haue+d & fele fi+den	IP	17298529	lute flesch *ICH*-4 *ICH*-5	NP	17298530	flesch	N	17298530	flesch	N	17298529	lute flesch *ICH*-4 *ICH*-5	NP	17298529	lute flesch *ICH*-4 *ICH*-5	NP
17298534	lute	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17298535	lute flesch	NP	17298536	lute flesch	NP	17298537	flesch	N	17298537	flesch	N	17298536	lute flesch	NP	17298536	lute flesch	NP
17313918	euh	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17313919	euh flesches eise Anonde swiche +tinges	NP	17313920	euh flesches	NP	17313921	flesches	N$	17313921	flesches	N$	17313920	euh flesches	NP	17313920	euh flesches	NP
17381847	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17381848	alle flesch pinsunges	CONJP	17381849	alle flesch pinsunges	NP	17381850	flesch	N	17381850	flesch	N	17381849	alle flesch pinsunges	NP	17381849	alle flesch pinsunges	NP
17382248	nan	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17382249	nan flesches derf	NP	17382250	nan flesches	NP	17382251	flesches	N$	17382251	flesches	N$	17382250	nan flesches	NP	17382250	nan flesches	NP
17393416	Muchel	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17393411	Of idelnesse awakene+d Muchel flesches fondunge .	IP-MAT	17393417	Muchel flesches fondunge	NP	17393418	flesches	N$	17393418	flesches	N$	17393417	Muchel flesches fondunge	NP	17393417	Muchel flesches fondunge	NP
18010545	ich	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	18010544	to ich flesshe	PP	18010546	ich flesshe	NP	18010547	flesshe	N	18010547	flesshe	N	18010546	ich flesshe	NP	18010546	ich flesshe	NP
18015521	ich	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	18015522	ich flesshe blisce to hys holy name in +te world and in +te world of worldes	IP	18015523	ich flesshe	NP	18015524	flesshe	N	18015524	flesshe	N	18015523	ich flesshe	NP	18015523	ich flesshe	NP
