1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17251814	alle	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17251813	to alle folke	PP	17251815	alle folke	NP	17251816	folke	N	17251816	folke	N	17251815	alle folke	NP	17251815	alle folke	NP
17308651	muche	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17308650	among muche folc	PP	17308652	muche folc	NP	17308653	folc	N	17308653	folc	N	17308652	muche folc	NP	17308652	muche folc	NP
17310744	al	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17310730	& +turch hire bone $ha $rudde {TEXT:harudde} of dea+de al hire folc 0 +tt *T*-1 wes to dea+de idemed .	IP-MAT	17310745	al hire folc 0 +tt *T*-1 wes to dea+de idemed	NP	17310747	folc	N	17310747	folc	N	17310745	al hire folc 0 +tt *T*-1 wes to dea+de idemed	NP	17310745	al hire folc 0 +tt *T*-1 wes to dea+de idemed	NP
17310856	Muche	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17310849	& *con* sauue+d +turch ham Muche folc .	IP-MAT	17310857	Muche folc	NP	17310858	folc	N	17310858	folc	N	17310857	Muche folc	NP	17310857	Muche folc	NP
17396132	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17396133	alle folkes heale	NP	17396134	alle folkes	NP	17396135	folkes	N$	17396135	folkes	N$	17396134	alle folkes	NP	17396134	alle folkes	NP
17406779	somme	Q	CHAUCER GEOFFREY	EMO	CMASTRO	X	M3	INSTR SEC	WRITTEN	PROSE	17406757	And although that a planete have a latitude fro the ecliptik , yit sey somme folk , so that the planete arise in that same signe with eny degre of the forseide face in which 0 *T*-1 his longitude is rekned , that *ICH*-2 yit is the planete in horoscopo , be it in nativyte or in eleccion , etc .	IP-MAT	17406780	somme folk	NP	17406781	folk	N	17406781	folk	N	17406780	somme folk	NP	17406780	somme folk	NP
17422829	moche	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17422816	Ac / uor hire euele tongen : hi miswende+t / moche uolk / to done wel .	IP-MAT	17422830	moche uolk	NP	17422831	uolk	N	17422831	uolk	N	17422830	moche uolk	NP	17422830	moche uolk	NP
17427860	moche	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17427855	*T*-3 +teruore / zeue+ge+t moche uolk / ine hope	IP	17427861	moche uolk	NP	17427862	uolk	N	17427862	uolk	N	17427861	moche uolk	NP	17427861	moche uolk	NP
17428960	moche	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17428957	+ter bye+t moche uolke *ICH*-4 dyade / 0 +tet *T*-5 ne habbe+t nenne gelt	IP	17428961	moche uolke *ICH*-4	NP	17428962	uolke	N	17428962	uolke	N	17428961	moche uolke *ICH*-4	NP	17428961	moche uolke *ICH*-4	NP
17430467	lite	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17430466	Vor lite uolk *ICH*-2 +ter bye+t / 0 +tet *T*-3 by diligent / ine 0 +tet hi bye+t / yhyealde *T*-4 to done / auorye god / and hire nixte .	IP-MAT	17430468	lite uolk *ICH*-2	NP	17430469	uolk	N	17430469	uolk	N	17430468	lite uolk *ICH*-2	NP	17430468	lite uolk *ICH*-2	NP
