1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17305160	alle	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17305158	*T*-1 robbe+d alle +te gold hordes 0 +tt *T*-2 ha ma+gen under +geoten . 0 +te *T*-3 mon o+der +te wimmon +tt i +tis wei opene+d	IP	17305161	alle +te gold hordes 0 +tt *T*-2 ha ma+gen under +geoten . 0 +te *T*-3 mon o+der +te wimmon +tt i +tis wei opene+d	NP	17305163	gold	N	17305163	gold	N	17305161	alle +te gold hordes 0 +tt *T*-2 ha ma+gen under +geoten . 0 +te *T*-3 mon o+der +te wimmon +tt i +tis wei opene+d	NP	17305161	alle +te gold hordes 0 +tt *T*-2 ha ma+gen under +geoten . 0 +te *T*-3 mon o+der +te wimmon +tt i +tis wei opene+d	NP
17726023	mech	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17726020	and *con* founde mech gold .	IP-MAT	17726024	mech gold	NP	17726025	gold	N	17726025	gold	N	17726024	mech gold	NP	17726024	mech gold	NP
18132071	no	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18132057	no man shulde aftyr Crystysmas nexte aftyr put forthe no enpayryd golde in no paymente uppon payne of furfeture there of ; where fore 0 *T*-2 every man for the moste party ordaynyd hym balans	IP	18132072	no enpayryd golde	NP	18132074	golde	N	18132074	golde	N	18132072	no enpayryd golde	NP	18132072	no enpayryd golde	NP
18132479	any	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18132473	men myght unnethe have any golde changyd , thoughe 0 hit were nevyr soo good and of fulle whyghte	IP	18132480	any golde	NP	18132481	golde	N	18132481	golde	N	18132480	any golde	NP	18132480	any golde	NP
18535857	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18535856	than all the golde in thys realme	PP	18535858	all the golde in thys realme	NP	18535860	golde	N	18535860	golde	N	18535858	all the golde in thys realme	NP	18535858	all the golde in thys realme	NP
18709974	alre	Q	X	WMO	CMMARGA	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18709977	alre gold smeatest	ADJP	18709978	alre gold	NP	18709979	gold	N$	18709979	gold	N$	18709978	alre gold	NP	18709978	alre gold	NP
18763379	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18763375	For +ter nys no gold yn +tys world so precyous to God , as 0 0 *T*-2 ys a meke hert and a lowe of a man or of a woman .	IP-MAT	18763380	no gold	NP	18763381	gold	N	18763381	gold	N	18763380	no gold	NP	18763380	no gold	NP
18796255	moche	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18796256	moche gold o+ter mony rentys	NP	18796257	moche gold	NP	18796258	gold	N	18796258	gold	N	18796257	moche gold	NP	18796257	moche gold	NP
18796276	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18796273	+tou has no gold	IP	18796277	no gold	NP	18796278	gold	N	18796278	gold	N	18796277	no gold	NP	18796277	no gold	NP
19149965	al	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19149966	al the gold and syluer , and alle the vesselis 0 that *T*-1 were founden in Goddis hous , and in the tresouris of the king	NP	19149967	al the gold and syluer	NP	19149969	gold	N	19149969	gold	N	19149967	al the gold and syluer	NP	19149967	al the gold and syluer	NP
19156722	mychil	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19156700	And whanne 0 the king of Israel werride a+gens Aza , Asa sente mychil gold and syluer to the king of Syrie , to helpe him , and to werreye a+gens the king of Israel ,	IP-MAT	19156723	mychil gold and syluer	NP	19156724	gold	N	19156724	gold	N	19156723	mychil gold and syluer	NP	19156723	mychil gold and syluer	NP
