1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17418689	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17418688	an alle +te graces	CONJP	17418690	alle +te graces	NP	17418692	graces	NS	17418692	graces	NS	17418690	alle +te graces	NP	17418690	alle +te graces	NP
17421063	zome	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17421062	uor zome graces wy+toute / 0 +tet *T*-5 god / +te he+t y-yeve	PP	17421064	zome graces wy+toute / 0 +tet *T*-5 god / +te he+t y-yeve	NP	17421065	graces	NS	17421065	graces	NS	17421064	zome graces wy+toute / 0 +tet *T*-5 god / +te he+t y-yeve	NP	17421064	zome graces wy+toute / 0 +tet *T*-5 god / +te he+t y-yeve	NP
17460432	non	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17460433	non grace / ne +te beleaue of iesu crist	NP	17460434	non grace	NP	17460435	grace	N	17460435	grace	N	17460434	non grace	NP	17460434	non grace	NP
17756916	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17756915	of no grace but on , +tat he myte speke with +te kyng or 0 he deied	PP	17756917	no grace but on , +tat he myte speke with +te kyng or 0 he deied	NP	17756918	grace	N	17756918	grace	N	17756917	no grace but on , +tat he myte speke with +te kyng or 0 he deied	NP	17756917	no grace but on , +tat he myte speke with +te kyng or 0 he deied	NP
17777788	ony	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17777787	withoute ony grace	PP	17777789	ony grace	NP	17777790	grace	N	17777790	grace	N	17777789	ony grace	NP	17777789	ony grace	NP
17794649	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17794648	of alle grace	PP	17794650	alle grace	NP	17794651	grace	N	17794651	grace	N	17794650	alle grace	NP	17794650	alle grace	NP
17803637	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17803636	by any grace	PP	17803638	any grace	NP	17803639	grace	N	17803639	grace	N	17803638	any grace	NP	17803638	any grace	NP
18185428	any	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18185425	ye have any grace withyn you	IP	18185429	any grace withyn you	NP	18185430	grace	N	18185430	grace	N	18185429	any grace withyn you	NP	18185429	any grace withyn you	NP
18209413	myche	Q	HILTON WALTER	EMO	CMHILTON	X	M3/4	INSTR REL	WRITTEN	PROSE	18209410	for to purchace myche grace of Goddis cunfort	IP	18209414	myche grace of Goddis cunfort	NP	18209415	grace	N	18209415	grace	N	18209414	myche grace of Goddis cunfort	NP	18209414	myche grace of Goddis cunfort	NP
18212895	alle	Q	HILTON WALTER	EMO	CMHILTON	X	M3/4	INSTR REL	WRITTEN	PROSE	18212894	and alle gracis	CONJP	18212896	alle gracis	NP	18212897	gracis	NS	18212897	gracis	NS	18212896	alle gracis	NP	18212896	alle gracis	NP
