1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17232786	Alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17232785	' Alle ' , he sey+t , ' gloriouse kyngges haue+t be deed in ioye . '	IP-MAT-SPE	17232787	Alle ' , he sey+t , ' gloriouse kyngges	NP	17232797	kyngges	NS	17232797	kyngges	NS	17232787	Alle ' , he sey+t , ' gloriouse kyngges	NP	17232787	Alle ' , he sey+t , ' gloriouse kyngges	NP
17514830	na	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17514828	*T*-1 hauis na kenning	IP	17514831	na kenning	NP	17514832	kenning	N	17514832	kenning	N	17514831	na kenning	NP	17514831	na kenning	NP
17573101	Alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17573102	Alle +t=e= kyngys 0 +tat *T*-2 heldyn of hym schulde come at A certayn day , as 0 0 *T*-3 in his lettres was conteyned , to make A ryal feste . At which day , *T*-4 +tedir +tey comyn , & *T*-4 *con* brought with hem Amyralles , Prynces & Dukes , & noble Chiualrye	IP	17573103	Alle +t=e= kyngys 0 +tat *T*-2 heldyn of hym	NP	17573105	kyngys	NS	17573105	kyngys	NS	17573103	Alle +t=e= kyngys 0 +tat *T*-2 heldyn of hym	NP	17573103	Alle +t=e= kyngys 0 +tat *T*-2 heldyn of hym	NP
17573354	euery	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17573342	And whanne 0 +t=e= solempnite was done , euery kyng nome his wyf ,	IP-MAT	17573355	euery kyng	NP	17573356	kyng	N	17573356	kyng	N	17573355	euery kyng	NP	17573355	euery kyng	NP
17577772	all	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17577773	all +te kynges men	NP	17577774	all +te kynges	NP	17577776	kynges	N$	17577776	kynges	N$	17577774	all +te kynges	NP	17577774	all +te kynges	NP
17590602	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17590599	he passede alle +te kynges of Britaigne of fairenesse and of wor+tinesse	IP	17590603	alle +te kynges of Britaigne	NP	17590605	kynges	NS	17590605	kynges	NS	17590603	alle +te kynges of Britaigne	NP	17590603	alle +te kynges of Britaigne	NP
17593845	eny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17593846	eny kyng , or eny lorde , 0 +tat *T*-1 of ham wolde haue pitee or mercy , to +geue ham eny lande in eny contre wherin 0 *T*-2 +tai might duelle and haue reste , and bicome his liege men	NP	17593847	eny kyng	NP	17593848	kyng	N	17593848	kyng	N	17593847	eny kyng	NP	17593847	eny kyng	NP
17636148	eny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17636147	or eny kyng leuyng in +te worlde	CONJP	17636149	eny kyng leuyng in +te worlde	NP	17636150	kyng	N	17636150	kyng	N	17636149	eny kyng leuyng in +te worlde	NP	17636149	eny kyng leuyng in +te worlde	NP
17645150	meny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17645149	*T*-3 meny Kynges were mad after in +te Londe	IP	17645151	meny Kynges	NP	17645152	Kynges	NS	17645152	Kynges	NS	17645151	meny Kynges	NP	17645151	meny Kynges	NP
17645566	meny	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17645560	and +terfore +tai maden meny kynges in diuerses shires , as 0 0 *T*-1 hit was in Engistes tyme .	IP-MAT	17645567	meny kynges	NP	17645568	kynges	NS	17645568	kynges	NS	17645567	meny kynges	NP	17645567	meny kynges	NP
17645780	no	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17645781	no kyng cronede amonges ham	IP	17645782	no kyng	NP	17645783	kyng	N	17645783	kyng	N	17645782	no kyng	NP	17645782	no kyng	NP
17650500	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650499	of alle +te kynges of Engeland	PP	17650501	alle +te kynges of Engeland	NP	17650503	kynges	NS	17650503	kynges	NS	17650501	alle +te kynges of Engeland	NP	17650501	alle +te kynges of Engeland	NP
17650546	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650547	alle +te kynges *ICH*-1 in +tat tyme 0 +tat *T*-4 were in +te londe , as +to of Westsex , Mercheneriche , Est Angle , of Kent , & of Southsex & of o+tere costes , eueryche werrede oppon o+tere	IP	17650548	alle +te kynges *ICH*-1	NP	17650550	kynges	NS	17650550	kynges	NS	17650548	alle +te kynges *ICH*-1	NP	17650548	alle +te kynges *ICH*-1	NP
17650691	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650687	+tis Ossa conquerede alle +te kynges of +te lande ,	IP-MAT	17650692	alle +te kynges of +te lande	NP	17650694	kynges	NS	17650694	kynges	NS	17650692	alle +te kynges of +te lande	NP	17650692	alle +te kynges of +te lande	NP
17650824	eueryche	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650823	*T*-2 eueryche kyng deide	IP	17650825	eueryche kyng	NP	17650826	kyng	N	17650826	kyng	N	17650825	eueryche kyng	NP	17650825	eueryche kyng	NP
17650963	alle	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17650962	of alle +te Kynges 0 +tat *T*-1 euer wer in Engeland	PP	17650964	alle +te Kynges 0 +tat *T*-1 euer wer in Engeland	NP	17650966	Kynges	NS	17650966	Kynges	NS	17650964	alle +te Kynges 0 +tat *T*-1 euer wer in Engeland	NP	17650964	alle +te Kynges 0 +tat *T*-1 euer wer in Engeland	NP
