1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17276347	Al	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17276348	Al +te Leor he sei+d schal flo+gen of terres . for +tech+ge sich+de ane .	IP-MAT-SPE	17276349	Al +te Leor	NP	17276351	Leor	N	17276351	Leor	N	17276349	Al +te Leor	NP	17276349	Al +te Leor	NP
18273898	eauer-euch	Q	X	WMO	CMKATHE	X	M1	NARR NON-IMAG	WRITTEN	PROSE	18273887	se rudie & se reade *ICH*-1 ilitet eauer-euch leor as lilie ileid to rose +tt nawt ne +tuhte hit +tt ha weren deade ; ah +tt ha slepten swoteliche asweouete . swa +tt feole turden to treowe bileaue & *con* +toleden anan dea+d i +te {TEXT:i+te} nome of drihtin	IP	18273899	eauer-euch leor	NP	18273900	leor	N	18273900	leor	N	18273899	eauer-euch leor	NP	18273899	eauer-euch leor	NP
18868733	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18868732	Off all hiss hall+ghe lare	PP	18868734	all hiss hall+ghe lare	NP	18868737	lare	N	18868737	lare	N	18868734	all hiss hall+ghe lare	NP	18868734	all hiss hall+ghe lare	NP
18870573	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18870574	all | | Goddspelless hall+ghe lare | <P_PREF.L51> | Iss - alls 0 0 *T*-2 icc hafe sh+awedd +guw , | | O fowwre Goddspellbokess	IP	18870575	all | | Goddspelless hall+ghe lare	NP	18870580	lare	N	18870580	lare	N	18870575	all | | Goddspelless hall+ghe lare	NP	18870575	all | | Goddspelless hall+ghe lare	NP
18887951	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18887950	& all hiss lare	CONJP	18887952	all hiss lare	NP	18887954	lare	N	18887954	lare	N	18887952	all hiss lare	NP	18887952	all hiss lare	NP
18982423	All	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18982412	| +Te nahht ma+g+g ec bitacnenn uss | | All +tatt stafflike lare | | Off Moys+asess la+gheboc , | | & off hall+ghe Profetess , | | & off Sallmsang , 0 +tatt Nicodem | | Wass depe l+aredd onne *T*-1 , | | +Tatt lare 0 +tatt *T*-2 wass all bisett | | Wi+t+t nahhtess +tessterrnesse | | Till +ta , 0 +tatt *T*-3 ta ne s+a+ghenn nan | | Gastlike witt t+aronne . |	IP-MAT	18982424	All +tatt stafflike lare | | Off Moys+asess la+gheboc , | | & off hall+ghe Profetess , | | & off Sallmsang , 0 +tatt Nicodem | | Wass depe l+aredd onne *T*-1 , | | +Tatt lare 0 +tatt *T*-2 wass all bisett | | Wi+t+t nahhtess +tessterrnesse | | Till +ta , 0 +tatt *T*-3 ta ne s+a+ghenn nan | | Gastlike witt t+aronne	NP	18982427	lare	N	18982427	lare	N	18982424	All +tatt stafflike lare | | Off Moys+asess la+gheboc , | | & off hall+ghe Profetess , | | & off Sallmsang , 0 +tatt Nicodem | | Wass depe l+aredd onne *T*-1 , | | +Tatt lare 0 +tatt *T*-2 wass all bisett | | Wi+t+t nahhtess +tessterrnesse | | Till +ta , 0 +tatt *T*-3 ta ne s+a+ghenn nan | | Gastlike witt t+aronne	NP	18982424	All +tatt stafflike lare | | Off Moys+asess la+gheboc , | | & off hall+ghe Profetess , | | & off Sallmsang , 0 +tatt Nicodem | | Wass depe l+aredd onne *T*-1 , | | +Tatt lare 0 +tatt *T*-2 wass all bisett | | Wi+t+t nahhtess +tessterrnesse | | Till +ta , 0 +tatt *T*-3 ta ne s+a+ghenn nan | | Gastlike witt t+aronne	NP
18983110	mikell	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18983104	| & *con* tahhte himm mikell lare *ICH*-1 anan | | Off all swillc alls 0 0 *T*-2 he +gerrnde ; | | Off - +tatt he *ICH*-1 wass himm sellf so+t Godd , | | & Godess Sune ankennedd ; | | & off +tatt , tatt nan mann ne ma+g+g | | Ben borr+ghenn att hiss ende , | | Butt iff 0 he twi+g+gess borenn be , | | Firrst off hiss kinn , & si+t+tenn | | Att hall+ghedd funnt off Hali+g Gast | | Wi+t+t all +te rihhte l+afe ; | | & off - +tatt all 0 +tatt *T*-4 boreen iss | | Off fl+ash iss fl+ashess kinde ; | | & off - +tatt all 0 +tatt *T*-5 borenn iss | | Off Gast iss gastess kinde ; | | Off - hu 0 *T*-6 +te mann iss wharrfedd her | | Fra fl+ash till gastli+g kinde , | | +Turrh +tatt he take+t+t Crisstenndom | | Wi+t+t fulluhht & wi+t+t troww+te ; | | & off , +tatt he wass sennd +turrh Godd | | To ki+tenn Godess wille ; | | & off , +tatt menn ne tokenn nohht | | Wi+t+t himm , ne wi+t+t hiss lare ; | | & off - +tatt nan ne sti+ghe+t+t upp | | Off all mannkinn till heffne | <P_II,239> | Wi+t+tutenn himm ane 0 +tatt *T*-7 stah | | Off heffne dun till er+te ; | | & off +tatt , tatt te manness stren | | Forr manne nede shollde | | Ben hofenn upp o rodetre | | Wi+t+tutenn hise gillte , | | All rihht all swa se 0 0 *T*-8 Moys+as | | Hof upp +te neddre i wesste ; | | & ec off - +tatt Allmahhti+g Godd | | Swa *ICH*-9 lufede wi+t+t herrte | | +Tiss werelld , tatt he sennde dun | | Hiss a+ghenn Sune ankennedd , | | To wurr+tenn mann to lesenn ut | | +Te werelld fra +te defell ; | | & off - +tatt Godess Sune nass | | Nohht hiderr sennd to manne , | | To demnn her Adamess stren | | Off h+a+tenndom & dwilde , | | Acc forr to lesenn all mannkinn | | Ut off +te defless walde ; | | & ec off +tatt , tatt illc an mann | | Iss all +twerrt ut unndemedd , | | Whatt mann $se 0 *T*-10 $itt {TEXT:sitt} iss 0 +tatt *T*-11 wel & rihht | | O Godess Sune lefe+t+t ; | | & ec off +tatt , tatt illc an mann | | Iss nu+g+gu +twerrt ut demedd , | | What mann $se 0 *T*-12 $itt {TEXT:sitt} iss 0 +tatt *T*-13 nile nohht | | O Godess Sune lefenn ; | <P_II,240> | & off +tatt , tatt *exp* iss all +te dom , | | +Tatt lihht comm upponn er+te , | | & menn ne lufenn nohht te lihht | | Acc *con* lufenn +tessterrnesse , | | Forr+ti +tatt te+g+gre werrc iss all | | Unngod & all unnclene ; | | & off , +tatt he 0 +tatt *T*-15 ifell do+t | | A+g+g hate+t+t lihht & leme ; | | & off , +tatt he 0 +tatt *T*-16 do+t summ god | | A+g+g cume+t+t to +te leme , | | Forr +tatt he wile +tatt mann se | | & wite +tatt hiss dede | | Iss all i Godd , & all +turrh Godd , | | & +turrh hiss hellpe for+tedd . |	IP-MAT	18983111	mikell lare *ICH*-1	NP	18983112	lare	N	18983112	lare	N	18983111	mikell lare *ICH*-1	NP	18983111	mikell lare *ICH*-1	NP
18985702	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18985701	& all +te defless lare	CONJP	18985703	all +te defless lare	NP	18985707	lare	N	18985707	lare	N	18985703	all +te defless lare	NP	18985703	all +te defless lare	NP
18990831	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18990820	*T*-3 shall +turrh modi+gnesse & ni+t | | Forrwerrpenn all min lare	IP	18990832	all min lare	NP	18990834	lare	N	18990834	lare	N	18990832	all min lare	NP	18990832	all min lare	NP
18993811	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18993812	all hiss lare & all hiss lif | | & all hiss hall+ghe dede	NP	18993813	all hiss lare	NP	18993815	lare	N	18993815	lare	N	18993813	all hiss lare	NP	18993813	all hiss lare	NP
