1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17231433	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17231432	and al +ty loue	CONJP	17231434	al +ty loue	NP	17231436	loue	N	17231436	loue	N	17231434	al +ty loue	NP	17231434	al +ty loue	NP
17231462	al	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17231463	al flehsly loue seme $stynkynde to +te	IP	17231464	al flehsly loue	NP	17231466	loue	N	17231466	loue	N	17231464	al flehsly loue	NP	17231464	al flehsly loue	NP
17310130	Muche	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17310127	nis +tis Muche loue	IP	17310131	Muche loue	NP	17310132	loue	N	17310132	loue	N	17310131	Muche loue	NP	17310131	Muche loue	NP
17330670	muchele	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17330669	for muchele luue	PP	17330671	muchele luue	NP	17330672	luue	N	17330672	luue	N	17330671	muchele luue	NP	17330671	muchele luue	NP
17385202	Muche	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17385203	Muche luue is ofte <em> bitweonen mon & wummon </em> {COM:emendation_added_by_B} .	IP-MAT	17385204	Muche luue	NP	17385205	luue	N	17385205	luue	N	17385204	Muche luue	NP	17385204	Muche luue	NP
17386327	al	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17386324	& *con* ouerkime+d al +te four meste luuen 0 +tt *T*-1 me $iuint on eor+de .	IP-MAT	17386328	al +te four meste luuen 0 +tt *T*-1 me $iuint on eor+de	NP	17386332	luuen	NS	17386332	luuen	NS	17386328	al +te four meste luuen 0 +tt *T*-1 me $iuint on eor+de	NP	17386328	al +te four meste luuen 0 +tt *T*-1 me $iuint on eor+de	NP
17390353	ei	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17390352	for ei worldlich luue	PP	17390354	ei worldlich luue	NP	17390356	luue	N	17390356	luue	N	17390354	ei worldlich luue	NP	17390354	ei worldlich luue	NP
17445029	litel	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17445028	Vor litel loue of god : ham he+t 0 +tet / y do *T*-1 *arb* zigge	IP	17445030	litel loue of god	NP	17445031	loue	N	17445031	loue	N	17445030	litel loue of god	NP	17445030	litel loue of god	NP
17486943	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17486942	of alle er+tliche loue	PP	17486944	alle er+tliche loue	NP	17486946	loue	N	17486946	loue	N	17486944	alle er+tliche loue	NP	17486944	alle er+tliche loue	NP
17496582	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17496581	of alle er+tliche loue	PP	17496583	alle er+tliche loue	NP	17496585	loue	N	17496585	loue	N	17496583	alle er+tliche loue	NP	17496583	alle er+tliche loue	NP
