1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17203547	eny	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17203546	in eny maner wyse	PP	17203548	eny maner wyse	NP	17203549	maner	N	17203549	maner	N	17203548	eny maner wyse	NP	17203548	eny maner wyse	NP
17208274	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17208273	of alle maner vertues	PP	17208275	alle maner vertues	NP	17208276	maner	N	17208276	maner	N	17208275	alle maner vertues	NP	17208275	alle maner vertues	NP
17212212	no	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17212210	*con* hast no maner +tynge 0 *T*-2 to +gyue to +te neody	IP	17212213	no maner +tynge 0 *T*-2 to +gyue to +te neody	NP	17212214	maner	N	17212214	maner	N	17212213	no maner +tynge 0 *T*-2 to +gyue to +te neody	NP	17212213	no maner +tynge 0 *T*-2 to +gyue to +te neody	NP
17220148	eny	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17220147	of eny maner spiritual swetnesse	PP	17220149	eny maner spiritual swetnesse	NP	17220150	maner	N	17220150	maner	N	17220149	eny maner spiritual swetnesse	NP	17220149	eny maner spiritual swetnesse	NP
17229351	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17229350	in-to alle maner ful+te	PP	17229352	alle maner ful+te	NP	17229353	maner	N	17229353	maner	N	17229352	alle maner ful+te	NP	17229352	alle maner ful+te	NP
17231897	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17231896	in alle maner nyede	PP	17231898	alle maner nyede	NP	17231899	maner	N	17231899	maner	N	17231898	alle maner nyede	NP	17231898	alle maner nyede	NP
17235622	no	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17235621	ne no maner faylyngge	CONJP	17235623	no maner faylyngge	NP	17235624	maner	N	17235624	maner	N	17235623	no maner faylyngge	NP	17235623	no maner faylyngge	NP
17240212	al	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17240211	in al manere doutes and sorwes	PP	17240213	al manere doutes and sorwes	NP	17240214	manere	N	17240214	manere	N	17240213	al manere doutes and sorwes	NP	17240213	al manere doutes and sorwes	NP
17243860	al	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17243859	Fro al manere of mete and drynke 0 that *exp* the semeth 0 *T*-1 shulde enflaume thy compleccyon and make the prone and redy to synne	PP	17243861	al manere of mete and drynke 0 that *exp* the semeth 0 *T*-1 shulde enflaume thy compleccyon and make the prone and redy to synne	NP	17243862	manere	N	17243862	manere	N	17243861	al manere of mete and drynke 0 that *exp* the semeth 0 *T*-1 shulde enflaume thy compleccyon and make the prone and redy to synne	NP	17243861	al manere of mete and drynke 0 that *exp* the semeth 0 *T*-1 shulde enflaume thy compleccyon and make the prone and redy to synne	NP
17248426	al	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17248385	For certeyn if 0 it happe 0 thou be syke or weyke , or thy stomak waxe drye for abstynence , than shal al maner likynges and flesshly delectacions be to the rather *ICH*-2 peynful than delitable or lustful .	IP-MAT	17248427	al maner likynges and flesshly delectacions	NP	17248428	maner	N	17248428	maner	N	17248427	al maner likynges and flesshly delectacions	NP	17248427	al maner likynges and flesshly delectacions	NP
