1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17290309	na	Q	X	'NULL'	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17290308	for na mete	PP	17290310	na mete	NP	17290311	mete	N	17290311	mete	N	17290310	na mete	NP	17290310	na mete	NP
17490133	non	Q	DAN MICHEL	'NULL'	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17490130	*T*-1 ne de+t non o+ter mete	IP	17490134	non o+ter mete	NP	17490136	mete	N	17490136	mete	N	17490134	non o+ter mete	NP	17490134	non o+ter mete	NP
17530934	mekil	Q	X	'NULL'	NL	CMBENRUL	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17530932	noht of mekil mete	PP	17530935	mekil mete	NP	17530936	mete	N	17530936	mete	N	17530935	mekil mete	NP	17530935	mekil mete	NP
17773082	no	Q	CAPGRAVE JOHN	'NULL'	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17773079	sche ete no mete	IP	17773083	no mete	NP	17773084	mete	N	17773084	mete	N	17773083	no mete	NP	17773083	no mete	NP
17872659	no	Q	CHAUCER GEOFFREY	'NULL'	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17872660	no mete but herbes , and water to his drynke , ne no bed but the naked erthe , for which 0 *T*-3 his flessh was blak as an Ethiopeen for heete , and ny destroyed for coold	NP	17872661	no mete but herbes	NP	17872662	mete	N	17872662	mete	N	17872661	no mete but herbes	NP	17872661	no mete but herbes	NP
17903768	no	Q	CHAUCER GEOFFREY	'NULL'	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17903766	*T*-3 seketh no riche metes ne drynkes	IP	17903769	no riche metes ne drynkes	NP	17903771	metes	NS	17903771	metes	NS	17903769	no riche metes ne drynkes	NP	17903769	no riche metes ne drynkes	NP
18022876	no	Q	X	'NULL'	EMO	CMEDMUND	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18022869	And yett he wolde ete no costelewe mete	IP-MAT	18022877	no costelewe mete	NP	18022879	mete	N	18022879	mete	N	18022877	no costelewe mete	NP	18022877	no costelewe mete	NP
18022909	no	Q	X	'NULL'	EMO	CMEDMUND	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18022895	And fro Shroftyde tyll Ester he wolde ete no mete 0 that *T*-1 suffryd the dethe ,	IP-MAT	18022910	no mete 0 that *T*-1 suffryd the dethe	NP	18022911	mete	N	18022911	mete	N	18022910	no mete 0 that *T*-1 suffryd the dethe	NP	18022910	no mete 0 that *T*-1 suffryd the dethe	NP
18141610	alle	Q	X	'NULL'	SL	CMGREGOR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18141583	And at the ryght honde of the halle , uppon a schaffolde , stode the kyngys of harowdys alle the mete tyme in hyr cote armorys and hyr crownys in hyr heddys .	IP-MAT	18141611	alle the mete tyme	NP	18141613	mete	N	18141613	mete	N	18141611	alle the mete tyme	NP	18141611	alle the mete tyme	NP
18222266	litel	Q	X	'NULL'	SO	CMHORSES	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	18222267	litel mete . or litul drynke	NP	18222268	litel mete	NP	18222269	mete	N	18222269	mete	N	18222268	litel mete	NP	18222268	litel mete	NP
18582828	many	Q	MALORY THOMAS	'NULL'	WML	CMMALORY	X	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	18582829	many delycious metis sette thereon	IP	18582830	many delycious metis	NP	18582832	metis	NS	18582832	metis	NS	18582830	many delycious metis	NP	18582830	many delycious metis	NP
18602068	ony	Q	MALORY THOMAS	'NULL'	WML	CMMALORY	X	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	18602064	he had ete ony mete late	IP	18602069	ony mete	NP	18602070	mete	N	18602070	mete	N	18602069	ony mete	NP	18602069	ony mete	NP
18602087	no	Q	MALORY THOMAS	'NULL'	WML	CMMALORY	X	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	18602076	' Nay , madam , truly I yeete no mete nyghe thes three dayes ,	IP-MAT-SPE	18602088	no mete	NP	18602089	mete	N	18602089	mete	N	18602088	no mete	NP	18602088	no mete	NP
18603029	ony	Q	MALORY THOMAS	'NULL'	WML	CMMALORY	X	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	18603026	she had ony mete	IP	18603030	ony mete	NP	18603031	mete	N	18603031	mete	N	18603030	ony mete	NP	18603030	ony mete	NP
18747583	some	Q	MIRK JOHN	'NULL'	WMO	CMMIRK	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	18747579	and make me some mete . '	IP-IMP-SPE	18747584	some mete	NP	18747585	mete	N	18747585	mete	N	18747584	some mete	NP	18747584	some mete	NP
18801195	som	Q	MIRK JOHN	'NULL'	WMO	CMMIRK	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	18801193	*con* gete som mete , 0 +tat he myght ete of *T*-1	IP	18801196	som mete , 0 +tat he myght ete of *T*-1	NP	18801197	mete	N	18801197	mete	N	18801196	som mete , 0 +tat he myght ete of *T*-1	NP	18801196	som mete , 0 +tat he myght ete of *T*-1	NP
18999849	alle	Q	X	'NULL'	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	18999848	of alle metis 0 that *T*-1 moun be etun	PP	18999850	alle metis 0 that *T*-1 moun be etun	NP	18999851	metis	NS	18999851	metis	NS	18999850	alle metis 0 that *T*-1 moun be etun	NP	18999850	alle metis 0 that *T*-1 moun be etun	NP
19036366	no	Q	TREVISA JOHN	'NULL'	SL	CMPOLYCH	LATIN	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19036362	#NÁZEV?	IP	19036367	no mete	NP	19036368	mete	N	19036368	mete	N	19036367	no mete	NP	19036367	no mete	NP
19070405	eny	Q	TREVISA JOHN	'NULL'	SL	CMPOLYCH	LATIN	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19070400	unne+te he my+gte eny mete holde	IP	19070406	eny mete	NP	19070407	mete	N	19070407	mete	N	19070406	eny mete	NP	19070406	eny mete	NP
19213486	alle	Q	CAXTON WILLIAM	'NULL'	EMO	CMREYNAR	DUTCH	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	19213485	aboue alle mete	PP	19213487	alle mete	NP	19213488	mete	N	19213488	mete	N	19213487	alle mete	NP	19213487	alle mete	NP
19218163	no	Q	CAXTON WILLIAM	'NULL'	EMO	CMREYNAR	DUTCH	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	19218160	I loue no mete better /	IP-MAT-SPE	19218164	no mete	NP	19218165	mete	N	19218165	mete	N	19218164	no mete	NP	19218164	no mete	NP
19219011	many	Q	CAXTON WILLIAM	'NULL'	EMO	CMREYNAR	DUTCH	'NULL'	M4	NARR IMAG	WRITTEN	'NULL'	PROSE	19219010	in many good diuerses metes / 0 That *T*-2 we now lacke	PP	19219012	many good diuerses metes / 0 That *T*-2 we now lacke	NP	19219015	metes	NS	19219015	metes	NS	19219012	many good diuerses metes / 0 That *T*-2 we now lacke	NP	19219012	many good diuerses metes / 0 That *T*-2 we now lacke	NP
19266855	many	Q	Richard Rolle	'NULL'	Northern (Yorkshire?)	cmrollep.m24	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	PROSE	19266852	+tou leve many metes 0 +tat *T*-1 men has , noght dispysand +te mete 0 +tat *T*-2 God has made til mannes helpe , bot for 0 *exp* +te +tynk +tat +tou hase na nede +tarof	IP	19266856	many metes 0 +tat *T*-1 men has	NP	19266857	metes	NS	19266857	metes	NS	19266856	many metes 0 +tat *T*-1 men has	NP	19266856	many metes 0 +tat *T*-1 men has	NP
19365694	no	Q	'NULL'	c1440	Northern	cmthorn.mx4	'NULL'	Handbooks, medicine	mx4	'NULL'	'NULL'	Liber de Diversis Medicinis	'NULL'	19365691	he ette no gowttous mettes	IP	19365695	no gowttous mettes	NP	19365697	mettes	NS	19365697	mettes	NS	19365695	no gowttous mettes	NP	19365695	no gowttous mettes	NP
19520598	no	Q	X	'NULL'	EML	CMVICES4	FRENCH	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	19520595	+tis is no mete 0 *T*-1 to +gyue knaues and pitaile ne to houndes ne to cherles , but to noble *ICH*-2 hertes and gentile and curteis and clene , +tat is to +te herte 0 +tat *T*-3 is gentel bi grace , noble by good lif , clene and wel y-wasche bi verray schrifte .	IP-MAT	19520599	no mete 0 *T*-1 to +gyue knaues and pitaile ne to houndes ne to cherles , but to noble *ICH*-2 hertes and gentile and curteis and clene , +tat is to +te herte 0 +tat *T*-3 is gentel bi grace , noble by good lif , clene and wel y-wasche bi verray schrifte	NP	19520600	mete	N	19520600	mete	N	19520599	no mete 0 *T*-1 to +gyue knaues and pitaile ne to houndes ne to cherles , but to noble *ICH*-2 hertes and gentile and curteis and clene , +tat is to +te herte 0 +tat *T*-3 is gentel bi grace , noble by good lif , clene and wel y-wasche bi verray schrifte	NP	19520599	no mete 0 *T*-1 to +gyue knaues and pitaile ne to houndes ne to cherles , but to noble *ICH*-2 hertes and gentile and curteis and clene , +tat is to +te herte 0 +tat *T*-3 is gentel bi grace , noble by good lif , clene and wel y-wasche bi verray schrifte	NP
19576009	al	Q	X	'NULL'	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19576007	*T*-1 ha+t al +tis mete	IP	19576010	al +tis mete	NP	19576012	mete	N	19576012	mete	N	19576010	al +tis mete	NP	19576010	al +tis mete	NP
19613757	ony	Q	X	'NULL'	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19613756	#NÁZEV?	PP	19613758	ony eur+tly mete	NP	19613760	mete	N	19613760	mete	N	19613758	ony eur+tly mete	NP	19613758	ony eur+tly mete	NP
19613871	any	Q	X	'NULL'	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19613870	+tan any mete 0 +tat *T*-2 we schulden ete	PP	19613872	any mete 0 +tat *T*-2 we schulden ete	NP	19613873	mete	N	19613873	mete	N	19613872	any mete 0 +tat *T*-2 we schulden ete	NP	19613872	any mete 0 +tat *T*-2 we schulden ete	NP
19616325	som	Q	X	'NULL'	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19616297	si+t 0 +tow clepust me an hownd , and I suffre mekely , +gif +tow som mete of children to +tis hownd	IP	19616326	som mete of children	NP	19616327	mete	N	19616327	mete	N	19616326	som mete of children	NP	19616326	som mete of children	NP
