1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17774773	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17774774	no mercy but payment or prison	NP	17774775	no mercy	NP	17774776	mercy	N	17774776	mercy	N	17774775	no mercy	NP	17774775	no mercy	NP
17856642	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17856640	*T*-1 hath no mercy of another wight	IP	17856643	no mercy	NP	17856644	mercy	N	17856644	mercy	N	17856643	no mercy	NP	17856643	no mercy	NP
17913297	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17913288	but soothly , swich departed shrift deserveth no mercy of God of his synnes .	IP-MAT	17913298	no mercy	NP	17913299	mercy	N	17913299	mercy	N	17913298	no mercy	NP	17913298	no mercy	NP
17977287	mychel	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17977286	of mychel merci to alle +to 0 +tat *T*-1 clepen +te	PP	17977288	mychel merci to alle +to 0 +tat *T*-1 clepen +te	NP	17977289	merci	N	17977289	merci	N	17977288	mychel merci to alle +to 0 +tat *T*-1 clepen +te	NP	17977288	mychel merci to alle +to 0 +tat *T*-1 clepen +te	NP
18235538	ony	Q	X	EMO	CMINNOCE	X	M4	INSTR REL	X	PROSE	18235537	without ony mercy	PP	18235539	ony mercy	NP	18235540	mercy	N	18235540	mercy	N	18235539	ony mercy	NP	18235539	ony mercy	NP
18294665	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18294664	worthy no mercy	ADJP	18294666	no mercy	NP	18294667	mercy	N	18294667	mercy	N	18294666	no mercy	NP	18294666	no mercy	NP
18319409	al	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18319397	Mercyful Lord Crist Ihesu , in +te is al mercy & grace & goodnes	IP	18319410	al mercy & grace & goodnes	NP	18319411	mercy	N	18319411	mercy	N	18319410	al mercy & grace & goodnes	NP	18319410	al mercy & grace & goodnes	NP
18566628	no	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18566624	Thou mayste have no mercy :	IP-MAT-SPE	18566629	no mercy	NP	18566630	mercy	N	18566630	mercy	N	18566629	no mercy	NP	18566629	no mercy	NP
18722174	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18722171	*T*-1 han don no mercy	IP	18722175	no mercy	NP	18722176	mercy	N	18722176	mercy	N	18722175	no mercy	NP	18722175	no mercy	NP
18722342	any	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18722341	wythout any mercy	PP	18722343	any mercy	NP	18722344	mercy	N	18722344	mercy	N	18722343	any mercy	NP	18722343	any mercy	NP
18722353	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18722348	for +ge wold do no mercy ,	IP-MAT-SPE	18722354	no mercy	NP	18722355	mercy	N	18722355	mercy	N	18722354	no mercy	NP	18722354	no mercy	NP
18722366	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18722359	and +terfor +ge schull haue no mercy . '	IP-MAT-SPE	18722367	no mercy	NP	18722368	mercy	N	18722368	mercy	N	18722367	no mercy	NP	18722367	no mercy	NP
18722528	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18722525	he dyt no mercy	IP	18722529	no mercy	NP	18722530	mercy	N	18722530	mercy	N	18722529	no mercy	NP	18722529	no mercy	NP
18799818	non	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18799811	*T*-1 +tou wolt +geue me non mercy	IP	18799819	non mercy	NP	18799820	mercy	N	18799820	mercy	N	18799819	non mercy	NP	18799819	non mercy	NP
18831253	no	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18831248	*T*-6 wold aske hym no mercy for hor synnes	IP	18831254	no mercy	NP	18831255	mercy	N	18831255	mercy	N	18831254	no mercy	NP	18831254	no mercy	NP
19010375	myche	Q	X	EML	CMOTEST	LATIN	M3	X	WRITTEN	PROSE	19010374	of myche mercy	PP	19010376	myche mercy	NP	19010377	mercy	N	19010377	mercy	N	19010376	myche mercy	NP	19010376	myche mercy	NP
19133610	eny	Q	PURVEY JOHN	SL	CMPURVEY	X	M3	INSTR REL	WRITTEN	PROSE	19133609	withouten eny mercy	PP	19133611	eny mercy	NP	19133612	mercy	N	19133612	mercy	N	19133611	eny mercy	NP	19133611	eny mercy	NP
19350674	no	Q	X	WMO	CMSIEGE	X	M4	NARR IMAG	WRITTEN	PROSE	19350667	On hyme +ge had no mercy ,	IP-MAT-SPE	19350675	no mercy	NP	19350676	mercy	N	19350676	mercy	N	19350675	no mercy	NP	19350675	no mercy	NP
