1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17484411	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17484410	amang alle +te he+ge names of oure lhorde	PP	17484412	alle +te he+ge names of oure lhorde	NP	17484415	names	NS	17484415	names	NS	17484412	alle +te he+ge names of oure lhorde	NP	17484412	alle +te he+ge names of oure lhorde	NP
17484468	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17484467	Vor alle +te o+tre names * huer 0 *T*-1 hi speke+t of his guodnesse . and of his wysdome . o+ter of his mi+gte .	IP-MAT	17484469	alle +te o+tre names	NP	17484472	names	NS	17484472	names	NS	17484469	alle +te o+tre names	NP	17484469	alle +te o+tre names	NP
17700039	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17700038	and no o+tir name	CONJP	17700040	no o+tir name	NP	17700042	name	N	17700042	name	N	17700040	no o+tir name	NP	17700040	no o+tir name	NP
17757157	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17757151	Gy of Warwik no o+tir name but +te Blak Dog of Arderne	IP	17757158	no o+tir name but +te Blak Dog of Arderne	NP	17757160	name	N	17757160	name	N	17757158	no o+tir name but +te Blak Dog of Arderne	NP	17757158	no o+tir name but +te Blak Dog of Arderne	NP
17868731	noon	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17868728	Ther is noon oother name under hevene 0 that *T*-2 is yeve to any man , by which 0 *T*-3 a man may be saved , but oonly Jhesus	IP	17868732	noon oother name under hevene 0 that *T*-2 is yeve to any man , by which 0 *T*-3 a man may be saved , but oonly Jhesus	NP	17868734	name	N	17868734	name	N	17868732	noon oother name under hevene 0 that *T*-2 is yeve to any man , by which 0 *T*-3 a man may be saved , but oonly Jhesus	NP	17868732	noon oother name under hevene 0 that *T*-2 is yeve to any man , by which 0 *T*-3 a man may be saved , but oonly Jhesus	NP
17888487	noon	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17888483	" Ther nys noon oother name , " seith Seint Peter , " under hevene yeven to men , in which 0 *T*-2 they mowe be saved " ; that is to seyn , but the name of Jhesu Crist .	IP-MAT-SPE	17888488	noon oother name , " seith Seint Peter , " under hevene yeven to men , in which 0 *T*-2 they mowe be saved " ; that is to seyn , but the name of Jhesu Crist	NP	17888490	name	N	17888490	name	N	17888488	noon oother name , " seith Seint Peter , " under hevene yeven to men , in which 0 *T*-2 they mowe be saved " ; that is to seyn , but the name of Jhesu Crist	NP	17888488	noon oother name , " seith Seint Peter , " under hevene yeven to men , in which 0 *T*-2 they mowe be saved " ; that is to seyn , but the name of Jhesu Crist	NP
18086918	no	Q	X	EMO	CMEQUATO	X	M3	INSTR SEC	WRITTEN	PROSE	18086916	ne write no names of signes <paren> id est in epiciclo </paren> til +t=t= thow hast proued <paren> +t=t= </paren> thi comune centre defferent is treweli & justli set in direct of the closere of the signes of thin equatorie	IP	18086919	no names of signes	NP	18086920	names	NS	18086920	names	NS	18086919	no names of signes	NP	18086919	no names of signes	NP
18824770	bo+te	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18824769	of bo+te hor names	PP	18824771	bo+te hor names	NP	18824773	names	NS	18824773	names	NS	18824771	bo+te hor names	NP	18824771	bo+te hor names	NP
18841302	all	Q	MIRK JOHN	WMO	CMMIRK	X	M3/4	INSTR REL	X	PROSE	18841299	+tat ys all on name	IP	18841303	all on name	NP	18841305	name	N	18841305	name	N	18841303	all on name	NP	18841303	all on name	NP
19280634	all	Q	ROLLE RICHARD	NO/EMO	CMROLLTR	LATIN	M2/4	INSTR REL	WRITTEN	PROSE	19280633	abown all names	PP	19280635	all names	NP	19280636	names	NS	19280636	names	NS	19280635	all names	NP	19280635	all names	NP
19281506	all	Q	ROLLE RICHARD	NO/EMO	CMROLLTR	LATIN	M2/4	INSTR REL	WRITTEN	PROSE	19281503	+ga , & all +te name it drawes to +te serues of it .	IP-MAT	19281507	all +te name	NP	19281509	name	N	19281509	name	N	19281507	all +te name	NP	19281507	all +te name	NP
19315974	na	Q	ROLLE RICHARD	NO/EMO	CMROLLTR	LATIN	M2/4	INSTR REL	WRITTEN	PROSE	19315973	by na name betakenande his Endles beyng , or his myghte , or his wysdom , or his ryghtwysnes	PP	19315975	na name betakenande his Endles beyng , or his myghte , or his wysdom , or his ryghtwysnes	NP	19315976	name	N	19315976	name	N	19315975	na name betakenande his Endles beyng , or his myghte , or his wysdom , or his ryghtwysnes	NP	19315975	na name betakenande his Endles beyng , or his myghte , or his wysdom , or his ryghtwysnes	NP
19513706	alle	Q	X	EML	CMVICES4	FRENCH	M3/4	INSTR REL	WRITTEN	PROSE	19513705	among alle +te hei+ge <P_102> names of oure lord	PP	19513707	alle +te hei+ge <P_102> names of oure lord	NP	19513711	names	NS	19513711	names	NS	19513707	alle +te hei+ge <P_102> names of oure lord	NP	19513707	alle +te hei+ge <P_102> names of oure lord	NP
19513758	alle	Q	X	EML	CMVICES4	FRENCH	M3/4	INSTR REL	WRITTEN	PROSE	19513757	for alle +te o+tere names , ou+ter +tei speken of his goodnesse , o+ter of his wisdom , o+ter of his my+gt , o+ter +tat he is suche or suche , +tat is he is ri+gt good .	IP-MAT	19513759	alle +te o+tere names	NP	19513762	names	NS	19513762	names	NS	19513759	alle +te o+tere names	NP	19513759	alle +te o+tere names	NP
19586092	alle	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19586091	and alle +tese names acorden to Iohn ,	IP-MAT	19586093	alle +tese names	NP	19586095	names	NS	19586095	names	NS	19586093	alle +tese names	NP	19586093	alle +tese names	NP
19609237	monye	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19609230	And +tus +tis seed ha+t monye names ,	IP-MAT	19609238	monye names	NP	19609239	names	NS	19609239	names	NS	19609238	monye names	NP	19609238	monye names	NP
19621900	monye	Q	X	EML	CMWYCSER	X	M3	INSTR REL	X	PROSE	19621899	and monye o+tre names	CONJP	19621901	monye o+tre names	NP	19621903	names	NS	19621903	names	NS	19621901	monye o+tre names	NP	19621901	monye o+tre names	NP
