1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17411033	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17411023	Ine non o+tre manyere / *exp* ne is no ri+gt to zuerie .	IP-MAT	17411034	no ri+gt to zuerie	NP	17411035	ri+gt	N	17411035	ri+gt	N	17411034	no ri+gt to zuerie	NP	17411034	no ri+gt to zuerie	NP
17727327	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17727324	and *con* had no rite +terto ,	IP-MAT	17727328	no rite +terto	NP	17727329	rite	N	17727329	rite	N	17727328	no rite +terto	NP	17727328	no rite +terto	NP
17744638	al	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17744634	*T*-1 he relesid al +te rite 0 +tat *T*-2 he had to Gian and Gascon	IP	17744639	al +te rite 0 +tat *T*-2 he had to Gian and Gascon	NP	17744641	rite	N	17744641	rite	N	17744639	al +te rite 0 +tat *T*-2 he had to Gian and Gascon	NP	17744639	al +te rite 0 +tat *T*-2 he had to Gian and Gascon	NP
17744697	al	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17744696	and al his rite he relesid at +tat mariage .	IP-MAT	17744698	al his rite	NP	17744700	rite	N	17744700	rite	N	17744698	al his rite	NP	17744698	al his rite	NP
18109932	na	Q	GAYTRYGE DAN JON	NO	CMGAYTRY	X	M3/4	INSTR REL	q\tX	PROSE	18109931	ne na ryghte	CONJP	18109933	na ryghte	NP	18109934	ryghte	N	18109934	ryghte	N	18109933	na ryghte	NP	18109933	na ryghte	NP
18181223	noo	Q	X	SL	CMGREGOR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	18181220	they hadde noo ryght to have any offerynge	IP	18181224	noo ryght to have any offerynge	NP	18181225	ryght	N	18181225	ryght	N	18181224	noo ryght to have any offerynge	NP	18181224	noo ryght to have any offerynge	NP
18543421	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18543420	at all ryghtes	PP	18543422	all ryghtes	NP	18543423	ryghtes	NS	18543423	ryghtes	NS	18543422	all ryghtes	NP	18543422	all ryghtes	NP
18543761	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18543760	unto all ryghtes	PP	18543762	all ryghtes	NP	18543763	ryghtes	NS	18543763	ryghtes	NS	18543762	all ryghtes	NP	18543762	all ryghtes	NP
18880833	mikell	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18880826	| & forr+ti wass itt mikell rihht | | +Tatt he *-2 Johan *ICH*-3 wass nemmnedd , | | 0 +Tatt *T*-4 tacne+t+t all +tatt +ting 0 +tatt *T*-5 iss | | All affterr Godess wille . |	IP-MAT	18880834	mikell rihht	NP	18880835	rihht	N	18880835	rihht	N	18880834	mikell rihht	NP	18880834	mikell rihht	NP
18989089	mikell	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	M1	'NULL'	'NULL'	VERSE	18989088	wi+t+t mikell rihht	PP	18989090	mikell rihht	NP	18989091	rihht	N	18989091	rihht	N	18989090	mikell rihht	NP	18989090	mikell rihht	NP
19018964	micel	Q	X	EMO	CMPETERB	X	M1	NARR NON-IMAG	WRITTEN	PROSE	19018962	eall mid micel rihte	PP	19018965	micel rihte	NP	19018966	rihte	N	19018966	rihte	N	19018965	micel rihte	NP	19018965	micel rihte	NP
19022612	ealle	Q	X	EMO	CMPETERB	X	M1	NARR NON-IMAG	WRITTEN	PROSE	19022611	of ealle Godes rihtes	PP	19022613	ealle Godes rihtes	NP	19022615	rihtes	NS	19022615	rihtes	NS	19022613	ealle Godes rihtes	NP	19022613	ealle Godes rihtes	NP
19122418	al	Q	TREVISA JOHN	SL	CMPOLYCH	LATIN	M3	NARR NON-IMAG	WRITTEN	PROSE	19122395	+te kyng of Engelond shulde leve and resigne up to +te kyng of Fraunce </em> al +te right and +te cleyme 0 +tat *T*-2 he had to +te reume of Fraunce	IP	19122419	al +te right and +te cleyme 0 +tat *T*-2 he had to +te reume of Fraunce	NP	19122421	right	N	19122421	right	N	19122419	al +te right and +te cleyme 0 +tat *T*-2 he had to +te reume of Fraunce	NP	19122419	al +te right and +te cleyme 0 +tat *T*-2 he had to +te reume of Fraunce	NP
19208190	no	Q	CAXTON WILLIAM	EMO	CMREYNAR	DUTCH	M4	NARR IMAG	WRITTEN	PROSE	19208187	*T*-2 wyl do no right after the sentence and Iugement of your men	IP	19208191	no right	NP	19208192	right	N	19208192	right	N	19208191	no right	NP	19208191	no right	NP
19240527	all	Q	REYNES ROBERT	EML	CMREYNES	X	M4	INSTR SEC	WRITTEN	PROSE	19240526	in all ryght and reason	PP	19240528	all ryght and reason	NP	19240529	ryght	N	19240529	ryght	N	19240528	all ryght and reason	NP	19240528	all ryght and reason	NP
19428810	Al	Q	X	EMO	CMTRINIT	X	MX/1	INSTR REL	WRITTEN	PROSE	19428812	Al riht is leid	IP	19428813	Al riht	NP	19428814	riht	N	19428814	riht	N	19428813	Al riht	NP	19428813	Al riht	NP
