1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17208326	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17208325	of alle synne	PP	17208327	alle synne	NP	17208328	synne	N	17208328	synne	N	17208327	alle synne	NP	17208327	alle synne	NP
17218260	no	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17218258	to doo no synne	IP	17218261	no synne	NP	17218262	synne	N	17218262	synne	N	17218261	no synne	NP	17218261	no synne	NP
17412951	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17412940	Ine +tise heste / ous is uorbode / alle zenne of ulesse / 0 +tet me clepe+t generalliche / *T*-1 lecherie .	IP-MAT	17412952	alle zenne of ulesse / 0 +tet me clepe+t generalliche / *T*-1 lecherie	NP	17412953	zenne	N	17412953	zenne	N	17412952	alle zenne of ulesse / 0 +tet me clepe+t generalliche / *T*-1 lecherie	NP	17412952	alle zenne of ulesse / 0 +tet me clepe+t generalliche / *T*-1 lecherie	NP
17413159	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17413151	Ine +tise heste is uorbode / alle zennen a-ye kende / ine huet manere 0 / *T*-1 hy bye+t y-do / o+ter ine his bodie : o+ter ine o+tren .	IP-MAT	17413160	alle zennen a-ye kende	NP	17413161	zennen	NS	17413161	zennen	NS	17413160	alle zennen a-ye kende	NP	17413160	alle zennen a-ye kende	NP
17414432	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17414408	+Ta+gles / li+gte couaytise / to habbe o+tre manne +ting / by guode scele : ne is no zenne .	IP-MAT	17414433	no zenne	NP	17414434	zenne	N	17414434	zenne	N	17414433	no zenne	NP	17414433	no zenne	NP
17414477	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17414438	and yef 0 +ter is / eni kuead arizinge / wy+t-oute wylle / and wy+t-oute grantinge / to harmi o+tren : hit ne is no zenne .	IP-MAT	17414478	no zenne	NP	17414479	zenne	N	17414479	zenne	N	17414478	no zenne	NP	17414478	no zenne	NP
17417956	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17417955	of alle zennes	PP	17417957	alle zennes	NP	17417958	zennes	NS	17417958	zennes	NS	17417957	alle zennes	NP	17417957	alle zennes	NP
17419052	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17419044	To +tise zeue di+gtinges / belonge+t alle +te zennes / 0 +tet *T*-1 by+t y-bore of prede .	IP-MAT	17419053	alle +te zennes / 0 +tet *T*-1 by+t y-bore of prede	NP	17419055	zennes	NS	17419055	zennes	NS	17419053	alle +te zennes / 0 +tet *T*-1 by+t y-bore of prede	NP	17419053	alle +te zennes / 0 +tet *T*-1 by+t y-bore of prede	NP
17419187	eche	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17419186	ine eche zenne	PP	17419188	eche zenne	NP	17419189	zenne	N	17419189	zenne	N	17419188	eche zenne	NP	17419188	eche zenne	NP
17419194	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17419193	vor no zenne / ne is / wy+t-oute uoulhede .	IP-MAT	17419195	no zenne	NP	17419196	zenne	N	17419196	zenne	N	17419195	no zenne	NP	17419195	no zenne	NP
17419213	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17419208	and zuo beginne+t / alle <P_18> zennes / be voulhede .	IP-MAT	17419214	alle <P_18> zennes	NP	17419216	zennes	NS	17419216	zennes	NS	17419214	alle <P_18> zennes	NP	17419214	alle <P_18> zennes	NP
17420830	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17420831	no zenne dyadlich / by wi+toute onwor+tnesse / of god	IP	17420832	no zenne dyadlich	NP	17420833	zenne	N	17420833	zenne	N	17420832	no zenne dyadlich	NP	17420832	no zenne dyadlich	NP
17422015	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17422006	vor he loke+t / and norisse+t / alle +te greate gostliche zennes .	IP-MAT	17422016	alle +te greate gostliche zennes	NP	17422020	zennes	NS	17422020	zennes	NS	17422016	alle +te greate gostliche zennes	NP	17422016	alle +te greate gostliche zennes	NP
17423175	uele	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17423170	and +terof wexe+t / uele zennes : ase ari+gthalf . +tet is to wytene : lozengerie . simulacion . folliche yeue : uor +tet me ssel him hyealde / *ICH*-1 corteys / and large .	IP-MAT	17423176	uele zennes : ase ari+gthalf . +tet is to wytene : lozengerie . simulacion . folliche yeue : uor +tet me ssel him hyealde / *ICH*-1 corteys / and large	NP	17423177	zennes	NS	17423177	zennes	NS	17423176	uele zennes : ase ari+gthalf . +tet is to wytene : lozengerie . simulacion . folliche yeue : uor +tet me ssel him hyealde / *ICH*-1 corteys / and large	NP	17423176	uele zennes : ase ari+gthalf . +tet is to wytene : lozengerie . simulacion . folliche yeue : uor +tet me ssel him hyealde / *ICH*-1 corteys / and large	NP
17423347	uele	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17423346	and uele o+tre zennes / 0 +tet *T*-4 wexe+t / of +tise queade bo+ge	CONJP	17423348	uele o+tre zennes / 0 +tet *T*-4 wexe+t / of +tise queade bo+ge	NP	17423350	zennes	NS	17423350	zennes	NS	17423348	uele o+tre zennes / 0 +tet *T*-4 wexe+t / of +tise queade bo+ge	NP	17423348	uele o+tre zennes / 0 +tet *T*-4 wexe+t / of +tise queade bo+ge	NP
17427641	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17427635	Vor +ter ne is / no zenne zuo grat : +tet god ne uoryef+t / ine +tise <P_29> wordle / yef 0 man him uor+ting+t / and *con* byt merci / uor +te zenne . 0 +tet *T*-2 werre+t / be his mi+gte / +te grace / of +te holy gost . ine +tet he werre+t / o+tremanne guod gostlich / ase 0 0 *T*-3 +te yewes / werrede Jesu crist / uor +te guodes / 0 +tet *T*-4 he dede .	IP-MAT	17427642	no zenne zuo grat : +tet god ne uoryef+t / ine +tise <P_29> wordle / yef 0 man him uor+ting+t / and *con* byt merci / uor +te zenne . 0 +tet *T*-2 werre+t / be his mi+gte / +te grace / of +te holy gost . ine +tet he werre+t / o+tremanne guod gostlich / ase 0 0 *T*-3 +te yewes / werrede Jesu crist / uor +te guodes / 0 +tet *T*-4 he dede	NP	17427643	zenne	N	17427643	zenne	N	17427642	no zenne zuo grat : +tet god ne uoryef+t / ine +tise <P_29> wordle / yef 0 man him uor+ting+t / and *con* byt merci / uor +te zenne . 0 +tet *T*-2 werre+t / be his mi+gte / +te grace / of +te holy gost . ine +tet he werre+t / o+tremanne guod gostlich / ase 0 0 *T*-3 +te yewes / werrede Jesu crist / uor +te guodes / 0 +tet *T*-4 he dede	NP	17427642	no zenne zuo grat : +tet god ne uoryef+t / ine +tise <P_29> wordle / yef 0 man him uor+ting+t / and *con* byt merci / uor +te zenne . 0 +tet *T*-2 werre+t / be his mi+gte / +te grace / of +te holy gost . ine +tet he werre+t / o+tremanne guod gostlich / ase 0 0 *T*-3 +te yewes / werrede Jesu crist / uor +te guodes / 0 +tet *T*-4 he dede	NP
17428086	Alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17428087	Alle +tise zennes / bye+t aye +te guodnesse : of +te holy gost .	IP-MAT	17428088	Alle +tise zennes	NP	17428090	zennes	NS	17428090	zennes	NS	17428088	Alle +tise zennes	NP	17428088	Alle +tise zennes	NP
17437236	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17437234	amang / alle +te dyadliche zennes	PP	17437237	alle +te dyadliche zennes	NP	17437240	zennes	NS	17437240	zennes	NS	17437237	alle +te dyadliche zennes	NP	17437237	alle +te dyadliche zennes	NP
17439876	manye	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17439875	uor manye zennes / 0 +tet *T*-1 uol+ge+t zuyche gemenes	PP	17439877	manye zennes / 0 +tet *T*-1 uol+ge+t zuyche gemenes	NP	17439878	zennes	NS	17439878	zennes	NS	17439877	manye zennes / 0 +tet *T*-1 uol+ge+t zuyche gemenes	NP	17439877	manye zennes / 0 +tet *T*-1 uol+ge+t zuyche gemenes	NP
17440267	manye	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17440266	And manye o+tre zennes : 0 +tet long +ting / hit were *T*-1 to zigge .	FRAG	17440268	manye o+tre zennes : 0 +tet long +ting / hit were *T*-1 to zigge	NP	17440270	zennes	NS	17440270	zennes	NS	17440268	manye o+tre zennes : 0 +tet long +ting / hit were *T*-1 to zigge	NP	17440268	manye o+tre zennes : 0 +tet long +ting / hit were *T*-1 to zigge	NP
17444660	uele	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17444659	And uele zennes come+t / of +to ilke wone .	IP-MAT	17444661	uele zennes	NP	17444662	zennes	NS	17444662	zennes	NS	17444661	uele zennes	NP	17444661	uele zennes	NP
17447358	no	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17447352	*T*-1 hit ne is / no zenne / uor to habbe richesses . Ac his / to moche * * louye	IP	17447359	no zenne	NP	17447360	zenne	N	17447360	zenne	N	17447359	no zenne	NP	17447359	no zenne	NP
