1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17397176	litel	Q	CHAUCER GEOFFREY	EMO	CMASTRO	X	'NULL'	M3	INSTR SEC	WRITTEN	'NULL'	PROSE	17397161	for Latyn ne canst thou yit but small , my litel sone .	IP-MAT	17397175	my litel sone	NP	17397177	sone	N	17397177	sone	N	17397175	my litel sone	NP	17397175	my litel sone	NP
17590078	noo	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17590079	noo sone ne doughter , ne none o+tere of +te kynrede 0 +tat *T*-1 might haue +te heritage	NP	17590080	noo sone ne doughter	NP	17590081	sone	N	17590081	sone	N	17590080	noo sone ne doughter	NP	17590080	noo sone ne doughter	NP
17596765	bo+te	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17596761	*arb* norisshe wor+tiliche bo+te his bro+teres sones , +te childerne of Lud	IP	17596766	bo+te his bro+teres sones , +te childerne of Lud	NP	17596770	sones	NS	17596770	sones	NS	17596766	bo+te his bro+teres sones , +te childerne of Lud	NP	17596766	bo+te his bro+teres sones , +te childerne of Lud	NP
17657526	none	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17657522	Kyng Athelston hade none sone	IP	17657527	none sone	NP	17657528	sone	N	17657528	sone	N	17657527	none sone	NP	17657527	none sone	NP
17939459	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	17939456	he sei+ge alle mennes sones .	IP-MAT	17939460	alle mennes sones	NP	17939462	sones	NS	17939462	sones	NS	17939460	alle mennes sones	NP	17939460	alle mennes sones	NP
18420473	#NÁZEV?	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18420470	God swing+d +alcne sune 0 +te *T*-1 he gem+d & lufe+d . '	IP-MAT-SPE	18420474	+alcne sune 0 +te *T*-1 he gem+d & lufe+d	NP	18420475	sune	N	18420475	sune	N	18420474	+alcne sune 0 +te *T*-1 he gem+d & lufe+d	NP	18420474	+alcne sune 0 +te *T*-1 he gem+d & lufe+d	NP
18430222	alle	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18430221	of alle mine fule sunnen	PP	18430223	alle mine fule sunnen	NP	18430226	sunnen	NS	18430226	sunnen	NS	18430223	alle mine fule sunnen	NP	18430223	alle mine fule sunnen	NP
19009494	alle	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19009493	and alle the sones of Israel grutchiden a+gens Moises and Aaron ,	IP-MAT	19009495	alle the sones of Israel	NP	19009497	sones	NS	19009497	sones	NS	19009495	alle the sones of Israel	NP	19009495	alle the sones of Israel	NP
19009983	alle	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19009984	alle the sones of Israel sien	IP	19009985	alle the sones of Israel	NP	19009987	sones	NS	19009987	sones	NS	19009985	alle the sones of Israel	NP	19009985	alle the sones of Israel	NP
19011414	alle	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19011413	to alle the sones of Israel	PP	19011415	alle the sones of Israel	NP	19011417	sones	NS	19011417	sones	NS	19011415	alle the sones of Israel	NP	19011415	alle the sones of Israel	NP
19014880	al	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19014879	to al the sones of Israel	PP	19014881	al the sones of Israel	NP	19014883	sones	NS	19014883	sones	NS	19014881	al the sones of Israel	NP	19014881	al the sones of Israel	NP
19160115	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19160114	with alle the sones of Effraym	PP	19160116	alle the sones of Effraym	NP	19160118	sones	NS	19160118	sones	NS	19160116	alle the sones of Effraym	NP	19160116	alle the sones of Effraym	NP
19169202	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19169201	ouer alle the sones of pride	PP	19169203	alle the sones of pride	NP	19169205	sones	NS	19169205	sones	NS	19169203	alle the sones of pride	NP	19169203	alle the sones of pride	NP
19175725	ech	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19175724	fro ech alyen sone	PP	19175726	ech alyen sone	NP	19175728	sone	N	19175728	sone	N	19175726	ech alyen sone	NP	19175726	ech alyen sone	NP
19494718	nanne	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19494714	Abraam ne hadde nanne sune *ICH*-1 be his rihte spuse bute +anne ,	IP-MAT	19494719	nanne sune *ICH*-1	NP	19494720	sune	N	19494720	sune	N	19494719	nanne sune *ICH*-1	NP	19494719	nanne sune *ICH*-1	NP
