1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17211622	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17211616	*T*-2 mowen conteyne and bynde alle vertus in oon	IP	17211623	alle vertus	NP	17211624	vertus	NS	17211624	vertus	NS	17211623	alle vertus	NP	17211623	alle vertus	NP
17211660	alle	Q	X	SL	CMAELR3	LATIN	M2/3	INSTR REL	WRITTEN	PROSE	17211659	to alle vertus	PP	17211661	alle vertus	NP	17211662	vertus	NS	17211662	vertus	NS	17211661	alle vertus	NP	17211661	alle vertus	NP
17249237	alle	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17249236	of alle vertues	PP	17249238	alle vertues	NP	17249239	vertues	NS	17249239	vertues	NS	17249238	alle vertues	NP	17249238	alle vertues	NP
17249298	alle	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17249297	anemst alle vertues	PP	17249299	alle vertues	NP	17249300	vertues	NS	17249300	vertues	NS	17249299	alle vertues	NP	17249299	alle vertues	NP
17249347	alle	Q	X	EML	CMAELR4	FRENCH	M4	INSTR REL	WRITTEN	PROSE	17249346	of alle vertues	PP	17249348	alle vertues	NP	17249349	vertues	NS	17249349	vertues	NS	17249348	alle vertues	NP	17249348	alle vertues	NP
17465486	zome	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17465485	and zome uirtues	CONJP	17465487	zome uirtues	NP	17465488	uirtues	NS	17465488	uirtues	NS	17465487	zome uirtues	NP	17465487	zome uirtues	NP
17496139	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17496138	in alle uirtues	PP	17496140	alle uirtues	NP	17496141	uirtues	NS	17496141	uirtues	NS	17496140	alle uirtues	NP	17496140	alle uirtues	NP
17496281	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17496280	of alle uirtues	PP	17496282	alle uirtues	NP	17496283	uirtues	NS	17496283	uirtues	NS	17496282	alle uirtues	NP	17496282	alle uirtues	NP
17503987	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17503967	and yef 0 +tou wylt ywyte +te bo+ges of +tise trawe : yzi+g alle +te o+tre uirtues / 0 +tet *T*-1 bye+t y-contynent ine +tis boc .	IP-IMP	17503988	alle +te o+tre uirtues / 0 +tet *T*-1 bye+t y-contynent ine +tis boc	NP	17503991	uirtues	NS	17503991	uirtues	NS	17503988	alle +te o+tre uirtues / 0 +tet *T*-1 bye+t y-contynent ine +tis boc	NP	17503988	alle +te o+tre uirtues / 0 +tet *T*-1 bye+t y-contynent ine +tis boc	NP
17504050	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17504049	ine alle +te uirtues	PP	17504051	alle +te uirtues	NP	17504053	uirtues	NS	17504053	uirtues	NS	17504051	alle +te uirtues	NP	17504051	alle +te uirtues	NP
17504067	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17504068	alle +te o+tre uirtues bye+t bo+ges of +tise	IP	17504069	alle +te o+tre uirtues	NP	17504072	uirtues	NS	17504072	uirtues	NS	17504069	alle +te o+tre uirtues	NP	17504069	alle +te o+tre uirtues	NP
17504750	eni	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17504749	+tanne eni o+ter uirtue	PP	17504751	eni o+ter uirtue	NP	17504753	uirtue	N	17504753	uirtue	N	17504751	eni o+ter uirtue	NP	17504751	eni o+ter uirtue	NP
17506319	eche	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	M2	INSTR REL	WRITTEN	PROSE	17506318	to eche uirtue	PP	17506320	eche uirtue	NP	17506321	uirtue	N	17506321	uirtue	N	17506320	eche uirtue	NP	17506320	eche uirtue	NP
17517741	al	Q	X	NL	CMBENRUL	X	M3	INSTR REL	WRITTEN	PROSE	17517740	wid al yure uertu	PP	17517742	al yure uertu	NP	17517744	uertu	N	17517744	uertu	N	17517742	al yure uertu	NP	17517742	al yure uertu	NP
17570882	alle	Q	CHAUCER GEOFFREY	EMO	CMBOETH	LATIN/FRENCH	M3	X	WRITTEN	PROSE	17570881	in alle vertus	PP	17570883	alle vertus	NP	17570884	vertus	NS	17570884	vertus	NS	17570883	alle vertus	NP	17570883	alle vertus	NP
17758741	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17758727	and +te bred 0 +tat *T*-1 was mad +terof had no vertu ,	IP-MAT	17758742	no vertu	NP	17758743	vertu	N	17758743	vertu	N	17758742	no vertu	NP	17758742	no vertu	NP
17803619	any	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17803618	to any vertewe 0 +tat *T*-1 may be wrou+gt in mans soule by any grace , not lokyng after whe+ter 0 it be meeknes or charite , pacyence or abstynence , hope , fei+t , or sobirnes , chastite or wilful pouerte	PP	17803620	any vertewe 0 +tat *T*-1 may be wrou+gt in mans soule by any grace , not lokyng after whe+ter 0 it be meeknes or charite , pacyence or abstynence , hope , fei+t , or sobirnes , chastite or wilful pouerte	NP	17803621	vertewe	N	17803621	vertewe	N	17803620	any vertewe 0 +tat *T*-1 may be wrou+gt in mans soule by any grace , not lokyng after whe+ter 0 it be meeknes or charite , pacyence or abstynence , hope , fei+t , or sobirnes , chastite or wilful pouerte	NP	17803620	any vertewe 0 +tat *T*-1 may be wrou+gt in mans soule by any grace , not lokyng after whe+ter 0 it be meeknes or charite , pacyence or abstynence , hope , fei+t , or sobirnes , chastite or wilful pouerte	NP
17803702	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17803701	For alle vertewes +tei fynden and felyn in God ;	IP-MAT	17803703	alle vertewes	NP	17803704	vertewes	NS	17803704	vertewes	NS	17803703	alle vertewes	NP	17803703	alle vertewes	NP
17818313	alle	Q	X	EMO	CMCLOUD	X	M3	INSTR REL	WRITTEN	PROSE	17818269	For ri+gt as 0 0 *T*-1 in +tat arke were contenid alle +te juelles & +te relikis of +te temple , ri+gt so in +tis lityl loue put ben contenid alle +te vertewes of mans soule , +te whiche 0 *T*-2 is +te goostly temple of God .	IP-MAT	17818314	alle +te vertewes of mans soule , +te whiche 0 *T*-2 is +te goostly temple of God	NP	17818316	vertewes	NS	17818316	vertewes	NS	17818314	alle +te vertewes of mans soule , +te whiche 0 *T*-2 is +te goostly temple of God	NP	17818314	alle +te vertewes of mans soule , +te whiche 0 *T*-2 is +te goostly temple of God	NP
17856757	al	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17856758	al vertu and alle goodnesse	NP	17856759	al vertu	NP	17856760	vertu	N	17856760	vertu	N	17856759	al vertu	NP	17856759	al vertu	NP
17870328	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17870327	of alle goode vertues	PP	17870329	alle goode vertues	NP	17870331	vertues	NS	17870331	vertues	NS	17870329	alle goode vertues	NP	17870329	alle goode vertues	NP
17881913	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	M3	NARR IMAG	WRITTEN	PROSE	17881912	agayns alle vertues	PP	17881914	alle vertues	NP	17881915	vertues	NS	17881915	vertues	NS	17881914	alle vertues	NP	17881914	alle vertues	NP
17939187	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17939186	and alle her uertue is of spiri+gt of ys mou+te .	IP-MAT	17939188	alle her uertue	NP	17939190	uertue	N	17939190	uertue	N	17939188	alle her uertue	NP	17939188	alle her uertue	NP
17939536	michel	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17939535	+tur+g michel uertu	PP	17939537	michel uertu	NP	17939538	uertu	N	17939538	uertu	N	17939537	michel uertu	NP	17939537	michel uertu	NP
17962005	mychel	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17962004	+tour+g mychel vertu	PP	17962006	mychel vertu	NP	17962007	vertu	N	17962007	vertu	N	17962006	mychel vertu	NP	17962006	mychel vertu	NP
17988018	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17988017	Ha alle his uertu , blisce+t our Lord ;	IP-IMP	17988019	alle his uertu	NP	17988021	uertu	N	17988021	uertu	N	17988019	alle his uertu	NP	17988019	alle his uertu	NP
18045935	all	Q	?	North	cmedthor.m34	'NULL'	M34	'NULL'	'NULL'	PROSE	18045934	with all +ti vertu	PP	18045936	all +ti vertu	NP	18045938	vertu	N	18045938	vertu	N	18045936	all +ti vertu	NP	18045936	all +ti vertu	NP
18053515	na	Q	?	North	cmedthor.m34	'NULL'	M34	'NULL'	'NULL'	PROSE	18053514	for na no+ter bodily vertu	PP	18053516	na no+ter bodily vertu	NP	18053519	vertu	N	18053519	vertu	N	18053516	na no+ter bodily vertu	NP	18053516	na no+ter bodily vertu	NP
18104092	all	Q	FITZJAMES RICHARD	EMO	CMFITZJA	X	M4	INSTR REL	X	PROSE	18104089	wysdom conteyneth all vertues	IP	18104093	all vertues	NP	18104094	vertues	NS	18104094	vertues	NS	18104093	all vertues	NP	18104093	all vertues	NP
18104118	all	Q	FITZJAMES RICHARD	EMO	CMFITZJA	X	M4	INSTR REL	X	PROSE	18104119	all vertues / and how 0 *T*-8 man sholde euery maner wyse lyue vertuously	NP	18104120	all vertues	NP	18104121	vertues	NS	18104121	vertues	NS	18104120	all vertues	NP	18104120	all vertues	NP
18104500	alle	Q	FITZJAMES RICHARD	EMO	CMFITZJA	X	M4	INSTR REL	X	PROSE	18104498	*T*-6 had alle thyse vertues	IP	18104501	alle thyse vertues	NP	18104503	vertues	NS	18104503	vertues	NS	18104501	alle thyse vertues	NP	18104501	alle thyse vertues	NP
18112929	all	Q	GAYTRYGE DAN JON	NO	CMGAYTRY	X	M3/4	INSTR REL	q\tX	PROSE	18112928	with all +te o+ter vertus 0 0 *T*-3 I touchede be-fore	PP	18112930	all +te o+ter vertus 0 0 *T*-3 I touchede be-fore	NP	18112933	vertus	NS	18112933	vertus	NS	18112930	all +te o+ter vertus 0 0 *T*-3 I touchede be-fore	NP	18112930	all +te o+ter vertus 0 0 *T*-3 I touchede be-fore	NP
18288327	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18288326	& alle good vertues	CONJP	18288328	alle good vertues	NP	18288330	vertues	NS	18288330	vertues	NS	18288328	alle good vertues	NP	18288328	alle good vertues	NP
18288405	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	M4	INSTR REL	WRITTEN	PROSE	18288402	sche knew no vertu ne goodnesse ;	IP-MAT	18288406	no vertu ne goodnesse	NP	18288407	vertu	N	18288407	vertu	N	18288406	no vertu ne goodnesse	NP	18288406	no vertu ne goodnesse	NP
