1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17388394	Nane	Q	X	WMO	CMANCRIW	X	M1	INSTR REL	WRITTEN	PROSE	17388383	*T*-3 as 0 0 *T*-1 salomon sei+d Nane wattres 0 +tt *T*-2 beo+d worldlichetribulaciuns . nane temptaciuns nou+der inre ne uttere . {TEXT:ne_inre_underlined_for_deletion} ne much+ge $+tis luue acwenchen	IP	17388395	Nane wattres 0 +tt *T*-2 beo+d worldlichetribulaciuns . nane temptaciuns nou+der inre ne uttere	NP	17388396	wattres	NS	17388396	wattres	NS	17388395	Nane wattres 0 +tt *T*-2 beo+d worldlichetribulaciuns . nane temptaciuns nou+der inre ne uttere	NP	17388395	Nane wattres 0 +tt *T*-2 beo+d worldlichetribulaciuns . nane temptaciuns nou+der inre ne uttere	NP
17616850	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17616846	*arb* do away al +te water	IP	17616851	al +te water	NP	17616853	water	N	17616853	water	N	17616851	al +te water	NP	17616851	al +te water	NP
17625127	al	Q	X	WML	CMBRUT3	X	M3	NARR NON-IMAG	WRITTEN	PROSE	17625128	al +te water was enpoysenede	IP	17625129	al +te water	NP	17625131	water	N	17625131	water	N	17625129	al +te water	NP	17625129	al +te water	NP
17693572	euery	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	M4	NARR NON-IMAG	WRITTEN	PROSE	17693571	in euery watir , flood , welle , or strem	PP	17693573	euery watir , flood , welle , or strem	NP	17693574	watir	N	17693574	watir	N	17693573	euery watir , flood , welle , or strem	NP	17693573	euery watir , flood , welle , or strem	NP
17936483	many	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17936482	vp many waters	PP	17936484	many waters	NP	17936485	waters	NS	17936485	waters	NS	17936484	many waters	NP	17936484	many waters	NP
17982707	mani	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17982706	of mani waters	PP	17982708	mani waters	NP	17982709	waters	NS	17982709	waters	NS	17982708	mani waters	NP	17982708	mani waters	NP
17993385	mani	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	17993384	in mani waters	PP	17993386	mani waters	NP	17993387	waters	NS	17993387	waters	NS	17993386	mani waters	NP	17993386	mani waters	NP
18016815	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	M2	X	WRITTEN	PROSE	18016814	& alle +te waters 0 +tat *T*-1 ben vp heuens , herie+t +te name of our Lord .	IP-IMP	18016816	alle +te waters 0 +tat *T*-1 ben vp heuens	NP	18016818	waters	NS	18016818	waters	NS	18016816	alle +te waters 0 +tat *T*-1 ben vp heuens	NP	18016816	alle +te waters 0 +tat *T*-1 ben vp heuens	NP
18557121	many	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18557120	thorow many watyrs and valeyes	PP	18557122	many watyrs and valeyes	NP	18557123	watyrs	NS	18557123	watyrs	NS	18557122	many watyrs and valeyes	NP	18557122	many watyrs and valeyes	NP
18603863	all	Q	MALORY THOMAS	WML	CMMALORY	X	M4	NARR IMAG	WRITTEN	PROSE	18603864	all the water brente after her	IP	18603865	all the water	NP	18603867	water	N	18603867	water	N	18603865	all the water	NP	18603865	all the water	NP
