1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17307056	nane	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17307057	nane wiues bearn	NP	17307058	nane wiues	NP	17307059	wiues	N$	17307059	wiues	N$	17307058	nane wiues	NP	17307058	nane wiues	NP
17731005	no	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17730996	prestes schuld in no wise haue no wyues	IP	17731006	no wyues	NP	17731007	wyues	NS	17731007	wyues	NS	17731006	no wyues	NP	17731006	no wyues	NP
18179385	any	Q	X	SL	CMGREGOR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	18179382	with owte any wyffe	PP	18179386	any wyffe	NP	18179387	wyffe	N	18179387	wyffe	N	18179386	any wyffe	NP	18179386	any wyffe	NP
18192796	eauer-euch	Q	X	MO	CMHALI	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	18192792	+tt is . eauer-euch wif 0 +tt *T*-4 is hire were +treal & *T*-4 liue+d i wur+dinge . he & heo ba+de	IP	18192797	eauer-euch wif 0 +tt *T*-4 is hire were +treal & *T*-4 liue+d i wur+dinge . he & heo ba+de	NP	18192798	wif	N	18192798	wif	N	18192797	eauer-euch wif 0 +tt *T*-4 is hire were +treal & *T*-4 liue+d i wur+dinge . he & heo ba+de	NP	18192797	eauer-euch wif 0 +tt *T*-4 is hire were +treal & *T*-4 liue+d i wur+dinge . he & heo ba+de	NP
18300377	no	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18300374	+Ge arn no good wyfe	IP	18300378	no good wyfe	NP	18300380	wyfe	N	18300380	wyfe	N	18300378	no good wyfe	NP	18300378	no good wyfe	NP
18413592	sum	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18413593	sum wif *ICH*-1 hine underfeng into hire huse , +t+are 0 *T*-2 w+as to name Martha	IP	18413594	sum wif *ICH*-1	NP	18413595	wif	N	18413595	wif	N	18413594	sum wif *ICH*-1	NP	18413594	sum wif *ICH*-1	NP
18414592	ealle	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18414591	ofer ealle wifen	PP	18414593	ealle wifen	NP	18414594	wifen	NS	18414594	wifen	NS	18414593	ealle wifen	NP	18414593	ealle wifen	NP
18415258	Sum	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18415259	Sum wif *ICH*-1 hine underfeng on hire hus , +t+are 0 *T*-2 w+as Martha to name .	IP-MAT	18415260	Sum wif *ICH*-1	NP	18415261	wif	N	18415261	wif	N	18415260	Sum wif *ICH*-1	NP	18415260	Sum wif *ICH*-1	NP
18691185	no	Q	X	EML	CMMANDEV	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	18691179	& +tei wedden +tere no wyfes ,	IP-MAT	18691186	no wyfes	NP	18691187	wyfes	NS	18691187	wyfes	NS	18691186	no wyfes	NP	18691186	no wyfes	NP
18972321	summ	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18972318	+gho wass summ w+adle wif | | 0 +Tatt *T*-1 lamb ne mihhte winnenn	IP	18972322	summ w+adle wif | | 0 +Tatt *T*-1 lamb ne mihhte winnenn	NP	18972324	wif	N	18972324	wif	N	18972322	summ w+adle wif | | 0 +Tatt *T*-1 lamb ne mihhte winnenn	NP	18972322	summ w+adle wif | | 0 +Tatt *T*-1 lamb ne mihhte winnenn	NP
19417923	alle	Q	X	EMO	CMTRINIT	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	19417922	Of alle wifes children	PP	19417924	alle wifes children	NP	19417925	wifes	N$	19417925	wifes	N$	19417924	alle wifes children	NP	19417924	alle wifes children	NP
19497475	alle	Q	X	EMO	CMVICES1	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	19497474	mang alle wiues	PP	19497476	alle wiues	NP	19497477	wiues	NS	19497477	wiues	NS	19497476	alle wiues	NP	19497476	alle wiues	NP
19634173	monye	Q	X	EML	CMWYCSER	X	'NULL'	M3	INSTR REL	X	'NULL'	PROSE	19634172	in monye wronge weyus	PP	19634174	monye wronge weyus	NP	19634176	weyus	NS	19634176	weyus	NS	19634174	monye wronge weyus	NP	19634174	monye wronge weyus	NP
