1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
17243028	al	Q	X	EML	CMAELR4	FRENCH	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	17243027	in al thy werkes	PP	17243029	al thy werkes	NP	17243031	werkes	NS	17243031	werkes	NS	17243029	al thy werkes	NP	17243029	al thy werkes	NP
17362305	vch	Q	X	WMO	CMANCRIW	X	'NULL'	M1	INSTR REL	WRITTEN	'NULL'	PROSE	17362306	vch god werch	CONJP	17362307	vch god werch	NP	17362309	werch	N	17362309	werch	N	17362307	vch god werch	NP	17362307	vch god werch	NP
17418696	alle	Q	DAN MICHEL	KL	CMAYENBI	FRENCH	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	17418695	and alle +te guode workes	CONJP	17418697	alle +te guode workes	NP	17418700	workes	NS	17418700	workes	NS	17418697	alle +te guode workes	NP	17418697	alle +te guode workes	NP
17614727	al	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17614728	al the werk 0 +tat *T*-2 +te masounes made aday , adoune it felle any+gt	IP	17614729	al the werk 0 +tat *T*-2 +te masounes made aday	NP	17614731	werk	N	17614731	werk	N	17614729	al the werk 0 +tat *T*-2 +te masounes made aday	NP	17614729	al the werk 0 +tat *T*-2 +te masounes made aday	NP
17617557	none	Q	X	WML	CMBRUT3	X	'NULL'	M3	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17617556	ne none o+tere werk	CONJP	17617558	none o+tere werk	NP	17617560	werk	N	17617560	werk	N	17617558	none o+tere werk	NP	17617558	none o+tere werk	NP
17694367	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17694366	and many o+tir werkis	CONJP	17694368	many o+tir werkis	NP	17694370	werkis	NS	17694370	werkis	NS	17694368	many o+tir werkis	NP	17694368	many o+tir werkis	NP
17698481	many	Q	CAPGRAVE JOHN	EML	CMCAPCHR	X	'NULL'	M4	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	17698480	and many o+tir werkis	CONJP	17698482	many o+tir werkis	NP	17698484	werkis	NS	17698484	werkis	NS	17698482	many o+tir werkis	NP	17698482	many o+tir werkis	NP
17791812	no	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17791811	by no werk	PP	17791813	no werk	NP	17791814	werk	N	17791814	werk	N	17791813	no werk	NP	17791813	no werk	NP
17796332	alle	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17796330	bot also alle +te werkes and +te condicions of +te same creatures	CONJP	17796333	alle +te werkes and +te condicions of +te same creatures	NP	17796335	werkes	NS	17796335	werkes	NS	17796333	alle +te werkes and +te condicions of +te same creatures	NP	17796333	alle +te werkes and +te condicions of +te same creatures	NP
17804809	alle	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17804808	in alle +tin o+ter werkes	PP	17804810	alle +tin o+ter werkes	NP	17804813	werkes	NS	17804813	werkes	NS	17804810	alle +tin o+ter werkes	NP	17804810	alle +tin o+ter werkes	NP
17805800	alle	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17805799	& alle +teire werkes	CONJP	17805801	alle +teire werkes	NP	17805803	werkes	NS	17805803	werkes	NS	17805801	alle +teire werkes	NP	17805801	alle +teire werkes	NP
17805811	alle	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17805808	and +terto alle +tin owne werkes	CONJP	17805812	alle +tin owne werkes	NP	17805815	werkes	NS	17805815	werkes	NS	17805812	alle +tin owne werkes	NP	17805812	alle +tin owne werkes	NP
17821213	alle	Q	X	EMO	CMCLOUD	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	17821212	of alle +teire werk	PP	17821214	alle +teire werk	NP	17821216	werk	N	17821216	werk	N	17821214	alle +teire werk	NP	17821214	alle +teire werk	NP
17829634	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17829633	in alle youre werkes	PP	17829635	alle youre werkes	NP	17829637	werkes	NS	17829637	werkes	NS	17829635	alle youre werkes	NP	17829635	alle youre werkes	NP
17861749	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17861750	alle oure werkes shullen openly be knowe	IP	17861751	alle oure werkes	NP	17861753	werkes	NS	17861753	werkes	NS	17861751	alle oure werkes	NP	17861751	alle oure werkes	NP
17865880	alle	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17865877	Nay , for alle the goode werkes 0 that *T*-1 he hath wroght ne shul nevere been in remembraunce ,	IP-MAT	17865881	alle the goode werkes 0 that *T*-1 he hath wroght	NP	17865884	werkes	NS	17865884	werkes	NS	17865881	alle the goode werkes 0 that *T*-1 he hath wroght	NP	17865881	alle the goode werkes 0 that *T*-1 he hath wroght	NP
17866024	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17866023	to no good werk 0 that *T*-2 we han doon biforn	PP	17866025	no good werk 0 that *T*-2 we han doon biforn	NP	17866027	werk	N	17866027	werk	N	17866025	no good werk 0 that *T*-2 we han doon biforn	NP	17866025	no good werk 0 that *T*-2 we han doon biforn	NP
17866352	no	Q	CHAUCER GEOFFREY	EML	CMCTPROS	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	17866353	no good werk be lost	IP	17866354	no good werk	NP	17866356	werk	N	17866356	werk	N	17866354	no good werk	NP	17866354	no good werk	NP
