1_id;1_span;1_span_lemma;1_anno_ptb::pos;2_id;2_span;2_span_lemma;2_anno_ptb::pos;3_id;3_span;3_anno_ptb::cat;meta_Cameron_number;meta_DOE_short_title;meta_Dialect;meta_Edition;meta_Genre;meta_Latin_translation;meta_Manuscript;meta_Manuscript_date;meta_Remarks;meta_Sawyer_number;meta_Word_count;meta_filename;meta_period;meta_text_name;PDE word
salt:/ycoe/coaelive.o3#sTok4125;bisceop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok4124;sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure2387;sum bisceop Helenus gehaten , haliges lifes , mid mycelre meniu anmodlice singende , Uia iustorum recta facta est , et iter sanctorum preparata est : þæt is , þæra rihtwisra wæg is gerihtlæced , and þæra halgena siðfæt is gegearcod;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok7632;biscop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok7630;sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure4321;sum halig biscop se 0 *T*-1 wæs fram cyldhade swiðe gehealdsum , þeah þe he to langum fyrste ungefullod wære;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok14304;bisceopas;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok14303;fela;fela;Q;salt:/ycoe/coaelive.o3#structure7985;oðre fela bisceopas;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok24663;biscop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok24661;sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure13899;sum gesælig biscop;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok42457;bisceope;bisceop;N^D;salt:/ycoe/coaelive.o3#sTok42455;sumum;sum;Q^D;salt:/ycoe/coaelive.o3#structure23910;sumum halgan bisceope;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok90851;bisceop;bisceop;N^A;salt:/ycoe/coaelive.o3#sTok90849;sumne;sum;Q^A;salt:/ycoe/coaelive.o3#structure51689;sumne arwurðne bisceop , Aidan gehaten;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok91508;bisceop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok91507;sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure52072;sum bisceop *ICH*-1;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok101025;bisceop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok101024;mara;mára;QR^N;salt:/ycoe/coaelive.o3#structure57464;se mara bisceop;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok109669;bisceop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok109668;sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure62465;sum bisceop;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
salt:/ycoe/coaelive.o3#sTok115444;bisceop;bisceop;N^N;salt:/ycoe/coaelive.o3#sTok115443;Sum;sum;Q^N;salt:/ycoe/coaelive.o3#structure65696;Sum bisceop Seuerinus on þære byrig Colonia , haliges lifes man;NP;B1.3.2 - B1.3.35;ÆLS;West Saxon;"Skeat, Walter William. 1966 (1881-1900). ""Ælfric's Lives of Saints."" EETS 76, 82, 94, 114. London: OUP.";Biography, lives;No;London, British Museum, Cotton Julius E.VII;s. xi in.;;;100,193;coaelive.o3;o3;Ælfric's  Lives of Saints;bishop
