"id";"q_token";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"filename";"genre";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"salt:/ppcmbe2/adams-1787-2#sTok371";"all";"all";"bringing all his creatures to a state of truth , goodness , and consequent happiness , an end worthy of the best and wisest of beings";"creatures";"creature";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"R";"";"";"";"";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok683";"all";"all";"of all trees";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok804";"many";"many";"of many trees";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok2323";"every";"every";"Perennial plants are supplied in this manner with a new skin every year ;";"year";"year";"";"1";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"a";"G";"gear";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok2565";"Many";"many";"Many trees have them in all their parts , others only in some of them , while 0 others do not exhibit any .";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok2632";"some";"some";"in some trees";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok3244";"some";"some";"some trees , and a great many herbaceous plants , in which 0 *T*-2 this part is continued inward , in form of rays , through the blea into the wood , forming as 0 it were so many wedges , 0 that *T*-3 split as 0 it were the substance of both those parts , a circumstance which 0 *T*-4 accounts for the vegetation of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok3310";"some";"some";"of some particular trees , which 0 *T*-5 are known *-6 to live when <P_662> deprived of the bark ; because 0 they have rays of the same substance *ICH*-7 within , which 0 *T*-8 answer the purpose , and this in a degree answering to the nature of their life";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok3971";"some";"some";"There are some trees , however , where 0 *T*-2 the meshes are not visible , and in which 0 *T*-3 the fibres lie quite in a strait direction .";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
"salt:/ppcmbe2/adams-1787-2#sTok5350";"some";"some";"in some trees";"trees";"tree";"1";"";"Adams, George";"l2";"adams-1787";"SCIENCE OTHER";"c";"c";"G";"treow";"Strong";"A-Stem";"N";"l2";"j_l2";"c_lmod"
