"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"18290035";"alle";"alle";"all";"alle þe ale was lost euery brewyng aftyr oþer";"ale";"ale";"";"1";"KEMPE MARGERY";"M4";"EMO";"CMKEMPE";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N";"m4";"h_m4";"b_me"
"19363955";"littill";"littill";"little";"with a littill ale : pigill , <P_71> bugill & sanigle";"ale";"ale";"";"1";"";"mx4";"Northern";"cmthorn.mx4";"Handbooks, medicine";"";"";"";"";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N";"m4";"h_m4";"b_me"
"17601205";"meny";"meny";"many";"and oþere meny bisshopes 0 þat *T*-2 ȝit bene in þis lande";"bisshopes";"bishop";"1";"";"X";"M3";"WML";"CMBRUT3";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"17692465";"all";"all";"all";"for to reforme all þe bischoppis of Asie to þe same reule";"bischoppis";"bishop";"1";"";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17692852";"no";"no";"no";"þere schuld no bischop be consecrate but of iii bischoppes at þe leest";"bischop";"bishop";"";"1";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17698892";"all";"all";"all";"He pursewid all þe Cristen bischoppis and prestis þorow þe world :";"bischoppis";"bishop";"1";"";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17700124";"All";"all";"all";"All þe biscoppis 0 þat *T*-1 were exiled in Constans tyme he cleped hem hom to her cherchis ;";"biscoppis";"bishop";"1";"";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17703780";"no";"no";"no";"þere schuld no biscop asigne his successour";"biscop";"bishop";"";"1";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17725186";"many";"many";"many";"*T*-1 he deposed many bischopis for symony and fornicacion";"bischopis";"bishop";"1";"";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17765470";"alle";"alle";"all";"At þis word alle þe bischoppes rise up ,";"bischoppes";"bishop";"1";"";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
