"id";"q_token";"q_form";"q_lemma";"noun_id";"token";"oe_lemma";"lemma";"context_id";"context";"noun_pos";"q_pos";"context_cat";"cameron_number";"doe_short_title";"dialect";"edition";"genre";"latin_translation";"manuscript";"manuscript_date";"remarks";"sawyer_number";"word_count";"filename";"period";"text_name";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"salt:/ycoe/coaelive.o3#sTok4124";"sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok4125";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure2387";"sum bisceop Helenus gehaten , haliges lifes , mid mycelre meniu anmodlice singende , Uia iustorum recta facta est , et iter sanctorum preparata est : þæt is , þæra rihtwisra wæg is gerihtlæced , and þæra halgena siðfæt is gegearcod";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok7630";"sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok7632";"biscop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure4321";"sum halig biscop se 0 *T*-1 wæs fram cyldhade swiðe gehealdsum , þeah þe he to langum fyrste ungefullod wære";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok14303";"fela";"fela";"fele";"salt:/ycoe/coaelive.o3#sTok14304";"bisceopas";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure7985";"oðre fela bisceopas";"N^N";"Q";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok24661";"sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok24663";"biscop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure13899";"sum gesælig biscop";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok42455";"sumum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok42457";"bisceope";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure23910";"sumum halgan bisceope";"N^D";"Q^D";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok90849";"sumne";"sum";"some";"salt:/ycoe/coaelive.o3#sTok90851";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure51689";"sumne arwurðne bisceop , Aidan gehaten";"N^A";"Q^A";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok91507";"sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok91508";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure52072";"sum bisceop *ICH*-1";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok101024";"mara";"mára";"more";"salt:/ycoe/coaelive.o3#sTok101025";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure57464";"se mara bisceop";"N^N";"QR^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok109668";"sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok109669";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure62465";"sum bisceop";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/coaelive.o3#sTok115443";"Sum";"sum";"some";"salt:/ycoe/coaelive.o3#sTok115444";"bisceop";"bisceop";"bishop";"salt:/ycoe/coaelive.o3#structure65696";"Sum bisceop Seuerinus on þære byrig Colonia , haliges lifes man";"N^N";"Q^N";"NP";"B1.3.2 - B1.3.35";"ÆLS";"West Saxon";"Skeat, Walter William. 1966 (1881-1900). \"Ælfric's Lives of Saints.\" EETS 76, 82, 94, 114. London: OUP.";"Biography, lives";"No";"London, British Museum, Cotton Julius E.VII";"s. xi in.";"";"";"100,193";"coaelive.o3";"o3";"Ælfric's  Lives of Saints";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cobede.o2#sTok3628";"gehwylcum";"ge-hwylc";"which";"salt:/ycoe/cobede.o2#sTok3629";"biscopum";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure2245";"gehwylcum biscopum";"N^D";"Q^D";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok14372";"Alle";"eal";"all";"salt:/ycoe/cobede.o2#sTok14374";"biscopas";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure8534";"Alle Bretta biscopas";"N^A";"Q^A";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok35918";"sum";"sum";"some";"salt:/ycoe/cobede.o2#sTok35919";"biscop";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure21173";"sum biscop *ICH*-2";"N^N";"Q^N";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok53889";"monigum";"manig";"many";"salt:/ycoe/cobede.o2#sTok53890";"biscopum";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure31528";"monigum biscopum";"N^D";"Q^D";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok54133";"ænig";"ǽnig";"any";"salt:/ycoe/cobede.o2#sTok54134";"biscop";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure31672";"ænig biscop buton þam Wine *ICH*-2";"N^N";"Q^N";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok60997";"ealle";"eal";"all";"salt:/ycoe/cobede.o2#sTok60999";"biscopas";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure35831";"ealle þa biscopas";"N^N";"Q^N";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok90514";"monge";"manig";"many";"salt:/ycoe/cobede.o2#sTok90515";"bisscopas";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure53157";"monge bisscopas ða 0 *T*-1 he gehalgade";"N^A";"Q^A";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok93468";"monige";"manig";"many";"salt:/ycoe/cobede.o2#sTok93470";"bisscopas";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure54929";"monige oðre bisscopas";"N^A";"Q^A";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cobede.o2#sTok101941";"monige";"manig";"many";"salt:/ycoe/cobede.o2#sTok101942";"bysceopas";"bisceop";"bishop";"salt:/ycoe/cobede.o2#structure59910";"monige bysceopas";"N^N";"Q^N";"NP";"B9.6";"Bede";"West Saxon/Anglian";"Miller, Thomas. 1959-1963 (1890-1898). \"The Old English Version of \"Bede's Ecclesiastical History of the English People\".\" EETS 95, 96, 110, 111. London: OUP.";"History";"Yes";"Cambridge, University Library Kk.3.18";"s. xi2";"";"";"80,767";"cobede.o2";"o2";"Bede's History of the English Church";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cocanedgX#sTok2211";"hwylc";"hwilc";"which";"salt:/ycoe/cocanedgX#sTok2212";"bisceop";"bisceop";"bishop";"salt:/ycoe/cocanedgX#structure1430";"hwylc bisceop oððe mæssepreost";"N^N";"Q^N";"NP";"B13.1.1.2";"WCan 1.1.2";"West Saxon";"Fowler, Roger. 1972. \"Wulfstan's Canons of Edgar.\" EETS 266. London: OUP.";"Ecclesiastical laws";"No";"Oxford, Bodleian, Junius 121";"xi 3rd quarter";"";"";"2,118";"cocanedgX";"?";"Canons of Edgar";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"?";"a_o?";"a_oe"
"salt:/ycoe/cocathom1.o3#sTok52396";"eallum";"eal";"all";"salt:/ycoe/cocathom1.o3#sTok52397";"biscopum";"bisceop";"bishop";"salt:/ycoe/cocathom1.o3#structure29574";"eallum biscopum";"N^D";"Q^D";"NP";"B1.1.2 - B1.1.42";"ÆCHom I";"West Saxon";"Clemoes, P. 1997. \"Ælfric's Catholic Homilies: The First Series.\" EETS s.s. 17. Oxford: OUP.";"Homilies";"No";"Cambridge, University Library, Gg.3.28";"s. x/xi";"";"";"106,173";"cocathom1.o3";"o3";"Ælfric's  Catholic Homilies I";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cocathom1.o3#sTok54710";"Ælc";"ǽlc";"each";"salt:/ycoe/cocathom1.o3#sTok54711";"biscop";"bisceop";"bishop";"salt:/ycoe/cocathom1.o3#structure30895";"Ælc biscop";"N^N";"Q^N";"NP";"B1.1.2 - B1.1.42";"ÆCHom I";"West Saxon";"Clemoes, P. 1997. \"Ælfric's Catholic Homilies: The First Series.\" EETS s.s. 17. Oxford: OUP.";"Homilies";"No";"Cambridge, University Library, Gg.3.28";"s. x/xi";"";"";"106,173";"cocathom1.o3";"o3";"Ælfric's  Catholic Homilies I";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cocathom1.o3#sTok105618";"Sum";"sum";"some";"salt:/ycoe/cocathom1.o3#sTok105620";"biscop";"bisceop";"bishop";"salt:/ycoe/cocathom1.o3#structure59908";"Sum halig biscop *ICH*-1 *ICH*-2";"N^N";"Q^N";"NP";"B1.1.2 - B1.1.42";"ÆCHom I";"West Saxon";"Clemoes, P. 1997. \"Ælfric's Catholic Homilies: The First Series.\" EETS s.s. 17. Oxford: OUP.";"Homilies";"No";"Cambridge, University Library, Gg.3.28";"s. x/xi";"";"";"106,173";"cocathom1.o3";"o3";"Ælfric's  Catholic Homilies I";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cochronA.o23#sTok2805";"ealle";"eal";"all";"salt:/ycoe/cochronA.o23#sTok2807";"biscopas";"bisceop";"bishop";"salt:/ycoe/cochronA.o23#structure1612";"ealle Scotta biscopas";"N^N";"Q^N";"NP";"B17.1";"ChronA";"West Saxon";"Plummer, Charles. 1965 (1892-1899). \"Two of the Saxon Chronicles Parallel.\" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";"History";"No";"Cambridge, Corpus Christi College, 173";"s. ix/x-x2";"Attached to the filename within the ID is an indication of scribe, where cochronA-1 indicates scribe 1, cochronA-8a indicates scribe 8a, etc. Bately 1986: xxi-xliii (The Anglo-Saxon Chronicle: A Collaborative Edition) was used as the source for information about and identification of the scribes. Note that CorpusSearch treats each scribe as a separate text and computes the statistics appropriately.";"";"14,583";"cochronA.o23";"o23";"Anglo-Saxon Chronicle A";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o2";"c_o2";"a_oe"
"salt:/ycoe/cochronC#sTok23837";"manega";"manig";"many";"salt:/ycoe/cochronC#sTok23838";"bisceopas";"bisceop";"bishop";"salt:/ycoe/cochronC#structure13980";"manega bisceopas mid heom";"N^N";"Q^N";"NP";"B17.7";"ChronC";"";"Rositzke, H.A. 1967 (1940). \"The C-Text of the Old English Chronicles.\" Bochum-Langendreer: Beitr&aelig;ge zur englischen Philologie 34.";"History";"?";"London, British Museum, Cotton Tiberius B.I";"s. xi1 - xi2";"";"";"22,463";"cochronC";"?";"Anglo-Saxon Chronicle C";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"?";"a_o?";"a_oe"
"salt:/ycoe/cochronE.o34#sTok2832";"ealle";"eal";"all";"salt:/ycoe/cochronE.o34#sTok2834";"biscopes";"bisceop";"bishop";"salt:/ycoe/cochronE.o34#structure1462";"ealle Scotta biscopes";"N^N";"Q^N";"NP";"B17.9";"ChronE";"West Saxon/X";"Plummer, Charles. 1965 (1892-1899). \"Two of the Saxon Chronicles Parallel.\" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";"History";"?";"Oxford, Bodleian, Laud Misc. 636";"s. xii1, xii med.";"Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION";"";"40,641";"cochronE.o34";"o34";"Anglo-Saxon Chronicle E (Peterborough Chronicle)";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cochronE.o34#sTok8024";"ealle";"eal";"all";"salt:/ycoe/cochronE.o34#sTok8026";"biscopas";"bisceop";"bishop";"salt:/ycoe/cochronE.o34#structure4455";"ealle þe biscopas 0 þe *T*-3 æfter ðe cumon";"N^A";"Q^A";"NP";"B17.9";"ChronE";"West Saxon/X";"Plummer, Charles. 1965 (1892-1899). \"Two of the Saxon Chronicles Parallel.\" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";"History";"?";"Oxford, Bodleian, Laud Misc. 636";"s. xii1, xii med.";"Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION";"";"40,641";"cochronE.o34";"o34";"Anglo-Saxon Chronicle E (Peterborough Chronicle)";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
"salt:/ycoe/cochronE.o34#sTok8383";"ealre";"eal";"all";"salt:/ycoe/cochronE.o34#sTok8384";"biscope";"bisceop";"bishop";"salt:/ycoe/cochronE.o34#structure4675";"ealre biscope";"N^G";"Q^G";"NP";"B17.9";"ChronE";"West Saxon/X";"Plummer, Charles. 1965 (1892-1899). \"Two of the Saxon Chronicles Parallel.\" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";"History";"?";"Oxford, Bodleian, Laud Misc. 636";"s. xii1, xii med.";"Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION";"";"40,641";"cochronE.o34";"o34";"Anglo-Saxon Chronicle E (Peterborough Chronicle)";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"o3";"d_o3";"a_oe"
