"corpus";"id";"det";"det_lemma";"context";"context_pos";"noun";"noun_lemma";"noun_pos";"Author";"Birthdate";"Date_of_composition";"Filename";"Genre";"Manuscript";"composition_year";"period_simple";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok417";"an";"a";"in an orderly and scientific manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok426";"the";"the";"As 0 Dr. Hill is the first writer who 0 *T*-1 has treated this part of natural history in an orderly and scientific manner , I shall use the names 0 0 *T*-2 he has adopted for characterizing the different parts of trees , &c. which 0 *T*-3 are , 1. the rind ; 2. the bark ; 3. the blea ; 4. the wood ; 5. the corona or circle of propagation ; 6. the pith .";"IP-MAT";"names";"name";"NS";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok461";"the";"the";"4. the wood";"CONJP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok500";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok536";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok587";"the";"the";"in the substance of the bark";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok599";"the";"the";"in the substance of the blea";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok612";"the";"the";"in the substance of the wood";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok615";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok686";"a";"a";"The exterior covering of all trees is a thin , dry , parched substance , which 0 *T*-1 has been compared by many writers to the skin of animals , and called by names analogous thereto ;";"IP-MAT";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok740";"a";"a";"a tree is full of sap";"IP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok837";"this";"this";"of this work";"PP";"work";"work";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"G";"weorc";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1011";"the";"the";"the fruit";"CONJP";"fruit";"fruit";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1045";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1321";"a";"a";"of a cherry tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1326";"the";"the";"the tree thus skinned , exposed to the air";"IP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1374";"a";"a";"after two or three exfoliations , a farinaceous substance covered the superficies of the trunk , soon after which 0 *T*-1 a new rind appeared .";"IP-MAT";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1414";"a";"a";"with a cloth 0 that *T*-1 had been soaked in wax and turpentine";"PP";"cloth";"cloth";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"claþ";"Strong";"A-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1516";"the";"the";"the wood appeared the whole extent of the trunk";"IP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok1703";"the";"the";"to the naked eye";"PP";"eye";"eye";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"eage";"Strong";"A-Stem";"M"
